job,method,cutoff,seed,feature,feature_name,coefficient,validation_standardized_mean,validation_standardized_sd,mean_logit_contribution,outside_training_range_fraction
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,0,decoded_0,-0.026347759149733772,0.33088639509215123,1.1990703391202555,-0.00871811504381165,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,1,decoded_1,-0.0925147632330578,-0.13872117051424943,0.46914059110682454,0.012833756245538426,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,2,decoded_2,-0.06312950287997264,0.4033039722582752,0.3866683488205386,-0.02546037927818319,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,3,decoded_3,0.05502596658350764,0.00585898289643726,0.9971576716474725,0.0003223961970727017,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,4,decoded_4,0.044102204328821455,-0.3794718176126754,1.1548927929564283,-0.016735543637383478,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,5,decoded_5,-0.0319728155518683,0.3929822324423325,1.1908770807615643,-0.012564748433040129,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,6,decoded_6,0.14912067193377673,0.16024871859845782,0.5548441516917112,0.023896396593928736,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,7,decoded_7,0.08326821517334548,0.4008273177218067,0.4045974940771391,0.03337617533941432,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,8,decoded_8,0.05456314370012446,0.023795784851335065,1.0082314671033958,0.0012983728283006387,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,9,decoded_9,0.055014629094833255,-0.36336753994227894,1.1652591979232527,-0.01999053043502649,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,10,decoded_10,-0.06670057357678652,0.32451392675309293,1.1736258071311032,-0.021645265048086584,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,11,decoded_11,0.07149443774010902,0.06727248482309321,0.3017173911726885,0.004809608477807067,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,12,decoded_12,0.015333485113119567,0.40498285106815124,0.40020342899743583,0.006209798517922214,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,13,decoded_13,0.09214386206543262,0.00899540621971693,0.9990998785228774,0.0008288714699321278,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,14,decoded_14,-0.004835128938340955,-0.392423711556116,1.1315762857659162,0.0018974192438361397,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,15,decoded_15,-0.06873347867932546,0.33097508949044724,1.1800412809739347,-0.02274906925687948,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,16,decoded_16,-0.14007982915295664,0.40268296950744237,0.7407966586808133,-0.056407761571407776,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,17,decoded_17,0.4887880649460517,0.3741677806587567,0.49674597670123466,0.1828887454733524,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,18,decoded_18,0.06655126418842336,0.003639601289907247,0.9916473289628387,0.00024222006698514364,0.0
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,19,decoded_19,0.01896696298386926,-0.42930650493221395,1.1311422459921723,-0.008142640587783589,0.0
