method,cutoff,train_n,accuracy,auroc,log_loss,constant_log_loss,brier,constant_brier,log_loss_skill
learned_probe,2014-12-31,1077.0,0.6279789538842464,0.6777011256366919,0.6436183481282373,0.6930225987958569,0.22626569249273143,0.2499377117047681,0.07128808029270732
learned_probe,2015-12-31,1190.0,0.6165266106442577,0.6612958050972338,0.6513169366879065,0.693124583115526,0.22982050424356626,0.2499887013628981,0.060317650601423356
learned_probe,2016-12-31,1434.0,0.602510460251046,0.6500482824859417,0.6555412390228,0.6930499179826164,0.23203066515973914,0.24995137028802397,0.05412117942239943
learned_probe,2017-12-31,1678.0,0.6154151767977751,0.665871711501474,0.6476673485414113,0.6923258407995493,0.22826160861435785,0.2495894425652879,0.06450502007344268
learned_probe,2018-12-31,1921.0,0.6241540864133265,0.6767924884339842,0.6419887232270156,0.6928966339915424,0.22569994185113393,0.2498747371784119,0.07347114745133554
learned_probe,2019-12-31,2165.0,0.6221709006928406,0.6655267186710941,0.6489142188802149,0.6922242824846752,0.2287361003922579,0.2495386929366523,0.06256651882971032
raw25_probe,2014-12-31,1077.0,0.6090993500464252,0.6634127832775689,0.6525281991365046,0.6930225987958569,0.2301578850272068,0.2499377117047681,0.058431571682817096
raw25_probe,2015-12-31,1190.0,0.5890756302521009,0.6349725571948736,0.6632957648943438,0.693124583115526,0.2354523757464829,0.2499887013628981,0.04303529112631477
raw25_probe,2016-12-31,1434.0,0.5906555090655509,0.6274706268032973,0.6679741183240491,0.6930499179826164,0.2376634675460466,0.249951370288024,0.03618180885376898
raw25_probe,2017-12-31,1678.0,0.5643623361144219,0.6004880721151452,0.6765826373867906,0.6923258407995493,0.2418616036308939,0.2495894425652879,0.02273958660069264
raw25_probe,2018-12-31,1921.0,0.5752212389380531,0.6049996854998059,0.6761327621495967,0.6928966339915423,0.241617210603637,0.2498747371784119,0.0241938999549971
raw25_probe,2019-12-31,2165.0,0.5741339491916859,0.59540937242443,0.6795593047633195,0.6922242824846752,0.2432937501694017,0.2495386929366523,0.018296061033709954
