history,candidate_accuracy,candidate_rmse,baseline10_rmse,baseline20_rmse,training_mean_rmse,mse_skill_vs_mean,mse_skill_vs_baseline10,mse_skill_vs_baseline20,candidate_seeds_better_than_mean
full,0.5957446808510638,0.030399191507489386,0.030458481048630994,0.032304680467265076,0.030571007467916456,0.0112088643707694,0.003889349271859688,0.11449061727773324,1
drop_early,0.48936170212765956,0.03153526826282374,0.0309599996725734,0.03419436215347295,0.030606041401033086,-0.06164357747657001,-0.03750730859163309,0.1494809497520606,0
drop_middle,0.5531914893617021,0.03012834147285821,0.03082519134285462,0.03240152942479654,0.03080103820832772,0.04320314530385572,0.04470195769324714,0.13539164249121904,3
drop_recent,0.5531914893617021,0.031104875989973167,0.03121710007296904,0.03179625946655571,0.030497745928611944,-0.0402110533456721,0.0071769871286258,0.043015543708465165,0
