role,history,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_increase
baseline10,full,0.0009277190677898134,0.030458481048630994,0.5886524822695035,0.08300168205324457,0.004189616836641299,141,0.5791139240506329,0.5886524822695035,0.007348094404531547,0.004163108502852687,0.012614266992936218,0.0009607709663742667,3.305189858445335e-05
baseline20,full,0.0010435923800920979,0.032304680467265076,0.5390070921985816,0.014490023629721363,0.011083563081019397,141,0.5296039199673336,0.5815602836879432,-0.11663541338144956,0.009927445247636424,0.1977380288180286,0.0010671432601636669,2.355088007156901e-05
combined10,full,0.0009415094112185614,0.030684025342489884,0.5460992907801419,-0.18612180038208287,0.0009018910772352415,141,0.4873417721518987,0.9858156028368794,-0.007407461623841538,0.0007725495969305402,0.26625600505630065,0.0009389793824606366,-2.5300287579247977e-06
candidate20,full,0.0009241108443090148,0.030399191507489386,0.5957446808510638,0.1237952411233704,0.006587837813449706,141,0.5819722335647203,0.624113475177305,0.0112088643707694,0.006102895770451835,0.14180474637322815,0.0009630703673001677,3.8959522991152966e-05
baseline10,drop_early,0.0009585215797257451,0.0309599996725734,0.5815602836879432,0.017280463552068717,0.00584084907893463,141,0.5658432013066558,0.6382978723404256,-0.0232637097445616,0.0058084925284188306,0.011048711340221895,0.0009615439176678638,3.022337942118719e-06
baseline20,drop_early,0.0011692544030828633,0.03419436215347295,0.5390070921985816,-0.0622386711045635,0.013667195877643798,141,0.527868517762352,0.5957446808510638,-0.24823021561608116,0.012654328141003701,0.14272660366925005,0.0010270705761964794,-0.00014218382688638395
baseline10,drop_middle,0.0009501924213235996,0.03082519134285462,0.5602836879432624,0.07864268172528606,0.007342755865718836,141,0.5642098815843202,0.475177304964539,-0.0015689474101425738,0.007021133891306339,0.08568397369101399,0.0010003160902454652,5.0123668921865606e-05
baseline20,drop_middle,0.0010498591090659557,0.03240152942479654,0.524822695035461,0.0463096390079333,0.01240272356327444,141,0.5169456921192324,0.5673758865248227,-0.10662457329580821,0.012115679551883795,0.0457516270740167,0.0010509504171144159,1.0913080484601604e-06
baseline10,drop_recent,0.0009745073369657638,0.03121710007296904,0.5319148936170213,0.006371978784143799,0.0066916205036188815,141,0.5250102082482646,0.5602836879432624,-0.04773060239331617,0.006357108103098419,0.09748051480077036,0.0010197975076540091,4.529017068824535e-05
baseline20,drop_recent,0.0010110021160645338,0.03179625946655571,0.5886524822695035,0.13455829404170955,0.013910742851723256,141,0.5895263372805226,0.5035460992907801,-0.08696755365980913,0.013765590427052528,0.0207602319532747,0.001105936098775989,9.493398271145513e-05
combined10,drop_early,0.0009394354719537734,0.03065021161352354,0.5602836879432624,-0.18105409765710243,0.0007499408767032173,141,0.5,1.0,-0.0028884549183527675,0.00028261576494172054,0.8579835292087252,0.0009396006336985716,1.6516174479810648e-07
candidate20,drop_early,0.0009944731444082582,0.03153526826282374,0.48936170212765956,-0.05991866758029209,0.006300009128422816,141,0.46794610044916296,0.6737588652482269,-0.06164357747657001,0.005597572475382012,0.21056369822113064,0.0009735305270188285,-2.094261738942965e-05
combined10,drop_middle,0.0009505016806563783,0.030830207275598688,0.46099290780141844,-0.15175643560500926,0.0017333080512426933,141,0.4426296447529604,0.6453900709219859,-0.0018949282719731286,0.0006289567350477992,0.8683290298623018,0.0009490334896980672,-1.4681909583111417e-06
candidate20,drop_middle,0.000907716959905148,0.03012834147285821,0.5531914893617021,0.17148163265796462,0.005793605892175219,141,0.5578807676602695,0.46808510638297873,0.04320314530385572,0.005596093858783161,0.06702054226167165,0.0009507055819133364,4.2988622008188326e-05
combined10,drop_recent,0.0009298698660771506,0.030493767659591536,0.5602836879432624,0.025487694444925223,0.000835484548127616,141,0.5,1.0,0.00026087236464533703,0.0008237709371292139,0.027843717245879085,0.0009281061817415153,-1.7636843356352546e-06
candidate20,drop_recent,0.0009675133103516091,0.031104875989973167,0.5531914893617021,0.024957082853568735,0.006502492072442872,141,0.5613515720702328,0.4397163120567376,-0.0402110533456721,0.006436595696389712,0.020165339002398364,0.0009420574437291406,-2.5455866622468523e-05
