role,history,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_increase
baseline10,full,2018,0.0009360162952330408,0.030594383393574724,0.6326530612244898,0.13325812274563734,0.003374345110834786,49,0.6369047619047619,0.5102040816326531,0.03757373628607075,0.003374345110834786,0.0,0.0009512373368843302,1.5221041651289346e-05
baseline10,full,2019,0.0006876453551418645,0.02622299287155958,0.6304347826086957,0.19545857862447918,0.003862289580491193,46,0.6145833333333333,0.5869565217391305,0.02333334973988077,0.003862289580491193,0.0,0.000695147659200745,7.502304058880555e-06
baseline10,full,2020,0.0011589544294656287,0.034043419767491465,0.5,-0.02117242323701287,0.005106727555353599,46,0.46031746031746035,0.6739130434782609,-0.030502037721539255,0.005106727555353599,-2.220446049250313e-16,0.001236549661482721,7.759523201709235e-05
baseline20,full,2018,0.0009993857959624877,0.0316130636914945,0.6122448979591837,0.23532419454188003,0.010666486539963282,49,0.6428571428571428,0.6938775510204082,-0.02758375309852834,0.010666486539963282,0.0,0.001110324970077137,0.00011093917411464935
baseline20,full,2019,0.0009331493535253124,0.030547493408221115,0.43478260869565216,0.0033675666447656,0.010540457993734487,46,0.49375,0.30434782608695654,-0.3253573902377942,0.010540457993734487,0.0,0.0008187664794752236,-0.00011438287405008882
baseline20,full,2020,0.0012011250288839028,0.034657250740413655,0.5652173913043478,-0.030231977096233,0.008354323681617055,46,0.5138888888888888,0.7391304347826086,-0.06799867048604535,0.008354323681617057,-2.220446049250313e-16,0.0012695221324660229,6.839710358212008e-05
combined10,full,2018,0.0009731514946780941,0.031195376174652775,0.42857142857142855,0.04227082614619073,0.00013749948082248344,49,0.5,1.0,-0.0006092434720710305,0.00013749948082248344,0.0,0.0009735154557950441,3.639611169499934e-07
combined10,full,2019,0.0007043591605910792,0.02653976564687562,0.6521739130434783,-0.026301038096882223,0.0004005797054999455,46,0.5,1.0,-0.0004053642049202111,0.0004005797054999455,0.0,0.000704272078531961,-8.708205911814142e-08
combined10,full,2020,0.0011449539642478452,0.03383716838400999,0.5652173913043478,-0.24938582648303212,0.0012840635918577223,46,0.4642857142857143,0.9565217391304348,-0.01805331017094214,0.0012840635918577223,0.0,0.0011368982604461387,-8.055703801706452e-06
candidate20,full,2018,0.0009424487150258133,0.030699327598920034,0.6530612244897959,0.21093203889644357,0.00379155083387412,49,0.6845238095238095,0.6938775510204082,0.030959823922230734,0.00379155083387412,0.0,0.0009250761211127172,-1.7372593913096094e-05
candidate20,full,2019,0.0006540511204060153,0.02557442316858809,0.5652173913043478,0.3622500329221676,0.007319686302999174,46,0.59375,0.43478260869565216,0.07104743442346739,0.007319686302999174,0.0,0.0007104309425042428,5.637982209822745e-05
candidate20,full,2020,0.0011746367494049896,0.03427297403793534,0.5652173913043478,-0.03373137867566068,0.0067285832698688085,46,0.5138888888888888,0.7391304347826086,-0.04444621209357558,0.0067285832698688085,0.0,0.0012561819239044637,8.154517449947404e-05
baseline10,drop_early,2018,0.000920532676012705,0.030340281409583284,0.5714285714285714,0.2859225390046611,0.004260331379419191,49,0.6071428571428571,0.7346938775510204,0.06548843580432051,0.004260331379419191,0.0,0.0009721933190423826,5.1660643029677604e-05
baseline10,drop_early,2019,0.0007453634528991649,0.027301345258048455,0.5869565217391305,0.05770157191691517,0.007825608466481813,46,0.58125,0.5434782608695652,-0.06509443180636931,0.007825608466481813,0.0,0.0006920701157591261,-5.3293337140038807e-05
baseline10,drop_early,2020,0.0012121461474640424,0.03481588929589538,0.5869565217391305,-0.19528032557497788,0.004779310021874403,46,0.5615079365079365,0.6304347826086957,-0.08016383758379408,0.004779310021874403,-2.220446049250313e-16,0.001219673792025483,7.527644561440691e-06
baseline20,drop_early,2018,0.0012396326612918497,0.035208417477811324,0.5102040816326531,-0.006235466971601545,0.013023691677957328,49,0.5357142857142857,0.673469387755102,-0.2584572905654363,0.013023691677957328,0.0,0.0009658196507146831,-0.00027381301057716656
baseline20,drop_early,2019,0.0008481004795390073,0.029122164746787065,0.5652173913043478,0.24114357960336352,0.014730828135536308,46,0.6229166666666667,0.34782608695652173,-0.21190151577167637,0.014730828135536308,0.0,0.0007836214720933124,-6.447900744569488e-05
baseline20,drop_early,2020,0.0014154401820127998,0.037622336211522,0.5434782608695652,-0.3228732995559697,0.009652132598128277,46,0.4861111111111111,0.7608695652173914,-0.2613225740740177,0.009652132598128277,0.0,0.0013357652313563425,-7.967495065645726e-05
baseline10,drop_middle,2018,0.001050217327877493,0.03240705676048803,0.5510204081632653,0.02277853795766026,0.007719409490035799,49,0.5714285714285714,0.6326530612244898,-0.06979731867188366,0.007719409490035799,0.0,0.001098484344000247,4.8267016122754015e-05
baseline10,drop_middle,2019,0.0007001243765992208,0.02645986350303457,0.5434782608695652,0.2184062406491285,0.008436051849303195,46,0.5625,0.45652173913043476,0.038544884709502236,0.008436051849303195,0.0,0.0007428206324990609,4.269625589984011e-05
baseline10,drop_middle,2020,0.0010937121960231785,0.03307131984096157,0.5869565217391305,0.26814172314928914,0.004057268732225542,46,0.6309523809523809,0.32608695652173914,0.03558683598674495,0.004057268732225542,-2.220446049250313e-16,0.0011532410168182978,5.952882079511925e-05
baseline20,drop_middle,2018,0.0011924373782792224,0.034531686583183605,0.5102040816326531,-0.026314316689770387,0.012845737958482584,49,0.5297619047619048,0.6326530612244898,-0.21466888433976417,0.012845737958482584,0.0,0.0011820799388666601,-1.0357439412562227e-05
baseline20,drop_middle,2019,0.0008451697773580586,0.02907180382016325,0.4782608695652174,0.108838730905068,0.012633121913418446,46,0.48333333333333334,0.4782608695652174,-0.1606406417055768,0.012633121913418446,0.0,0.0007143247282210252,-0.0001308450491370334
baseline20,drop_middle,2020,0.001102671588785808,0.03320649919497399,0.5869565217391305,0.19457971833347196,0.010703823822542539,46,0.5714285714285714,0.5869565217391305,0.027686625718209235,0.010703823822542539,0.0,0.0012478946589238938,0.00014522307013808576
baseline10,drop_recent,2018,0.0009756272297478986,0.03123503209135375,0.5714285714285714,0.09294337194980648,0.00459771492805516,49,0.6011904761904762,0.6938775510204082,-0.007336107267207792,0.00459771492805516,0.0,0.0009789866958986484,3.3594661507498156e-06
baseline10,drop_recent,2019,0.0007386993050749894,0.02717902325461659,0.5,0.18794856612984193,0.007233757816116391,46,0.5291666666666667,0.41304347826086957,-0.06024803199644446,0.00723375781611639,2.220446049250313e-16,0.0007533379994621211,1.4638694387131756e-05
baseline10,drop_recent,2020,0.0012091224395886114,0.03477243792989803,0.5217391304347826,-0.06701858977075151,0.007002087204814236,46,0.5079365079365079,0.5652173913043478,-0.07708535394584959,0.007002087204814236,0.0,0.0013297294022809546,0.00012060696269234326
baseline20,drop_recent,2018,0.0009700750024500969,0.03114602707328973,0.6122448979591837,0.21938409187010713,0.012127562597658915,49,0.6190476190476191,0.5306122448979592,-0.0016034269336797635,0.012127562597658915,0.0,0.001164848422872994,0.0001947734204228971
baseline20,drop_recent,2019,0.0008595064478604434,0.02931734039541178,0.5434782608695652,0.24202623867067286,0.01847855152687929,46,0.5770833333333334,0.41304347826086957,-0.2336413660762544,0.01847855152687929,0.0,0.000851717027181246,-7.78942067919744e-06
baseline20,drop_recent,2020,0.001206094057466612,0.03472886490322728,0.6086956521739131,0.006415931209711892,0.009094278945362152,46,0.5992063492063493,0.5652173913043478,-0.07438767344389241,0.009094278945362152,0.0,0.0012974007381804443,9.130668071383229e-05
combined10,drop_early,2018,0.000987216235970331,0.031419997389725084,0.42857142857142855,0.04356965706865662,0.0003987494087610753,49,0.5,1.0,-0.0022077574389895993,0.0003987494087610753,0.0,0.0009869007928589078,-3.15443111423069e-07
combined10,drop_early,2019,0.0007036989479753666,0.0265273245536629,0.6521739130434783,-0.24220420867006476,0.00015579039234264977,46,0.5,1.0,-0.005557527996960188,0.00015579039234264977,0.0,0.0007034882287005228,-2.107192748438411e-07
combined10,drop_early,2020,0.0011242750951319345,0.03353021167741019,0.6086956521739131,-0.17420133082824077,0.00022623585054914403,46,0.5,1.0,-0.0018604636068606517,0.000226235850549144,2.220446049250313e-16,0.001125328086547567,1.0529914156323997e-06
candidate20,drop_early,2018,0.001051771679381595,0.03243102957634239,0.46938775510204084,0.14942114079536783,0.004965341473671783,49,0.5357142857142857,0.9591836734693877,-0.06774351730024342,0.004965341473671783,0.0,0.0010560422760998868,4.270596718291761e-06
candidate20,drop_early,2019,0.0007438389487957228,0.027273411022380806,0.5,-0.014679938903741729,0.0059695043833144015,46,0.5,0.5,-0.06291597668420534,0.0059695043833144015,0.0,0.0007024902553163273,-4.1348693479395515e-05
candidate20,drop_early,2020,0.001184071944070935,0.03441034646833616,0.5,-0.04336751945524367,0.005843320050297892,46,0.49007936507936506,0.5434782608695652,-0.055146442331868606,0.005843320050297892,0.0,0.0011566778486132461,-2.7394095457688875e-05
