window,method,seed,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
early_2015_2017,learned_clip,20260910,120,0.5,0.5,60,0.49901436215150663,0.5083333333333333,0.5583333333333333,34,26,27,33,0.518445508307519,0.27158946972520515,0.7388479283814059,0.4872965329158551,0.16010918675620303,-0.07103680041747823,0.0
early_2015_2017,learned_clip,20260911,120,0.5416666666666666,0.4583333333333333,65,0.5363277949873275,0.55,0.5583333333333333,39,26,27,28,0.5170374542382428,0.2644632551203856,0.7249873787379271,0.5085304818195797,0.13366107462623747,-0.04980285151375363,0.0
early_2015_2017,learned_clip,20260912,120,0.45,0.55,54,0.4522669670515348,0.475,0.5583333333333333,29,25,28,38,0.47873838355392845,0.27397782087750894,0.7448259741524728,0.49060405729745593,0.12912565507813833,-0.06772927603587742,0.0
early_2015_2017,learned_hmm_interaction,20260910,120,0.5083333333333333,0.49166666666666664,61,0.5143621515066179,0.45,0.5583333333333333,31,30,23,36,0.5254857786539003,0.2753772514301545,0.7503318725966729,0.46471281433715306,0.16258683254776482,-0.09362051899618029,0.0
early_2015_2017,learned_hmm_interaction,20260911,120,0.5,0.5,60,0.5108420163334272,0.4083333333333333,0.5583333333333333,28,32,21,39,0.4987327513376514,0.27767693131929966,0.7561256536928566,0.475028876849563,0.15400834439357966,-0.08330445648377033,0.0
early_2015_2017,learned_hmm_interaction,20260912,120,0.49166666666666664,0.5083333333333333,59,0.49746550267530276,0.45,0.5583333333333333,30,29,24,37,0.48070965925091524,0.28070791420478,0.7629776525058436,0.4841692267876534,0.14332229353987547,-0.07416410654567995,0.0
early_2015_2017,learned_market,20260910,120,0.5166666666666667,0.48333333333333334,62,0.5198535623767953,0.475,0.5583333333333333,33,29,24,34,0.5187271191213743,0.2778565722438905,0.7559441666009412,0.46911137209847215,0.17035309219864905,-0.0892219612348612,0.0
early_2015_2017,learned_market,20260911,120,0.5,0.5,60,0.5088707406364404,0.425,0.5583333333333333,29,31,22,38,0.5015488594762039,0.2771571769570727,0.7551567126114535,0.4750220820131877,0.15513162474946313,-0.08331125132014566,0.0
early_2015_2017,learned_market,20260912,120,0.5,0.5,60,0.5049281892424669,0.4583333333333333,0.5583333333333333,31,29,24,36,0.47958321599549425,0.28052485106588243,0.7622609706159599,0.48414415967642505,0.1433560510118796,-0.0741891736569083,0.0
early_2015_2017,learned_order_extension,20260910,120,0.5083333333333333,0.49166666666666664,61,0.5084483244156576,0.5,0.5583333333333333,34,27,26,33,0.5288651084201633,0.2653471003454175,0.7251440064638428,0.48474871281692133,0.16323948898166252,-0.07358462051641201,0.0
early_2015_2017,learned_order_extension,20260911,120,0.5083333333333333,0.49166666666666664,61,0.5163334272036046,0.43333333333333335,0.5583333333333333,30,31,22,37,0.4950718107575331,0.2844947232451771,0.7842054404568847,0.4977069880546462,0.17402679449379346,-0.060626345278687155,0.0
early_2015_2017,learned_order_extension,20260912,120,0.525,0.475,63,0.5214024218529991,0.5333333333333333,0.5583333333333333,37,26,27,30,0.5102787947057167,0.2753287381837643,0.7563037120201525,0.5079288712963246,0.1689089470410548,-0.05040446203700877,0.0
early_2015_2017,learned_order_offset,20260910,120,0.5083333333333333,0.49166666666666664,61,0.5084483244156576,0.5,0.5583333333333333,34,27,26,33,0.5283018867924528,0.2650617276972731,0.7245068980907856,0.4847242736153915,0.16198513024355984,-0.07360905971794185,0.0
early_2015_2017,learned_order_offset,20260911,120,0.5166666666666667,0.48333333333333334,62,0.5257673894677556,0.425,0.5583333333333333,30,32,21,37,0.4939453675021121,0.28358309870576204,0.7810377633922861,0.49696643059966383,0.1714040936330905,-0.061366902733669515,0.0
early_2015_2017,learned_order_offset,20260912,120,0.525,0.475,63,0.5214024218529991,0.5333333333333333,0.5583333333333333,37,26,27,30,0.5108420163334272,0.2747278164501165,0.754358827945574,0.5081996262544156,0.16745126011143868,-0.05013370707891773,0.0
early_2015_2017,learned_order_shrink16,20260910,120,0.49166666666666664,0.5083333333333333,59,0.49549422697831597,0.4666666666666667,0.5583333333333333,31,28,25,36,0.5266122219093213,0.26724448811196233,0.729095250598599,0.48047706873125656,0.16099765568500826,-0.07785626460207679,0.0
early_2015_2017,learned_order_shrink16,20260911,120,0.5083333333333333,0.49166666666666664,61,0.5183047029005914,0.4166666666666667,0.5583333333333333,29,32,21,38,0.49788791889608564,0.28204334371816153,0.7742323585996793,0.49067704761965264,0.16751497519466504,-0.06765628571368071,0.0
early_2015_2017,learned_order_shrink16,20260912,120,0.5333333333333333,0.4666666666666667,64,0.5308363841171502,0.525,0.5583333333333333,37,27,26,30,0.5018304702900591,0.2758358824366742,0.7549927270516804,0.5034524207189587,0.1637502485643085,-0.054880912614374666,0.0
