window,method,reference,changed,correct_to_wrong,wrong_to_correct
early_2015_2017,learned_order_offset,learned_vol_interaction,6,0,6
early_2015_2017,learned_order_offset,learned_order_extension,1,0,1
early_2015_2017,learned_order_offset,learned_market,7,2,5
early_2015_2017,learned_order_offset,native_mse,31,14,17
early_2015_2017,learned_order_offset,training_frequency,73,37,36
early_2015_2017,learned_order_offset,order_only,66,32,34
early_2015_2017,raw_order_offset,raw_vol_interaction,4,3,1
early_2015_2017,raw_order_offset,raw_order_extension,1,1,0
early_2015_2017,raw_order_offset,raw_trend,4,3,1
early_2015_2017,raw_order_offset,native_mse,65,37,28
early_2015_2017,raw_order_offset,training_frequency,83,48,35
early_2015_2017,raw_order_offset,order_only,58,34,24
late_2018_2020,learned_order_offset,learned_vol_interaction,5,3,2
late_2018_2020,learned_order_offset,learned_order_extension,0,0,0
late_2018_2020,learned_order_offset,learned_market,3,1,2
late_2018_2020,learned_order_offset,native_mse,15,9,6
late_2018_2020,learned_order_offset,training_frequency,58,28,30
late_2018_2020,learned_order_offset,order_only,55,26,29
late_2018_2020,raw_order_offset,raw_vol_interaction,1,0,1
late_2018_2020,raw_order_offset,raw_order_extension,0,0,0
late_2018_2020,raw_order_offset,raw_trend,6,3,3
late_2018_2020,raw_order_offset,native_mse,52,29,23
late_2018_2020,raw_order_offset,training_frequency,61,31,30
late_2018_2020,raw_order_offset,order_only,58,29,29
