cutoff,row_index,date,high_probability,gate,hmm_bucket
2014-12-31,1087,2015-01-09,0.35148523160190726,-0.2970295367961855,uncertain
2014-12-31,1092,2015-01-16,0.5871029312017257,0.17420586240345148,uncertain
2014-12-31,1097,2015-01-23,0.4709311213242499,-0.058137757351500174,uncertain
2014-12-31,1102,2015-01-30,0.9109120086739049,0.8218240173478097,high_probability
2014-12-31,1107,2015-02-06,0.9748439716709671,0.9496879433419343,high_probability
2014-12-31,1112,2015-02-13,0.6843442092306059,0.3686884184612118,uncertain
2014-12-31,1117,2015-02-27,0.31945126575913857,-0.36109746848172286,uncertain
2014-12-31,1122,2015-03-06,0.457341279540307,-0.08531744091938598,uncertain
2014-12-31,1127,2015-03-13,0.4858590677021086,-0.028281864595782746,uncertain
2014-12-31,1131,2015-09-25,0.9814239032205871,0.9628478064411743,high_probability
2014-12-31,1136,2015-10-09,0.8726122296447377,0.7452244592894754,high_probability
2014-12-31,1141,2015-10-16,0.8863918836148431,0.7727837672296862,high_probability
2014-12-31,1146,2015-10-23,0.8811831105612133,0.7623662211224267,high_probability
2014-12-31,1151,2015-10-30,0.4920790318459519,-0.01584193630809616,uncertain
2014-12-31,1156,2015-11-06,0.9995824456587774,0.9991648913175548,high_probability
2014-12-31,1161,2015-11-13,0.8893804690608687,0.7787609381217373,high_probability
2014-12-31,1166,2015-11-20,0.3159744355370478,-0.3680511289259044,uncertain
2014-12-31,1171,2015-11-27,1.0,1.0,high_probability
2014-12-31,1176,2015-12-04,0.9964272413473767,0.9928544826947534,high_probability
2014-12-31,1181,2015-12-11,0.4951004490329292,-0.009799101934141574,uncertain
2014-12-31,1186,2015-12-18,0.3444197040982289,-0.31116059180354216,uncertain
2014-12-31,1191,2015-12-25,0.383111525689402,-0.23377694862119602,uncertain
2015-12-31,1200,2016-01-08,0.8800774153046333,0.7601548306092667,high_probability
2015-12-31,1205,2016-01-15,0.8989317984809149,0.7978635969618297,high_probability
2015-12-31,1210,2016-01-22,0.5936560170528735,0.18731203410574704,uncertain
2015-12-31,1215,2016-01-29,0.9416136259613695,0.8832272519227391,high_probability
