job,root_gamma,coefficient_absolute_gap,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_absolute,root_iterations,root_converged
learned_order_offset_2014-12-31_20260910,0.07707821796039424,2.0885460028097214e-11,1.1102230246251565e-16,2.2378543462764355e-11,5.312590645178972e-18,11,True
learned_order_offset_2014-12-31_20260911,0.14803850360599866,7.605027718682322e-14,0.0,5.3179682879545e-14,0.0,11,True
learned_order_offset_2014-12-31_20260912,0.12269149029107339,3.0531133177191805e-16,1.1102230246251565e-16,3.3306690738754696e-16,5.139118297581291e-17,11,True
learned_order_offset_2015-12-31_20260910,0.22294535811256383,6.913913885853162e-14,0.0,5.5844218138645374e-14,9.974659986866641e-18,11,True
learned_order_offset_2015-12-31_20260911,0.23066065336493619,8.924139205390702e-12,1.1102230246251565e-16,6.502853810985698e-12,2.6172640443800077e-15,10,True
learned_order_offset_2015-12-31_20260912,0.1711152332582908,6.106226635438361e-15,0.0,7.716050021144838e-15,4.7704895589362195e-18,12,True
learned_order_offset_2016-12-31_20260910,-0.01887609640890963,1.3917804755902985e-10,1.1102230246251565e-16,1.1633086161033646e-10,1.6805133673525319e-18,10,True
learned_order_offset_2016-12-31_20260911,0.20428619535220063,1.7249673911479135e-11,0.0,1.5714041179393234e-11,2.6402491304367004e-15,10,True
learned_order_offset_2016-12-31_20260912,0.05996719477831127,2.0816681711721685e-17,0.0,2.220446049250313e-16,7.697835424647081e-18,11,True
learned_order_offset_2017-12-31_20260910,0.06803375587726439,6.938893903907228e-17,0.0,2.220446049250313e-16,7.48099499014998e-18,11,True
learned_order_offset_2017-12-31_20260911,0.181677594210027,8.706591003715403e-12,1.1102230246251565e-16,8.217315716763096e-12,1.6479873021779667e-17,11,True
learned_order_offset_2017-12-31_20260912,0.051060882755652744,2.310651670001107e-15,0.0,2.1094237467877974e-15,5.056718932472393e-16,10,True
learned_order_offset_2018-12-31_20260910,0.11688027177185643,7.91033905045424e-16,1.1102230246251565e-16,7.771561172376096e-16,2.667137344314341e-17,11,True
learned_order_offset_2018-12-31_20260911,0.14142931419195895,1.140476602046192e-13,2.220446049250313e-16,9.792167077193881e-14,5.204170427930421e-18,11,True
learned_order_offset_2018-12-31_20260912,0.09594656805736076,4.85722573273506e-15,0.0,4.107825191113079e-15,8.05995895025724e-16,11,True
learned_order_offset_2019-12-31_20260910,0.038747624939535874,8.490090575019593e-12,0.0,9.248379839732479e-12,1.496198998029996e-17,10,True
learned_order_offset_2019-12-31_20260911,0.08025972401347414,3.0531133177191805e-16,0.0,3.3306690738754696e-16,1.0842021724855044e-18,11,True
learned_order_offset_2019-12-31_20260912,0.04301621275327367,4.203579845318828e-11,0.0,4.046685209146972e-11,1.5178830414797062e-18,10,True
raw_order_offset_2014-12-31_-1,0.05501788813363871,2.5454081897802183e-10,0.0,2.553902089807991e-10,7.461479351045242e-16,10,True
raw_order_offset_2015-12-31_-1,0.041085972723865695,1.8735013540549517e-15,0.0,1.887379141862766e-15,4.391018798566293e-16,10,True
raw_order_offset_2016-12-31_-1,0.049587806668299664,2.0816681711721685e-17,0.0,1.1102230246251565e-16,4.9873299934333204e-18,11,True
raw_order_offset_2017-12-31_-1,0.09496537628980098,1.582067810090848e-15,0.0,1.887379141862766e-15,1.0842021724855044e-18,12,True
raw_order_offset_2018-12-31_-1,0.07732029070019149,7.618905506490137e-15,0.0,1.0158540675320182e-14,1.9331324735416544e-15,11,True
raw_order_offset_2019-12-31_-1,0.025150037875582298,1.3504503765249254e-10,0.0,1.830295914828639e-10,9.161508357502512e-18,10,True
