job,method,cutoff,seed,coordinate,coefficient,trainable,block
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,18,-0.056634248821100464,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,19,-0.028308944643943373,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,20,0.2550861502336968,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,21,-0.04973371463326993,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,22,-0.1844276451258352,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,23,-0.06102143393722819,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,24,-0.23033479401713303,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,25,-0.1559616541389206,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,26,0.24666233094915646,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,27,-0.03158143973527552,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,28,0.19077032868384594,False,parent
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,29,-0.02841001889652635,False,original_interaction
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,30,0.1480385036059226,True,order_interaction
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,31,-0.03358884274727966,False,intercept
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,0,0.011262687721198978,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,1,0.3469560337262101,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,2,0.2028547785634872,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,3,0.1023009531307435,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,4,0.0635699572561108,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,5,0.0509180273832936,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,6,-0.2763938533577289,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,7,-0.014914008957219508,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,8,-0.12902480485882625,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,9,-0.2259627278592097,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,10,0.22964256070235825,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,11,-0.17041835980403597,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,12,-0.236883977921284,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,13,0.07830572344465682,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,14,0.05486401839795752,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,15,0.1465809443124507,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,16,0.12534411208884835,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,17,0.08662235385797533,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,18,-0.07996811358345074,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,19,0.2563891285509831,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,20,0.09300563307592112,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,21,0.14359703522394998,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,22,0.08022270942266393,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,23,-0.40676047044848784,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,24,0.03591151990229665,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,25,-0.0820950710649488,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,26,0.18227347317986697,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,27,0.07660442962255343,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,28,0.15828178110705451,False,parent
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,29,-0.029596249672972932,False,original_interaction
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,30,0.12269149029107308,True,order_interaction
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,31,-0.031219053613648646,False,intercept
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,0,0.030435356659772376,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,1,-0.03210445100105014,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,2,0.13583696307252321,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,3,0.0071511544728607036,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,4,0.029998226162729093,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,5,0.10856600762190617,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,6,-0.13826556922767808,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,7,-0.25749276347729644,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,8,-0.16255184793787575,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,9,-0.10656369080363585,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,10,-0.05094480684920661,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,11,-0.012207558369953036,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,12,-0.13805860856737806,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,13,0.12186351834118644,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,14,0.16254178432565922,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,15,0.22467888443393083,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,16,-0.03043252569742935,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,17,-0.009015136892985392,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,18,0.01244288621548312,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,19,-0.2589300827547397,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,20,0.24408977881590072,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,21,-0.03488484305887067,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,22,0.21395598042454272,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,23,0.106434247702993,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,24,-0.062446717523785625,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,25,-0.2589957526112661,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,26,0.25876842772138975,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,27,-0.02033766794872224,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,28,0.1650054548225265,False,parent
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,29,-0.07132495336597748,False,original_interaction
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,30,0.2229453581124947,True,order_interaction
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,31,0.007931541557374957,False,intercept
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,0,-0.18098422484222132,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,1,0.0880934249743927,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,2,0.028628691069451536,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,3,0.06851212144887862,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,4,0.20094945100817777,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,5,-0.06073760705253727,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,6,-0.2548466966216162,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,7,-0.0312743800768972,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,8,-0.1831643871265241,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,9,0.08156405290602008,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,10,-0.06823016685625445,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,11,-0.06871401989347135,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,12,0.04535735498228527,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,13,-0.31077442463721255,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,14,0.13629626074168727,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,15,0.14077044949769912,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,16,-0.14200386797169126,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,17,0.2934634054893389,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,18,0.006336573516814829,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,19,-0.0778103734284997,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,20,0.0973728220389808,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,21,0.11551654071272985,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,22,0.07285899756115638,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,23,0.3368390833931542,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,24,-0.2571213194569124,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,25,-0.2159268882075053,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,26,0.3139868456201081,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,27,-0.013951903967205751,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,28,0.16353222569394446,False,parent
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,29,-0.14682875956739752,False,original_interaction
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,30,0.23066065335601205,True,order_interaction
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,31,0.013660717585718855,False,intercept
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,0,0.10023507159988418,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,1,0.03089400745862127,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,2,0.19055324758287528,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,3,-0.17376958544186405,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,4,0.17750191589978564,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,5,-0.3645129410431388,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,6,0.24264639719889877,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,7,-0.20375288194304494,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,8,0.06356059006174865,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,9,-0.04564905453109175,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,10,0.008421008286891445,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,11,0.04045967497372492,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,12,0.1948009337413374,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,13,-0.19945499704074796,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,14,0.021480156674150274,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,15,-0.1252812985815846,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,16,-0.06409099008997174,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,17,0.4693626829513772,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,18,-0.3973434240387458,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,19,0.14172364928988657,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,20,0.14349583464263316,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,21,-0.04520781240727793,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,22,-0.03886147070264095,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,23,0.05655965415137401,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,24,-0.10397506767013,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,25,-0.21805388686904867,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,26,0.18830687857953723,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,27,0.07035695852656135,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,28,0.179899312476692,False,parent
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,29,-0.19049437768886018,False,original_interaction
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,30,0.1711152332582847,True,order_interaction
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,31,0.007566949347704381,False,intercept
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,0,0.04719399948916391,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,1,-0.007883505905903134,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,2,0.07540129612837505,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,3,-0.022437479156496614,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,4,-0.05481766617868217,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,5,-0.052201689568952096,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,6,-0.0640052516724283,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,7,0.1882179216037108,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,8,-0.22074223003178295,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,9,-0.07838593097089393,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,10,-0.08147680200569524,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,11,-0.17748124919346733,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,12,0.03826138283609267,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,13,-0.10400579956179319,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,14,-0.003200247292672197,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,15,0.12483671615465433,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,16,-0.14802146391605317,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,17,0.03094245414994781,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,18,0.0798540802177449,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,19,0.2154753671602202,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,20,0.20455486647569301,False,parent
