job,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf,alternate_success,alternate_iterations,alternate_message
learned_order_shrink4_2014-12-31_20260910,9.992007221626409e-16,5.703137528900726e-08,8.083400440325739e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2014-12-31_20260911,1.2212453270876722e-15,5.0845731458526444e-08,5.185492558349575e-09,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2014-12-31_20260912,7.771561172376096e-16,5.737136704597745e-08,7.008795145820035e-09,True,58,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2015-12-31_20260910,7.216449660063518e-15,8.959519304241326e-08,7.474699251913686e-09,True,78,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2015-12-31_20260911,1.9984014443252818e-15,7.498880050249568e-08,1.1600648231087363e-08,True,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2015-12-31_20260912,2.886579864025407e-15,8.398709927526227e-08,9.220784201284526e-09,True,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2016-12-31_20260910,1.6653345369377348e-15,8.206324353388084e-08,1.4122126594864892e-08,True,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2016-12-31_20260911,3.6637359812630166e-15,1.0507510672663756e-07,5.900232662040331e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2016-12-31_20260912,1.2212453270876722e-15,6.288993226188921e-08,5.392156538657801e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2017-12-31_20260910,6.439293542825908e-15,1.8797595469077777e-07,2.308783079302268e-08,True,70,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2017-12-31_20260911,4.218847493575595e-15,8.333221179768202e-08,1.1765163292058213e-08,True,77,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2017-12-31_20260912,1.9984014443252818e-15,7.220274678143568e-08,6.972051601320168e-09,True,84,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2018-12-31_20260910,1.887379141862766e-15,6.864468382605793e-08,5.667052596018251e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2018-12-31_20260911,3.552713678800501e-15,6.174693928384656e-08,7.231669434180736e-09,True,71,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2018-12-31_20260912,2.1094237467877974e-15,7.030381288242182e-08,6.815230003173051e-09,True,69,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2019-12-31_20260910,1.6653345369377348e-15,9.334115874670701e-08,1.040700080642441e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2019-12-31_20260911,9.992007221626409e-16,5.957321402849658e-08,4.692895044626239e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink4_2019-12-31_20260912,5.88418203051333e-15,2.7605625163573677e-07,7.653461030188678e-09,True,77,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2014-12-31_20260910,2.4424906541753444e-15,8.328111794630999e-08,6.46291190166794e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2014-12-31_20260911,1.9984014443252818e-15,7.555130604464111e-08,4.251094423992453e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2014-12-31_20260912,1.4432899320127035e-15,7.538606333623576e-08,9.094377425721174e-09,True,57,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2015-12-31_20260910,3.552713678800501e-15,1.1489580220569451e-07,1.8043271475445127e-08,True,80,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2015-12-31_20260911,4.773959005888173e-15,1.2150083550377389e-07,2.5684581414844865e-08,True,82,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2015-12-31_20260912,1.7763568394002505e-15,9.328396000096717e-08,1.2646819227355712e-08,True,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2016-12-31_20260910,1.6653345369377348e-15,6.841522592893057e-08,6.632689644693254e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2016-12-31_20260911,3.552713678800501e-15,8.669010265194288e-08,5.615222436767403e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2016-12-31_20260912,2.7755575615628914e-15,9.460923072746041e-08,2.0436726356999266e-08,True,71,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2017-12-31_20260910,1.2212453270876722e-15,6.67398225573379e-08,3.1781327144639326e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2017-12-31_20260911,1.887379141862766e-15,8.495984238354737e-08,6.529608643709994e-09,True,78,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2017-12-31_20260912,1.9984014443252818e-15,5.706940819916184e-08,4.66890314506762e-09,True,80,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2018-12-31_20260910,2.4424906541753444e-15,9.917597132425016e-08,7.314656961512553e-09,True,71,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2018-12-31_20260911,4.551914400963142e-15,8.162191889038439e-08,6.618174086883699e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2018-12-31_20260912,9.992007221626409e-16,6.129490726092257e-08,7.0297639317724175e-09,True,69,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2019-12-31_20260910,2.4424906541753444e-15,7.530200296645972e-08,7.428344315314403e-09,True,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2019-12-31_20260911,1.7763568394002505e-15,5.918307433017134e-08,7.463077481436415e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_shrink16_2019-12-31_20260912,1.6653345369377348e-15,9.786102483921866e-08,5.9462156882378325e-09,True,78,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink4_2014-12-31_-1,1.7763568394002505e-15,7.224183740106582e-08,3.61603276531966e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink4_2015-12-31_-1,1.9984014443252818e-15,1.1080463402368679e-07,1.1403731314395434e-08,True,69,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink4_2016-12-31_-1,2.55351295663786e-15,8.436789944443746e-08,7.413234823748505e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink4_2017-12-31_-1,2.886579864025407e-15,1.3053318237421507e-07,9.376792942583298e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink4_2018-12-31_-1,1.2212453270876722e-15,7.100044252528193e-08,4.485496531711833e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink4_2019-12-31_-1,2.4424906541753444e-15,1.5293752941847316e-07,2.099998602588622e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink16_2014-12-31_-1,3.3306690738754696e-15,1.2240691915632596e-07,5.2890662049706605e-09,True,70,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink16_2015-12-31_-1,2.7755575615628914e-15,1.3183310382247626e-07,1.7134663566589943e-08,True,70,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink16_2016-12-31_-1,1.4432899320127035e-15,6.764093202216159e-08,5.428645664289425e-09,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink16_2017-12-31_-1,1.2212453270876722e-15,7.558779357985657e-08,6.595431624456527e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink16_2018-12-31_-1,1.5543122344752192e-15,8.888900715486869e-08,1.0493542048316262e-08,True,71,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_shrink16_2019-12-31_-1,1.7763568394002505e-15,1.731995017406618e-07,9.314667815275152e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
