job,method,cutoff,seed,row_index,date,order_feature,refitted_base_logit,original_interaction_logit,order_interaction_logit,logit
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1087,2015-01-09,1.687567934130874,0.18283078122553675,-0.005291986062000985,0.11438662621877384,0.29192542138230965
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1092,2015-01-16,0.7648408293101535,0.028370863940567065,-0.0047515919079766395,0.05184239418735762,0.07546166621994815
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1097,2015-01-23,0.20320389516818782,0.5629712558914854,-0.008511053968302158,0.013773553960524473,0.5682337558837077
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1102,2015-01-30,0.83128922271032,0.3432099457528409,-0.0075505826538358875,0.05634639511376621,0.3920057582127712
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1107,2015-02-06,0.8047116546898899,0.21147841956921729,-0.0014250427736768405,0.05454491602811228,0.2645982928236527
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1112,2015-02-13,0.6598052473603514,0.24580143014973185,-0.0017537319179225627,0.04472287881309142,0.2887705770449006
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1117,2015-02-27,0.6434454140585434,-0.03695290398559781,0.0002577795916847526,0.04361397759551814,0.006918853201605041
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1122,2015-03-06,0.47558762634538043,0.3107811384102409,-0.0012321377080867606,0.03223625132286024,0.3417852520250143
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1127,2015-03-13,0.0616090773898117,0.24183985527722765,0.0008926334684072139,0.004175982705372603,0.24690847145100736
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1131,2015-09-25,1.8091472159872786,-0.14071541193212903,0.014880753702160656,0.12262750564554362,-0.0032071525844247217
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1136,2015-10-09,1.771600671561646,-0.5586614854346279,0.02117158000805458,0.12008252807388022,-0.41740737735269307
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1141,2015-10-16,1.379705212426961,0.3798279789153435,0.019085876274011277,0.09351909409635507,0.49243294928570985
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1146,2015-10-23,0.7468322186363539,0.11141572389871132,0.007514242413909882,0.0506217356430696,0.1695517019556909
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1151,2015-10-30,0.019406876892859908,-0.272526696760401,0.004905894140089198,0.0013154357393977177,-0.2663053668809143
