job,method,source_method,cutoff,seed,multiplier,split,n,order_coefficient,original_interaction_coefficient,order_logit_sd,parent_coefficient_l2_drift,rms_probability_change_vs_parent,rms_probability_change_vs_weak
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,learned_order_extension,2014-12-31,20260910,4,training,1077,0.0677819386735888,-0.004134749172236182,0.0677819386735888,0.004715012729983211,0.014227823796355357,0.0019790238440591623
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,learned_order_extension,2014-12-31,20260910,4,validation,22,0.0677819386735888,-0.004134749172236182,0.03880425939546038,0.004715012729983211,0.014484832084244054,0.0020215417745153316
learned_order_shrink4_2014-12-31_20260911,learned_order_shrink4,learned_order_extension,2014-12-31,20260911,4,training,1077,0.13054242104543057,-0.027801243986498324,0.13054242104543057,0.015183077953089253,0.026711761877719137,0.003799180527285179
learned_order_shrink4_2014-12-31_20260911,learned_order_shrink4,learned_order_extension,2014-12-31,20260911,4,validation,22,0.13054242104543057,-0.027801243986498324,0.10910091008654789,0.015183077953089253,0.024974720588601243,0.0035642994368996067
learned_order_shrink4_2014-12-31_20260912,learned_order_shrink4,learned_order_extension,2014-12-31,20260912,4,training,1077,0.10768043869539795,-0.028744594034527164,0.10768043869539794,0.011655047903992657,0.021521834506351135,0.0031405238869400263
learned_order_shrink4_2014-12-31_20260912,learned_order_shrink4,learned_order_extension,2014-12-31,20260912,4,validation,22,0.10768043869539795,-0.028744594034527164,0.11259723151118345,0.011655047903992657,0.026133411925996858,0.0038186442835507215
learned_order_shrink4_2015-12-31_20260910,learned_order_shrink4,learned_order_extension,2015-12-31,20260910,4,training,1190,0.1960407579901066,-0.07235653221409111,0.1960407579901066,0.018284117199705997,0.03979519572523105,0.005716472690785521
learned_order_shrink4_2015-12-31_20260910,learned_order_shrink4,learned_order_extension,2015-12-31,20260910,4,validation,48,0.1960407579901066,-0.07235653221409111,0.2789138132064855,0.018284117199705997,0.05977548253081699,0.008349112103871641
learned_order_shrink4_2015-12-31_20260911,learned_order_shrink4,learned_order_extension,2015-12-31,20260911,4,training,1190,0.20376882374629046,-0.14978370611147676,0.20376882374629043,0.02232177411018733,0.04337283489541798,0.0060042608415061816
learned_order_shrink4_2015-12-31_20260911,learned_order_shrink4,learned_order_extension,2015-12-31,20260911,4,validation,48,0.20376882374629046,-0.14978370611147676,0.3222258876478143,0.02232177411018733,0.05669227733494627,0.007077597259363919
learned_order_shrink4_2015-12-31_20260912,learned_order_shrink4,learned_order_extension,2015-12-31,20260912,4,training,1190,0.15131686467876823,-0.19355038826424156,0.1513168646787682,0.0183295316985337,0.032137860083734086,0.004436619650577682
learned_order_shrink4_2015-12-31_20260912,learned_order_shrink4,learned_order_extension,2015-12-31,20260912,4,validation,48,0.15131686467876823,-0.19355038826424156,0.29803380074676117,0.0183295316985337,0.05923131478685162,0.007450292655340167
learned_order_shrink4_2016-12-31_20260910,learned_order_shrink4,learned_order_extension,2016-12-31,20260910,4,training,1434,-0.01659144002992849,0.12689968019827544,0.01659144002992849,0.0015938914754075363,0.003372643353818759,0.0004802457848252924
learned_order_shrink4_2016-12-31_20260910,learned_order_shrink4,learned_order_extension,2016-12-31,20260910,4,validation,50,-0.01659144002992849,0.12689968019827544,0.0156418269059556,0.0015938914754075363,0.003986773052644603,0.0005640683321985536
learned_order_shrink4_2016-12-31_20260911,learned_order_shrink4,learned_order_extension,2016-12-31,20260911,4,training,1434,0.1801135035726884,0.10095417391237499,0.1801135035726884,0.01935014691991267,0.03751582793875424,0.005293154709100081
learned_order_shrink4_2016-12-31_20260911,learned_order_shrink4,learned_order_extension,2016-12-31,20260911,4,validation,50,0.1801135035726884,0.10095417391237499,0.20145572587280108,0.01935014691991267,0.0506619092738023,0.007372086342243038
learned_order_shrink4_2016-12-31_20260912,learned_order_shrink4,learned_order_extension,2016-12-31,20260912,4,training,1434,0.0531633949371007,-0.005621151704227796,0.0531633949371007,0.0021749835241911372,0.011956462318897455,0.001532678180774392
learned_order_shrink4_2016-12-31_20260912,learned_order_shrink4,learned_order_extension,2016-12-31,20260912,4,validation,50,0.0531633949371007,-0.005621151704227796,0.06221934474874376,0.0021749835241911372,0.014673871982188886,0.001912723804368128
learned_order_shrink4_2017-12-31_20260910,learned_order_shrink4,learned_order_extension,2017-12-31,20260910,4,training,1678,0.05956835579357966,0.08621155070226691,0.05956835579357966,0.006849537215919965,0.011825277950990714,0.0017464687374840436
learned_order_shrink4_2017-12-31_20260910,learned_order_shrink4,learned_order_extension,2017-12-31,20260910,4,validation,49,0.05956835579357966,0.08621155070226691,0.031342175980559626,0.006849537215919965,0.006946586649418908,0.0010322215924827385
learned_order_shrink4_2017-12-31_20260911,learned_order_shrink4,learned_order_extension,2017-12-31,20260911,4,training,1678,0.15941214368908352,0.07396514761914622,0.15941214368908352,0.012546711787490356,0.03293021127745529,0.004645687350705486
learned_order_shrink4_2017-12-31_20260911,learned_order_shrink4,learned_order_extension,2017-12-31,20260911,4,validation,49,0.15941214368908352,0.07396514761914622,0.08684415071900588,0.012546711787490356,0.019819311365329235,0.0029270950839130395
learned_order_shrink4_2017-12-31_20260912,learned_order_shrink4,learned_order_extension,2017-12-31,20260912,4,training,1678,0.0451002732420144,0.18930165160661216,0.0451002732420144,0.004857426602559973,0.009481562173637305,0.0013106992582607845
learned_order_shrink4_2017-12-31_20260912,learned_order_shrink4,learned_order_extension,2017-12-31,20260912,4,validation,49,0.0451002732420144,0.18930165160661216,0.025751567317358864,0.004857426602559973,0.0056796876415244986,0.0007875782976694585
