source_job,split,n,maximum_gate_gap,maximum_input_gap
learned_order_extension_2014-12-31_20260910,training,1077,0.0,0.0
learned_order_extension_2014-12-31_20260910,validation,22,0.0,0.0
learned_order_extension_2014-12-31_20260911,training,1077,0.0,0.0
learned_order_extension_2014-12-31_20260911,validation,22,0.0,0.0
learned_order_extension_2014-12-31_20260912,training,1077,0.0,0.0
learned_order_extension_2014-12-31_20260912,validation,22,0.0,0.0
learned_order_extension_2015-12-31_20260910,training,1190,0.0,0.0
learned_order_extension_2015-12-31_20260910,validation,48,0.0,0.0
learned_order_extension_2015-12-31_20260911,training,1190,0.0,0.0
learned_order_extension_2015-12-31_20260911,validation,48,0.0,0.0
learned_order_extension_2015-12-31_20260912,training,1190,0.0,0.0
learned_order_extension_2015-12-31_20260912,validation,48,0.0,0.0
learned_order_extension_2016-12-31_20260910,training,1434,0.0,0.0
learned_order_extension_2016-12-31_20260910,validation,50,0.0,0.0
learned_order_extension_2016-12-31_20260911,training,1434,0.0,0.0
learned_order_extension_2016-12-31_20260911,validation,50,0.0,0.0
learned_order_extension_2016-12-31_20260912,training,1434,0.0,0.0
learned_order_extension_2016-12-31_20260912,validation,50,0.0,0.0
learned_order_extension_2017-12-31_20260910,training,1678,0.0,0.0
learned_order_extension_2017-12-31_20260910,validation,49,0.0,0.0
learned_order_extension_2017-12-31_20260911,training,1678,0.0,0.0
learned_order_extension_2017-12-31_20260911,validation,49,0.0,0.0
learned_order_extension_2017-12-31_20260912,training,1678,0.0,0.0
learned_order_extension_2017-12-31_20260912,validation,49,0.0,0.0
learned_order_extension_2018-12-31_20260910,training,1921,0.0,0.0
learned_order_extension_2018-12-31_20260910,validation,46,0.0,0.0
learned_order_extension_2018-12-31_20260911,training,1921,0.0,0.0
learned_order_extension_2018-12-31_20260911,validation,46,0.0,0.0
learned_order_extension_2018-12-31_20260912,training,1921,0.0,0.0
learned_order_extension_2018-12-31_20260912,validation,46,0.0,0.0
learned_order_extension_2019-12-31_20260910,training,2165,0.0,0.0
learned_order_extension_2019-12-31_20260910,validation,46,0.0,0.0
learned_order_extension_2019-12-31_20260911,training,2165,0.0,0.0
learned_order_extension_2019-12-31_20260911,validation,46,0.0,0.0
learned_order_extension_2019-12-31_20260912,training,2165,0.0,0.0
learned_order_extension_2019-12-31_20260912,validation,46,0.0,0.0
raw_order_extension_2014-12-31_-1,training,1077,0.0,0.0
raw_order_extension_2014-12-31_-1,validation,22,0.0,0.0
raw_order_extension_2015-12-31_-1,training,1190,0.0,0.0
raw_order_extension_2015-12-31_-1,validation,48,0.0,0.0
raw_order_extension_2016-12-31_-1,training,1434,0.0,0.0
raw_order_extension_2016-12-31_-1,validation,50,0.0,0.0
raw_order_extension_2017-12-31_-1,training,1678,0.0,0.0
raw_order_extension_2017-12-31_-1,validation,49,0.0,0.0
raw_order_extension_2018-12-31_-1,training,1921,0.0,0.0
raw_order_extension_2018-12-31_-1,validation,46,0.0,0.0
raw_order_extension_2019-12-31_-1,training,2165,0.0,0.0
raw_order_extension_2019-12-31_-1,validation,46,0.0,0.0
