window,method,reference,changed,correct_to_wrong,wrong_to_correct
early_2015_2017,learned_order_shrink4,learned_vol_interaction,4,0,4
early_2015_2017,learned_order_shrink4,learned_order_extension,1,1,0
early_2015_2017,learned_order_shrink4,learned_market,9,4,5
early_2015_2017,learned_order_shrink4,native_mse,31,15,16
early_2015_2017,learned_order_shrink4,training_frequency,73,38,35
early_2015_2017,learned_order_shrink4,order_only,64,32,32
early_2015_2017,learned_order_shrink16,learned_vol_interaction,3,0,3
early_2015_2017,learned_order_shrink16,learned_order_extension,2,2,0
early_2015_2017,learned_order_shrink16,learned_market,8,4,4
early_2015_2017,learned_order_shrink16,native_mse,30,15,15
early_2015_2017,learned_order_shrink16,training_frequency,72,38,34
early_2015_2017,learned_order_shrink16,order_only,65,33,32
early_2015_2017,raw_order_shrink4,raw_vol_interaction,4,3,1
early_2015_2017,raw_order_shrink4,raw_order_extension,1,1,0
early_2015_2017,raw_order_shrink4,raw_trend,4,3,1
early_2015_2017,raw_order_shrink4,native_mse,65,37,28
early_2015_2017,raw_order_shrink4,training_frequency,83,48,35
early_2015_2017,raw_order_shrink4,order_only,58,34,24
early_2015_2017,raw_order_shrink16,raw_vol_interaction,3,2,1
early_2015_2017,raw_order_shrink16,raw_order_extension,2,1,1
early_2015_2017,raw_order_shrink16,raw_trend,3,2,1
early_2015_2017,raw_order_shrink16,native_mse,64,36,28
early_2015_2017,raw_order_shrink16,training_frequency,84,48,36
early_2015_2017,raw_order_shrink16,order_only,59,34,25
late_2018_2020,learned_order_shrink4,learned_vol_interaction,5,3,2
late_2018_2020,learned_order_shrink4,learned_order_extension,0,0,0
late_2018_2020,learned_order_shrink4,learned_market,3,1,2
late_2018_2020,learned_order_shrink4,native_mse,15,9,6
late_2018_2020,learned_order_shrink4,training_frequency,58,28,30
late_2018_2020,learned_order_shrink4,order_only,55,26,29
late_2018_2020,learned_order_shrink16,learned_vol_interaction,3,2,1
late_2018_2020,learned_order_shrink16,learned_order_extension,2,1,1
late_2018_2020,learned_order_shrink16,learned_market,3,1,2
late_2018_2020,learned_order_shrink16,native_mse,15,9,6
late_2018_2020,learned_order_shrink16,training_frequency,60,29,31
late_2018_2020,learned_order_shrink16,order_only,57,27,30
late_2018_2020,raw_order_shrink4,raw_vol_interaction,1,0,1
late_2018_2020,raw_order_shrink4,raw_order_extension,0,0,0
late_2018_2020,raw_order_shrink4,raw_trend,6,3,3
late_2018_2020,raw_order_shrink4,native_mse,52,29,23
late_2018_2020,raw_order_shrink4,training_frequency,61,31,30
late_2018_2020,raw_order_shrink4,order_only,58,29,29
late_2018_2020,raw_order_shrink16,raw_vol_interaction,1,0,1
late_2018_2020,raw_order_shrink16,raw_order_extension,0,0,0
late_2018_2020,raw_order_shrink16,raw_trend,6,3,3
late_2018_2020,raw_order_shrink16,native_mse,52,29,23
late_2018_2020,raw_order_shrink16,training_frequency,61,31,30
late_2018_2020,raw_order_shrink16,order_only,58,29,29
