window,method,bin_index,lower,upper,n,mean_probability,observed_frequency
early_2015_2017,hmm_only,0,0.0,0.2,0,,
early_2015_2017,hmm_only,1,0.2,0.4,0,,
early_2015_2017,hmm_only,2,0.4,0.6,117,0.4991209847621508,0.5641025641025641
early_2015_2017,hmm_only,3,0.6,0.8,3,0.6144361778910533,0.3333333333333333
early_2015_2017,hmm_only,4,0.8,1.0,0,,
early_2015_2017,learned_clip,0,0.0,0.2,0,,
early_2015_2017,learned_clip,1,0.2,0.4,30,0.3436704889555894,0.5333333333333333
early_2015_2017,learned_clip,2,0.4,0.6,63,0.5040148378691209,0.6031746031746031
early_2015_2017,learned_clip,3,0.6,0.8,27,0.6442293861812346,0.48148148148148145
early_2015_2017,learned_clip,4,0.8,1.0,0,,
early_2015_2017,learned_hmm_interaction,0,0.0,0.2,1,0.1925218820737112,0.0
early_2015_2017,learned_hmm_interaction,1,0.2,0.4,36,0.3235269118551704,0.5277777777777778
early_2015_2017,learned_hmm_interaction,2,0.4,0.6,59,0.4982414677741791,0.6610169491525424
early_2015_2017,learned_hmm_interaction,3,0.6,0.8,23,0.6474908384827988,0.391304347826087
early_2015_2017,learned_hmm_interaction,4,0.8,1.0,1,0.8284101263340031,0.0
early_2015_2017,learned_market,0,0.0,0.2,1,0.19211999858187734,0.0
early_2015_2017,learned_market,1,0.2,0.4,34,0.31605770035292763,0.5588235294117647
early_2015_2017,learned_market,2,0.4,0.6,60,0.49714608964945695,0.6333333333333333
early_2015_2017,learned_market,3,0.6,0.8,24,0.6471378350063457,0.4166666666666667
early_2015_2017,learned_market,4,0.8,1.0,1,0.83294932182227,0.0
early_2015_2017,learned_order_extension,0,0.0,0.2,2,0.1591909152177296,0.5
early_2015_2017,learned_order_extension,1,0.2,0.4,29,0.32646809231459395,0.4827586206896552
early_2015_2017,learned_order_extension,2,0.4,0.6,58,0.4970904421490856,0.6551724137931034
early_2015_2017,learned_order_extension,3,0.6,0.8,27,0.6547966170404663,0.4074074074074074
early_2015_2017,learned_order_extension,4,0.8,1.0,4,0.8296680186043593,0.75
early_2015_2017,learned_order_shrink16,0,0.0,0.2,3,0.17500499968933644,0.3333333333333333
early_2015_2017,learned_order_shrink16,1,0.2,0.4,30,0.3310669509825376,0.5333333333333333
early_2015_2017,learned_order_shrink16,2,0.4,0.6,58,0.49886058618936935,0.6206896551724138
early_2015_2017,learned_order_shrink16,3,0.6,0.8,28,0.6707812408839794,0.4642857142857143
early_2015_2017,learned_order_shrink16,4,0.8,1.0,1,0.8114492105157299,1.0
early_2015_2017,learned_order_shrink4,0,0.0,0.2,2,0.1608368157582461,0.5
early_2015_2017,learned_order_shrink4,1,0.2,0.4,31,0.33007240233538876,0.5161290322580645
early_2015_2017,learned_order_shrink4,2,0.4,0.6,56,0.49891585781076264,0.6428571428571429
early_2015_2017,learned_order_shrink4,3,0.6,0.8,27,0.6543178092680315,0.4074074074074074
early_2015_2017,learned_order_shrink4,4,0.8,1.0,4,0.8178364477689226,0.75
early_2015_2017,learned_persistence_interaction,0,0.0,0.2,1,0.19912682286357242,0.0
early_2015_2017,learned_persistence_interaction,1,0.2,0.4,35,0.31937699325078134,0.5428571428571428
early_2015_2017,learned_persistence_interaction,2,0.4,0.6,60,0.5022157156720503,0.65
early_2015_2017,learned_persistence_interaction,3,0.6,0.8,23,0.6482733488024417,0.391304347826087
early_2015_2017,learned_persistence_interaction,4,0.8,1.0,1,0.8338406392011243,0.0
early_2015_2017,learned_probe,0,0.0,0.2,0,,
early_2015_2017,learned_probe,1,0.2,0.4,30,0.34554353818084227,0.5333333333333333
early_2015_2017,learned_probe,2,0.4,0.6,63,0.5038266020156194,0.6031746031746031
early_2015_2017,learned_probe,3,0.6,0.8,27,0.6449997179968963,0.48148148148148145
early_2015_2017,learned_probe,4,0.8,1.0,0,,
early_2015_2017,learned_recent_additive,0,0.0,0.2,2,0.18102973651552384,0.5
early_2015_2017,learned_recent_additive,1,0.2,0.4,20,0.3155100926326012,0.45
early_2015_2017,learned_recent_additive,2,0.4,0.6,52,0.5132146024122027,0.5961538461538461
early_2015_2017,learned_recent_additive,3,0.6,0.8,44,0.6748908990814564,0.5681818181818182
early_2015_2017,learned_recent_additive,4,0.8,1.0,2,0.834949678160781,0.5
early_2015_2017,learned_recent_interaction,0,0.0,0.2,3,0.16730341303756593,0.3333333333333333
early_2015_2017,learned_recent_interaction,1,0.2,0.4,18,0.3173243264780802,0.5555555555555556
early_2015_2017,learned_recent_interaction,2,0.4,0.6,48,0.5065372773990848,0.5625
early_2015_2017,learned_recent_interaction,3,0.6,0.8,50,0.6737848950797068,0.56
early_2015_2017,learned_recent_interaction,4,0.8,1.0,1,0.8107469529188696,1.0
early_2015_2017,learned_relativevol_interaction,0,0.0,0.2,2,0.18305479820854365,0.0
early_2015_2017,learned_relativevol_interaction,1,0.2,0.4,34,0.31296370457823786,0.5588235294117647
early_2015_2017,learned_relativevol_interaction,2,0.4,0.6,57,0.49144625379199125,0.6140350877192983
early_2015_2017,learned_relativevol_interaction,3,0.6,0.8,26,0.655316593470476,0.5
