split,cutoff,daily_rows,valid_daily_rows,signal_rows,maximum_scalar_gap
training,2014-12-31,1092,1092,1077,1.4377388168895777e-14
training,2015-12-31,1336,1215,1190,1.4377388168895777e-14
training,2016-12-31,1580,1459,1434,2.5951463200613034e-14
training,2017-12-31,1824,1703,1678,3.450018049022674e-14
training,2018-12-31,2067,1946,1921,3.569367024169878e-14
training,2019-12-31,2311,2190,2165,3.569367024169878e-14
validation,2014-12-31,244,123,22,9.2148511043888e-15
validation,2015-12-31,244,244,48,2.5951463200613034e-14
validation,2016-12-31,244,244,50,3.450018049022674e-14
validation,2017-12-31,243,243,49,3.569367024169878e-14
validation,2018-12-31,244,244,46,2.640943019827091e-14
validation,2019-12-31,243,243,46,2.0761170560490427e-14
