job,training_rows,heldout_rows,maximum_forecast_error
learned_relativevol_interaction_2014-12-31_20260910,1077,22,1.3322676295501878e-14
learned_relativevol_interaction_2014-12-31_20260911,1077,22,5.329070518200751e-15
learned_relativevol_interaction_2014-12-31_20260912,1077,22,2.220446049250313e-16
learned_relativevol_interaction_2015-12-31_20260910,1190,48,2.020605904817785e-14
learned_relativevol_interaction_2015-12-31_20260911,1190,48,1.6431300764452317e-14
learned_relativevol_interaction_2015-12-31_20260912,1190,48,8.326672684688674e-15
learned_relativevol_interaction_2016-12-31_20260910,1434,50,1.2212453270876722e-14
learned_relativevol_interaction_2016-12-31_20260911,1434,50,5.262457136723242e-14
learned_relativevol_interaction_2016-12-31_20260912,1434,50,5.1514348342607263e-14
learned_relativevol_interaction_2017-12-31_20260910,1678,49,2.220446049250313e-16
learned_relativevol_interaction_2017-12-31_20260911,1678,49,1.071365218763276e-14
learned_relativevol_interaction_2017-12-31_20260912,1678,49,9.992007221626409e-16
learned_relativevol_interaction_2018-12-31_20260910,1921,46,2.8199664825478976e-14
learned_relativevol_interaction_2018-12-31_20260911,1921,46,5.551115123125783e-15
learned_relativevol_interaction_2018-12-31_20260912,1921,46,5.551115123125783e-16
learned_relativevol_interaction_2019-12-31_20260910,2165,46,4.218847493575595e-15
learned_relativevol_interaction_2019-12-31_20260911,2165,46,5.551115123125783e-15
learned_relativevol_interaction_2019-12-31_20260912,2165,46,1.6209256159527285e-14
raw_relativevol_interaction_2014-12-31_-1,1077,22,6.217248937900877e-15
raw_relativevol_interaction_2015-12-31_-1,1190,48,1.7319479184152442e-14
raw_relativevol_interaction_2016-12-31_-1,1434,50,3.164135620181696e-14
raw_relativevol_interaction_2017-12-31_-1,1678,49,9.46465128492946e-15
raw_relativevol_interaction_2018-12-31_-1,1921,46,2.7200464103316335e-15
raw_relativevol_interaction_2019-12-31_-1,2165,46,5.551115123125783e-15
learned_persistence_interaction_2014-12-31_20260910,1077,22,1.5543122344752192e-15
learned_persistence_interaction_2014-12-31_20260911,1077,22,1.6653345369377348e-15
learned_persistence_interaction_2014-12-31_20260912,1077,22,3.552713678800501e-15
learned_persistence_interaction_2015-12-31_20260910,1190,48,3.4416913763379853e-15
learned_persistence_interaction_2015-12-31_20260911,1190,48,1.709743457922741e-14
learned_persistence_interaction_2015-12-31_20260912,1190,48,5.773159728050814e-15
learned_persistence_interaction_2016-12-31_20260910,1434,50,1.3322676295501878e-15
learned_persistence_interaction_2016-12-31_20260911,1434,50,2.55351295663786e-14
learned_persistence_interaction_2016-12-31_20260912,1434,50,9.992007221626409e-15
learned_persistence_interaction_2017-12-31_20260910,1678,49,2.3314683517128287e-15
learned_persistence_interaction_2017-12-31_20260911,1678,49,2.886579864025407e-15
learned_persistence_interaction_2017-12-31_20260912,1678,49,2.1094237467877974e-15
learned_persistence_interaction_2018-12-31_20260910,1921,46,5.551115123125783e-16
learned_persistence_interaction_2018-12-31_20260911,1921,46,1.5543122344752192e-15
learned_persistence_interaction_2018-12-31_20260912,1921,46,1.9984014443252818e-15
learned_persistence_interaction_2019-12-31_20260910,2165,46,5.551115123125783e-15
learned_persistence_interaction_2019-12-31_20260911,2165,46,1.3322676295501878e-15
learned_persistence_interaction_2019-12-31_20260912,2165,46,7.882583474838611e-15
raw_persistence_interaction_2014-12-31_-1,1077,22,7.993605777301127e-15
raw_persistence_interaction_2015-12-31_-1,1190,48,7.549516567451064e-15
raw_persistence_interaction_2016-12-31_-1,1434,50,2.8310687127941492e-14
raw_persistence_interaction_2017-12-31_-1,1678,49,3.3306690738754696e-15
raw_persistence_interaction_2018-12-31_-1,1921,46,4.440892098500626e-15
raw_persistence_interaction_2019-12-31_-1,2165,46,4.996003610813204e-16
relativevol_only_2014-12-31_0,1077,22,2.3925306180672123e-14
relativevol_only_2015-12-31_0,1190,48,2.596534098842085e-14
relativevol_only_2016-12-31_0,1434,50,3.211320098728265e-14
relativevol_only_2017-12-31_0,1678,49,1.10397802011164e-14
relativevol_only_2018-12-31_0,1921,46,9.202708040056962e-15
relativevol_only_2019-12-31_0,2165,46,6.938893903907228e-16
persistence_only_2014-12-31_0,1077,22,6.217248937900877e-15
persistence_only_2015-12-31_0,1190,48,9.103828801926284e-15
persistence_only_2016-12-31_0,1434,50,1.2628786905111156e-14
persistence_only_2017-12-31_0,1678,49,1.5404344466674047e-15
persistence_only_2018-12-31_0,1921,46,3.039235529911366e-15
persistence_only_2019-12-31_0,2165,46,1.0547118733938987e-15
