job,method,cutoff,seed,train_n,objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std
learned_relativevol_interaction_2014-12-31_20260910,learned_relativevol_interaction,2014-12-31,20260910,1077,0.6348495642044814,0.6300908310086347,0.21970797416379367,0.6601671309192201,0.7020144182677382,0.49210770659262015,0.159598043825959
learned_relativevol_interaction_2014-12-31_20260911,learned_relativevol_interaction,2014-12-31,20260911,1077,0.6343229211407408,0.6307317808617866,0.22045444824941685,0.6313834726090993,0.6975578627850022,0.492107706592354,0.162674182554216
learned_relativevol_interaction_2014-12-31_20260912,learned_relativevol_interaction,2014-12-31,20260912,1077,0.6357917084389049,0.6314892684484845,0.22087772909139178,0.6323119777158774,0.6941154151288331,0.4921077065923644,0.1592094542247302
learned_relativevol_interaction_2015-12-31_20260910,learned_relativevol_interaction,2015-12-31,20260910,1190,0.6315517723660774,0.628410411976226,0.21926907621341352,0.646218487394958,0.7015697341028053,0.5033613445378226,0.16738006155859764
learned_relativevol_interaction_2015-12-31_20260911,learned_relativevol_interaction,2015-12-31,20260911,1190,0.6506417860402015,0.6464312720961805,0.2277787878694827,0.6067226890756302,0.666166679378208,0.5033613445378149,0.1360838983055582
learned_relativevol_interaction_2015-12-31_20260912,learned_relativevol_interaction,2015-12-31,20260912,1190,0.6443856518576256,0.6394630649922471,0.22439437948274338,0.626890756302521,0.6831436488902825,0.5033613445378149,0.145517551157402
learned_relativevol_interaction_2016-12-31_20260910,learned_relativevol_interaction,2016-12-31,20260910,1434,0.6401188301045164,0.6375553669007032,0.22385763661040156,0.6290097629009763,0.6828258970522716,0.5069735006973093,0.1554123992479481
learned_relativevol_interaction_2016-12-31_20260911,learned_relativevol_interaction,2016-12-31,20260911,1434,0.6561383183908502,0.6541888986840786,0.23144007571266784,0.5934449093444909,0.6513193862125454,0.5069735006973463,0.12989844543922782
learned_relativevol_interaction_2016-12-31_20260912,learned_relativevol_interaction,2016-12-31,20260912,1434,0.6630242775144692,0.660732396967316,0.23407904653688572,0.6101813110181311,0.6462803678677949,0.50697350069735,0.11630367991798576
learned_relativevol_interaction_2017-12-31_20260910,learned_relativevol_interaction,2017-12-31,20260910,1678,0.6507011808719445,0.6482194000571307,0.22858686372992804,0.6138259833134684,0.6650117749176467,0.5202622169250354,0.13705919028412097
learned_relativevol_interaction_2017-12-31_20260911,learned_relativevol_interaction,2017-12-31,20260911,1678,0.6519041259520667,0.6496245388992741,0.22917018766400038,0.6168057210965435,0.6626738667975781,0.5202622169249099,0.13572226586201697
learned_relativevol_interaction_2017-12-31_20260912,learned_relativevol_interaction,2017-12-31,20260912,1678,0.644150365058405,0.64156089849654,0.22530789769608267,0.6227651966626937,0.6789239646254438,0.5202622169249062,0.1479668121074376
learned_relativevol_interaction_2018-12-31_20260910,learned_relativevol_interaction,2018-12-31,20260910,1921,0.6307681104622225,0.6289131366368198,0.21986995091635408,0.631441957313899,0.6970267802337713,0.5111920874547506,0.1690303042687038
learned_relativevol_interaction_2018-12-31_20260911,learned_relativevol_interaction,2018-12-31,20260911,1921,0.6465343741659857,0.6453278281962089,0.2270354445589046,0.6184279021343051,0.6728135187366202,0.5111920874544504,0.14758056407687856
learned_relativevol_interaction_2018-12-31_20260912,learned_relativevol_interaction,2018-12-31,20260912,1921,0.649578012137995,0.6470352133354388,0.22778874061004245,0.6220718375845914,0.6707866192096719,0.5111920874544505,0.14032704212751368
learned_relativevol_interaction_2019-12-31_20260910,learned_relativevol_interaction,2019-12-31,20260910,2165,0.6511113139278811,0.6495164571442548,0.22906578873466285,0.6193995381062356,0.6642149235151892,0.5214780600461894,0.13820484996338978
learned_relativevol_interaction_2019-12-31_20260911,learned_relativevol_interaction,2019-12-31,20260911,2165,0.6395109260500899,0.6378895848633037,0.22353536148775227,0.6360277136258661,0.6862139249207451,0.5214780600461714,0.156425120616818
learned_relativevol_interaction_2019-12-31_20260912,learned_relativevol_interaction,2019-12-31,20260912,2165,0.6559370110620895,0.6543782517380008,0.23133388859623377,0.6101616628175519,0.655222443752116,0.5214780600461888,0.12934908205027776
raw_relativevol_interaction_2014-12-31_-1,raw_relativevol_interaction,2014-12-31,-1,1077,0.6546112403843288,0.6499214835207558,0.22890884518866225,0.6146703806870938,0.669887206374392,0.4921077065923776,0.12778840740255976
raw_relativevol_interaction_2015-12-31_-1,raw_relativevol_interaction,2015-12-31,-1,1190,0.6644809673623218,0.6606524886472431,0.2341823497215154,0.6016806722689075,0.6416983749000732,0.5033613445378149,0.10993957077644519
raw_relativevol_interaction_2016-12-31_-1,raw_relativevol_interaction,2016-12-31,-1,1434,0.6697639935781785,0.6658296632904576,0.2366898180173529,0.5843793584379359,0.630118543392952,0.50697350069735,0.09723803684911465
raw_relativevol_interaction_2017-12-31_-1,raw_relativevol_interaction,2017-12-31,-1,1678,0.6791383720085388,0.6764919847072949,0.24181884955527572,0.5709177592371871,0.6011355147168683,0.5202622169169947,0.07202214927890546
raw_relativevol_interaction_2018-12-31_-1,raw_relativevol_interaction,2018-12-31,-1,1921,0.6789340663921087,0.6761230375585868,0.24160359661437833,0.5830296720458095,0.6069235591010934,0.5111920874424732,0.07414558237714852
raw_relativevol_interaction_2019-12-31_-1,raw_relativevol_interaction,2019-12-31,-1,2165,0.6817811542770418,0.6793470442413706,0.24316616230953966,0.5764434180138568,0.5980845453830397,0.5214780600456754,0.06292601652354275
learned_persistence_interaction_2014-12-31_20260910,learned_persistence_interaction,2014-12-31,20260910,1077,0.6368070652000608,0.6321543692030037,0.2208195726603535,0.6415970287836583,0.696423027836225,0.49210770659269354,0.15707327678314809
learned_persistence_interaction_2014-12-31_20260911,learned_persistence_interaction,2014-12-31,20260911,1077,0.6345420951622173,0.6309434645795106,0.22059352693350104,0.6341689879294337,0.6961815735918043,0.49210770659238584,0.16246199600424152
learned_persistence_interaction_2014-12-31_20260912,learned_persistence_interaction,2014-12-31,20260912,1077,0.6354734127478499,0.631144786355021,0.22076938176887428,0.6360259981429898,0.6937877272256907,0.4921077065923829,0.15969292878679892
learned_persistence_interaction_2015-12-31_20260910,learned_persistence_interaction,2015-12-31,20260910,1190,0.6320198108674444,0.6289180447494831,0.21947139796542564,0.6403361344537815,0.7010895203229296,0.5033613445378042,0.16672112872437672
learned_persistence_interaction_2015-12-31_20260911,learned_persistence_interaction,2015-12-31,20260911,1190,0.6492817364167126,0.6449944004736413,0.22703824418725396,0.6151260504201681,0.6707032872045626,0.5033613445378149,0.13816665294934224
learned_persistence_interaction_2015-12-31_20260912,learned_persistence_interaction,2015-12-31,20260912,1190,0.6443899250503754,0.6394651298129654,0.22442282122614401,0.6285714285714286,0.6829967599693794,0.5033613445378151,0.14550831404648815
learned_persistence_interaction_2016-12-31_20260910,learned_persistence_interaction,2016-12-31,20260910,1434,0.6402483566467669,0.6377030505360161,0.2239095707108919,0.6331938633193863,0.682909556430196,0.5069735006973407,0.15532571333530662
learned_persistence_interaction_2016-12-31_20260911,learned_persistence_interaction,2016-12-31,20260911,1434,0.656644233035934,0.654740031828214,0.23155142592971273,0.6108786610878661,0.6554809538725537,0.5069735006973503,0.12933124045359726
learned_persistence_interaction_2016-12-31_20260912,learned_persistence_interaction,2016-12-31,20260912,1434,0.6641253951528465,0.6618861649418718,0.23462813526779971,0.6094839609483961,0.6446733295848743,0.50697350069735,0.11414321451321979
learned_persistence_interaction_2017-12-31_20260910,learned_persistence_interaction,2017-12-31,20260910,1678,0.6506022134909655,0.6481193085007817,0.2285877621696231,0.6174016686531585,0.6642334208448059,0.5202622169250108,0.1372335736307376
learned_persistence_interaction_2017-12-31_20260911,learned_persistence_interaction,2017-12-31,20260911,1678,0.6526943615729741,0.6504688433786558,0.22950227675415652,0.6162097735399285,0.662350856972103,0.5202622169249105,0.13457306183838863
learned_persistence_interaction_2017-12-31_20260912,learned_persistence_interaction,2017-12-31,20260912,1678,0.6440129947132657,0.6414164957556664,0.2252421540134232,0.6251489868891538,0.6792711646140602,0.5202622169249069,0.14819211987557546
learned_persistence_interaction_2018-12-31_20260910,learned_persistence_interaction,2018-12-31,20260910,1921,0.6316758336299042,0.629892841988051,0.22032390908081004,0.6340447683498178,0.695247142928409,0.5111920874544411,0.1681359068074826
learned_persistence_interaction_2018-12-31_20260911,learned_persistence_interaction,2018-12-31,20260911,1921,0.6464702598588902,0.6452650567387008,0.2269614223021198,0.614263404476835,0.6734295053237291,0.5111920874544505,0.14765513599400118
learned_persistence_interaction_2018-12-31_20260912,learned_persistence_interaction,2018-12-31,20260912,1921,0.6492651152865324,0.6467096841276576,0.2275717333732281,0.6220718375845914,0.6721237872764066,0.5111920874544505,0.14084476498603665
learned_persistence_interaction_2019-12-31_20260910,learned_persistence_interaction,2019-12-31,20260910,2165,0.6508444666391536,0.6492391200549262,0.22900220966826995,0.6193995381062356,0.663772908679906,0.5214780600461892,0.13863753922678332
learned_persistence_interaction_2019-12-31_20260911,learned_persistence_interaction,2019-12-31,20260911,2165,0.639526535871578,0.6379061933138436,0.2236110422846481,0.6355658198614319,0.6855205515524382,0.5214780600461704,0.15641343486747508
learned_persistence_interaction_2019-12-31_20260912,learned_persistence_interaction,2019-12-31,20260912,2165,0.6551653303380223,0.6535681742313535,0.2309159754177826,0.6106235565819862,0.6579574639804933,0.5214780600461875,0.13060053133856372
raw_persistence_interaction_2014-12-31_-1,raw_persistence_interaction,2014-12-31,-1,1077,0.6535426777499108,0.6487637299331042,0.22805998150147022,0.6248839368616528,0.6741161049981028,0.49210770658525405,0.12898621500078994
raw_persistence_interaction_2015-12-31_-1,raw_persistence_interaction,2015-12-31,-1,1190,0.6643317953466498,0.6604973539327931,0.23399684689415842,0.6008403361344538,0.645429918448401,0.5033613445378122,0.11015475017220483
raw_persistence_interaction_2016-12-31_-1,raw_persistence_interaction,2016-12-31,-1,1434,0.6690924529974118,0.6650674513282184,0.23628331821403126,0.5899581589958159,0.6339415824074056,0.5069735006973499,0.09840594000182767
raw_persistence_interaction_2017-12-31_-1,raw_persistence_interaction,2017-12-31,-1,1678,0.6789554089246227,0.6762864972191032,0.24170037831958252,0.566150178784267,0.6017886491216836,0.5202622169249106,0.07246806341670631
raw_persistence_interaction_2018-12-31_-1,raw_persistence_interaction,2018-12-31,-1,1921,0.67870248595499,0.6758614479608369,0.24145222723270052,0.5835502342529932,0.6079906907942539,0.5111920874544508,0.07466830127553244
raw_persistence_interaction_2019-12-31_-1,raw_persistence_interaction,2019-12-31,-1,2165,0.6818620425177961,0.6794233225890098,0.24319418459743358,0.5824480369515012,0.5984325145086881,0.5214780600431979,0.06254336235897456
relativevol_only_2014-12-31_0,relativevol_only,2014-12-31,0,1077,0.6827993441256152,0.6823964595952244,0.24467887175424963,0.5654596100278552,0.5835983581111379,0.4921077065923697,0.06978188641003784
relativevol_only_2015-12-31_0,relativevol_only,2015-12-31,0,1190,0.6881103542352554,0.6879149046654268,0.2473970160208927,0.5563025210084034,0.5595789937543961,0.5033613445378141,0.04897198919443966
relativevol_only_2016-12-31_0,relativevol_only,2016-12-31,0,1434,0.6911536119939743,0.6910803122127006,0.24897151742047038,0.5313807531380753,0.5342779709293389,0.50697350069735,0.030163266809315307
relativevol_only_2017-12-31_0,relativevol_only,2017-12-31,0,1678,0.6921117978215257,0.6921035482956037,0.24947918276303316,0.5214541120381406,0.5110854979971968,0.5202622169162483,0.0101346401111449
relativevol_only_2018-12-31_0,relativevol_only,2018-12-31,0,1921,0.6925140671155324,0.6924993322555069,0.24967708008024517,0.478396668401874,0.5167910569158592,0.5111920874414764,0.013556048114770009
relativevol_only_2019-12-31_0,relativevol_only,2019-12-31,0,2165,0.6922215511515424,0.6922214459127854,0.24953728602823655,0.5214780600461894,0.49773948312477984,0.5214780600461882,0.0011448235250275207
persistence_only_2014-12-31_0,persistence_only,2014-12-31,0,1077,0.6894765716808646,0.6893386078620287,0.24810748062748975,0.5450324976787372,0.5425373391742265,0.49210770659238573,0.04120095082576934
