job,method,cutoff,seed,gate,gate_linear_r2,product_linear_r2,residual_raw_sd,orthogonality_inf
learned_relativevol_interaction_2014-12-31_20260910,learned_relativevol_interaction,2014-12-31,20260910,relative_volatility,0.7412756888411562,0.399740885916417,0.05544215103106125,5.692341264605492e-15
learned_relativevol_interaction_2014-12-31_20260911,learned_relativevol_interaction,2014-12-31,20260911,relative_volatility,0.7749963640758395,0.43018172811147215,0.05473185175164165,5.3991681650665925e-15
learned_relativevol_interaction_2014-12-31_20260912,learned_relativevol_interaction,2014-12-31,20260912,relative_volatility,0.826448568100797,0.42398751088587905,0.0571041957782364,1.7664607010191905e-15
learned_relativevol_interaction_2015-12-31_20260910,learned_relativevol_interaction,2015-12-31,20260910,relative_volatility,0.47411368905607976,0.2794728012146801,0.07769567649301962,2.0176204311381205e-15
learned_relativevol_interaction_2015-12-31_20260911,learned_relativevol_interaction,2015-12-31,20260911,relative_volatility,0.49760698220653354,0.2944484758926955,0.050441891989833794,1.3262966821908593e-15
learned_relativevol_interaction_2015-12-31_20260912,learned_relativevol_interaction,2015-12-31,20260912,relative_volatility,0.6046372767187094,0.4245008557232144,0.052956964299239684,1.7828409150482714e-15
learned_relativevol_interaction_2016-12-31_20260910,learned_relativevol_interaction,2016-12-31,20260910,relative_volatility,0.5190111105118014,0.31425245979685035,0.07804938799167638,2.3596497450854617e-15
learned_relativevol_interaction_2016-12-31_20260911,learned_relativevol_interaction,2016-12-31,20260911,relative_volatility,0.4901067168395806,0.4092151763980507,0.05176746635113088,1.577538657584532e-15
learned_relativevol_interaction_2016-12-31_20260912,learned_relativevol_interaction,2016-12-31,20260912,relative_volatility,0.6392336709472499,0.3843758906136089,0.053459631713924025,8.969270390712998e-16
learned_relativevol_interaction_2017-12-31_20260910,learned_relativevol_interaction,2017-12-31,20260910,relative_volatility,0.4181015324422026,0.4586749609993188,0.06957080999771612,8.548320308794411e-16
learned_relativevol_interaction_2017-12-31_20260911,learned_relativevol_interaction,2017-12-31,20260911,relative_volatility,0.44973583833780995,0.3196931036608578,0.06823436300997729,3.1361484724214793e-15
learned_relativevol_interaction_2017-12-31_20260912,learned_relativevol_interaction,2017-12-31,20260912,relative_volatility,0.45122686038996074,0.3829135493919631,0.07612560859267586,1.001582607078404e-15
learned_relativevol_interaction_2018-12-31_20260910,learned_relativevol_interaction,2018-12-31,20260910,relative_volatility,0.4787443821880084,0.30023880982567097,0.0912571816791394,1.5841917401353548e-15
learned_relativevol_interaction_2018-12-31_20260911,learned_relativevol_interaction,2018-12-31,20260911,relative_volatility,0.435813865893216,0.28562753865270496,0.07733481183293443,1.6424192100629887e-15
learned_relativevol_interaction_2018-12-31_20260912,learned_relativevol_interaction,2018-12-31,20260912,relative_volatility,0.4784007820241222,0.2581556912766675,0.07316246551990431,1.2891821915044796e-15
learned_relativevol_interaction_2019-12-31_20260910,learned_relativevol_interaction,2019-12-31,20260910,relative_volatility,0.3769923541003266,0.2966051307361357,0.07179671557210764,2.3242377999127296e-15
learned_relativevol_interaction_2019-12-31_20260911,learned_relativevol_interaction,2019-12-31,20260911,relative_volatility,0.43426165910218817,0.2597276326781377,0.08674558382637719,7.258756080170481e-16
learned_relativevol_interaction_2019-12-31_20260912,learned_relativevol_interaction,2019-12-31,20260912,relative_volatility,0.4854426478413568,0.2846172633469195,0.07105453765559125,7.18061740424565e-16
raw_relativevol_interaction_2014-12-31_-1,raw_relativevol_interaction,2014-12-31,-1,relative_volatility,0.9652383666627106,0.22120438483240412,0.05453665607964002,3.966702134408173e-16
