cutoff,split,gate,n,missing,mean,std,p10,p90,high_state_share,adjacent_pairs,switches,switch_rate,lag1_correlation,runs,censored_runs,median_observed_run,max_observed_run
2014-12-31,training,relative_volatility,1092,0,-0.03759836306967761,0.10496974487768293,-0.1661652177361359,0.10768504070505282,0.36355311355311354,1091,58,0.05316223648029331,0.9619592594590329,59,2,5.0,137
2014-12-31,training,persistence,1092,0,-0.7100559236129996,0.19443041134901634,-0.9348896881982753,-0.4337363615934759,0.23626373626373626,1091,74,0.06782768102658111,0.9495529301691535,75,2,3.0,129
2015-12-31,training,relative_volatility,1215,121,-0.04555682353387428,0.11940025899534379,-0.19016456081969674,0.11744379348132768,0.3530864197530864,1213,60,0.0494641384995878,0.9688180942882446,62,4,6.0,137
2015-12-31,training,persistence,1215,121,-0.6983438525261698,0.2045179501729187,-0.9324249492235682,-0.41919875842159965,0.2551440329218107,1213,91,0.07502061005770816,0.9538527845863889,93,4,2.0,129
2016-12-31,training,relative_volatility,1459,121,-0.06377240886932743,0.12925151360819617,-0.24144862633850953,0.10560597648691823,0.32145305003427005,1457,67,0.04598490048043926,0.9707662764017847,69,4,7.0,190
2016-12-31,training,persistence,1459,121,-0.7115170922994043,0.19782916582581897,-0.937239501964539,-0.4371176861269044,0.23303632625085674,1457,103,0.07069320521619767,0.9491573383466014,105,4,3.0,129
2017-12-31,training,relative_volatility,1703,121,-0.0614657018490836,0.13111051388192946,-0.24052440122558785,0.10783381169813393,0.33352906635349383,1701,73,0.042915931804820694,0.97098155611888,75,4,7.0,190
2017-12-31,training,persistence,1703,121,-0.704914129225915,0.2028799406875942,-0.9398930736842119,-0.43380266237758486,0.25132119788608337,1701,119,0.06995884773662552,0.9522086078720479,121,4,3.0,129
2018-12-31,training,relative_volatility,1946,121,-0.04946410786820639,0.13226036324078314,-0.2259176346215241,0.11737665104609477,0.36330935251798563,1944,94,0.04835390946502058,0.9713300214169823,96,4,6.0,190
2018-12-31,training,persistence,1946,121,-0.7098490352210161,0.19725154011800308,-0.9428825141002853,-0.4511250916119169,0.2446043165467626,1944,147,0.07561728395061729,0.9504896055093088,149,4,3.0,129
2019-12-31,training,relative_volatility,2190,121,-0.05668439553837786,0.1327634849601749,-0.23417739173306543,0.1142032219981982,0.3461187214611872,2188,104,0.04753199268738574,0.9713589594326362,106,4,5.0,190
2019-12-31,training,persistence,2190,121,-0.7155871318717902,0.201565353322694,-0.9472768965873142,-0.44548282028352393,0.23972602739726026,2188,155,0.07084095063985375,0.9531540537304614,157,4,3.0,129
