job,training_fitted_value_gap,training_residual_gap,validation_residual_gap,rank
learned_relativevol_interaction_2014-12-31_20260910,1.5681900222830336e-15,2.919886554764162e-14,1.7319479184152442e-14,30
learned_relativevol_interaction_2014-12-31_20260911,1.429412144204889e-15,2.4313884239290928e-14,1.1546319456101628e-14,30
learned_relativevol_interaction_2014-12-31_20260912,4.996003610813204e-16,8.715250743307479e-15,3.9968028886505635e-15,30
learned_relativevol_interaction_2015-12-31_20260910,8.187894806610529e-16,1.199040866595169e-14,7.549516567451064e-15,30
learned_relativevol_interaction_2015-12-31_20260911,3.677613769070831e-16,7.216449660063518e-15,5.440092820663267e-15,30
learned_relativevol_interaction_2015-12-31_20260912,5.967448757360216e-16,1.1102230246251565e-14,1.0547118733938987e-14,30
learned_relativevol_interaction_2016-12-31_20260910,8.430756093247282e-16,1.021405182655144e-14,7.549516567451064e-15,30
learned_relativevol_interaction_2016-12-31_20260911,9.992007221626409e-16,1.5987211554602254e-14,1.3433698597964394e-14,30
learned_relativevol_interaction_2016-12-31_20260912,3.608224830031759e-16,6.9111383282915995e-15,3.1086244689504383e-15,30
learned_relativevol_interaction_2017-12-31_20260910,3.608224830031759e-16,5.329070518200751e-15,3.9968028886505635e-15,30
learned_relativevol_interaction_2017-12-31_20260911,1.214306433183765e-15,1.7319479184152442e-14,1.2434497875801753e-14,30
learned_relativevol_interaction_2017-12-31_20260912,8.743006318923108e-16,1.1391061705001704e-14,9.547918011776346e-15,30
learned_relativevol_interaction_2018-12-31_20260910,9.43689570931383e-16,9.658940314238862e-15,8.104628079763643e-15,30
learned_relativevol_interaction_2018-12-31_20260911,9.228728892196614e-16,1.1879386363489175e-14,1.0630385460785874e-14,30
learned_relativevol_interaction_2018-12-31_20260912,9.020562075079397e-16,1.2323475573339238e-14,1.1546319456101628e-14,30
learned_relativevol_interaction_2019-12-31_20260910,8.326672684688674e-16,1.1102230246251565e-14,7.0637939941775585e-15,30
learned_relativevol_interaction_2019-12-31_20260911,1.9394208461420703e-15,2.2648549702353193e-14,1.5834555888716295e-14,30
learned_relativevol_interaction_2019-12-31_20260912,5.793976409762536e-16,7.993605777301127e-15,6.994405055138486e-15,30
raw_relativevol_interaction_2014-12-31_-1,6.106226635438361e-16,1.1546319456101628e-14,7.105427357601002e-15,27
raw_relativevol_interaction_2015-12-31_-1,5.967448757360216e-16,1.0658141036401503e-14,7.549516567451064e-15,27
raw_relativevol_interaction_2016-12-31_-1,5.551115123125783e-16,8.326672684688674e-15,3.191891195797325e-15,27
raw_relativevol_interaction_2017-12-31_-1,2.3592239273284576e-16,5.10702591327572e-15,3.608224830031759e-15,27
raw_relativevol_interaction_2018-12-31_-1,4.926614671774132e-16,1.0436096431476471e-14,6.439293542825908e-15,27
raw_relativevol_interaction_2019-12-31_-1,2.0122792321330962e-16,4.440892098500626e-15,3.552713678800501e-15,27
learned_persistence_interaction_2014-12-31_20260910,2.4424906541753444e-15,2.5743296383495817e-14,2.045585922871851e-14,30
learned_persistence_interaction_2014-12-31_20260911,1.9984014443252818e-15,2.0095036745715333e-14,1.3322676295501878e-14,30
learned_persistence_interaction_2014-12-31_20260912,2.789435349370706e-15,2.6922908347160046e-14,1.9539925233402755e-14,30
learned_persistence_interaction_2015-12-31_20260910,4.218847493575595e-15,3.863576125695545e-14,2.7533531010703882e-14,30
learned_persistence_interaction_2015-12-31_20260911,1.8943180357666733e-15,2.353672812205332e-14,1.8207657603852567e-14,30
learned_persistence_interaction_2015-12-31_20260912,4.218847493575595e-15,4.729550084903167e-14,4.973799150320701e-14,30
learned_persistence_interaction_2016-12-31_20260910,2.220446049250313e-15,1.9984014443252818e-14,1.3988810110276972e-14,30
learned_persistence_interaction_2016-12-31_20260911,2.4424906541753444e-15,2.6423307986078726e-14,2.398081733190338e-14,30
learned_persistence_interaction_2016-12-31_20260912,1.4085954624931674e-15,2.142730437526552e-14,2.020605904817785e-14,30
learned_persistence_interaction_2017-12-31_20260910,3.1086244689504383e-15,3.0558888752807434e-14,2.070565940925917e-14,30
learned_persistence_interaction_2017-12-31_20260911,2.4424906541753444e-15,2.6645352591003757e-14,1.582067810090848e-14,30
learned_persistence_interaction_2017-12-31_20260912,3.094746681142624e-15,2.6645352591003757e-14,1.787459069646502e-14,30
