window,method,reference,changed,correct_to_wrong,wrong_to_correct
early_2015_2017,learned_relativevol_interaction,learned_market,6,4,2
early_2015_2017,learned_relativevol_interaction,learned_vol_interaction,9,4,5
early_2015_2017,learned_relativevol_interaction,learned_hmm_interaction,5,3,2
early_2015_2017,learned_relativevol_interaction,native_mse,32,17,15
early_2015_2017,learned_relativevol_interaction,training_frequency,76,41,35
early_2015_2017,learned_relativevol_interaction,relativevol_only,55,25,30
early_2015_2017,raw_relativevol_interaction,raw_trend,5,3,2
early_2015_2017,raw_relativevol_interaction,raw_vol_interaction,3,2,1
early_2015_2017,raw_relativevol_interaction,raw_hmm_interaction,5,3,2
early_2015_2017,raw_relativevol_interaction,native_mse,62,35,27
early_2015_2017,raw_relativevol_interaction,training_frequency,86,49,37
early_2015_2017,raw_relativevol_interaction,relativevol_only,47,24,23
early_2015_2017,learned_persistence_interaction,learned_market,0,0,0
early_2015_2017,learned_persistence_interaction,learned_vol_interaction,7,2,5
early_2015_2017,learned_persistence_interaction,learned_hmm_interaction,3,1,2
early_2015_2017,learned_persistence_interaction,native_mse,28,14,14
early_2015_2017,learned_persistence_interaction,training_frequency,76,40,36
early_2015_2017,learned_persistence_interaction,persistence_only,47,23,24
early_2015_2017,raw_persistence_interaction,raw_trend,7,2,5
early_2015_2017,raw_persistence_interaction,raw_vol_interaction,5,1,4
early_2015_2017,raw_persistence_interaction,raw_hmm_interaction,9,3,6
early_2015_2017,raw_persistence_interaction,native_mse,64,34,30
early_2015_2017,raw_persistence_interaction,training_frequency,82,45,37
early_2015_2017,raw_persistence_interaction,persistence_only,51,27,24
late_2018_2020,learned_relativevol_interaction,learned_market,2,2,0
late_2018_2020,learned_relativevol_interaction,learned_vol_interaction,4,4,0
late_2018_2020,learned_relativevol_interaction,learned_hmm_interaction,2,2,0
late_2018_2020,learned_relativevol_interaction,native_mse,16,11,5
late_2018_2020,learned_relativevol_interaction,training_frequency,61,31,30
late_2018_2020,learned_relativevol_interaction,relativevol_only,56,26,30
late_2018_2020,raw_relativevol_interaction,raw_trend,5,2,3
late_2018_2020,raw_relativevol_interaction,raw_vol_interaction,4,1,3
late_2018_2020,raw_relativevol_interaction,raw_hmm_interaction,4,1,3
late_2018_2020,raw_relativevol_interaction,native_mse,53,29,24
late_2018_2020,raw_relativevol_interaction,training_frequency,64,32,32
late_2018_2020,raw_relativevol_interaction,relativevol_only,51,23,28
late_2018_2020,learned_persistence_interaction,learned_market,0,0,0
late_2018_2020,learned_persistence_interaction,learned_vol_interaction,4,3,1
late_2018_2020,learned_persistence_interaction,learned_hmm_interaction,0,0,0
late_2018_2020,learned_persistence_interaction,native_mse,16,10,6
late_2018_2020,learned_persistence_interaction,training_frequency,59,29,30
late_2018_2020,learned_persistence_interaction,persistence_only,59,24,35
late_2018_2020,raw_persistence_interaction,raw_trend,7,5,2
late_2018_2020,raw_persistence_interaction,raw_vol_interaction,2,2,0
late_2018_2020,raw_persistence_interaction,raw_hmm_interaction,8,5,3
late_2018_2020,raw_persistence_interaction,native_mse,51,30,21
late_2018_2020,raw_persistence_interaction,training_frequency,62,33,29
late_2018_2020,raw_persistence_interaction,persistence_only,46,20,26
