history,cutoff,method,seed,row_index,date,state,family,component,fit_eligible,validation_accepted,gate_reason,offset,annual_probability,probability,actual_up
monthly_state_validated,2020-12-31,learned_market,20260910,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.5528369602637446,0.5528369602637446,0
monthly_state_validated,2020-12-31,learned_market,20260910,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.49674166213102977,0.49674166213102977,1
monthly_state_validated,2020-12-31,learned_market,20260910,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.3933637003220593,0.3933637003220593,0
monthly_state_validated,2020-12-31,learned_market,20260910,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.4313547922375263,0.4313547922375263,1
monthly_state_ungated,2020-12-31,learned_market,20260910,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.5528369602637446,0.5528369602637446,0
monthly_state_ungated,2020-12-31,learned_market,20260910,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.49674166213102977,0.49674166213102977,1
monthly_state_ungated,2020-12-31,learned_market,20260910,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.3933637003220593,0.3933637003220593,0
monthly_state_ungated,2020-12-31,learned_market,20260910,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.4313547922375263,0.4313547922375263,1
monthly_state_validated,2020-12-31,learned_market,20260911,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.47359422145655633,0.47359422145655633,0
monthly_state_validated,2020-12-31,learned_market,20260911,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.29529449998072343,0.29529449998072343,1
monthly_state_validated,2020-12-31,learned_market,20260911,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.47394332492431446,0.47394332492431446,0
monthly_state_validated,2020-12-31,learned_market,20260911,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.34860128575085947,0.34860128575085947,1
monthly_state_ungated,2020-12-31,learned_market,20260911,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.47359422145655633,0.47359422145655633,0
monthly_state_ungated,2020-12-31,learned_market,20260911,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.29529449998072343,0.29529449998072343,1
monthly_state_ungated,2020-12-31,learned_market,20260911,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.47394332492431446,0.47394332492431446,0
monthly_state_ungated,2020-12-31,learned_market,20260911,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.34860128575085947,0.34860128575085947,1
monthly_state_validated,2020-12-31,learned_market,20260912,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.49622809203697066,0.49622809203697066,0
monthly_state_validated,2020-12-31,learned_market,20260912,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.30299511780142024,0.30299511780142024,1
monthly_state_validated,2020-12-31,learned_market,20260912,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.2926269390741677,0.2926269390741677,0
monthly_state_validated,2020-12-31,learned_market,20260912,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.4834854236532544,0.4834854236532544,1
