period,method,n,fresh_weeks,carry_weeks,fallback_weeks,used_retained_weeks,changed_vs_annual,changed_vs_monthly,changed_vs_quarterly,maximum_carried_age
extension_2021_2023,learned_market,147,16,0,131,0,16,0,13,
extension_2021_2023,learned_vol_interaction,147,15,0,132,0,15,0,12,
extension_2021_2023,learned_order_extension,147,16,0,131,0,16,0,13,
extension_2021_2023,learned_order_offset,147,16,0,131,0,16,0,13,
recent_2024_2026,learned_market,125,10,3,112,3,13,3,7,89.0
recent_2024_2026,learned_vol_interaction,125,18,3,104,3,21,3,15,89.0
recent_2024_2026,learned_order_extension,125,18,3,104,3,21,3,18,89.0
recent_2024_2026,learned_order_offset,125,18,3,104,3,21,3,18,89.0
pooled_2021_2026,learned_market,272,26,3,243,3,29,3,20,89.0
pooled_2021_2026,learned_vol_interaction,272,33,3,236,3,36,3,27,89.0
pooled_2021_2026,learned_order_extension,272,34,3,235,3,37,3,31,89.0
pooled_2021_2026,learned_order_offset,272,34,3,235,3,37,3,31,89.0
year_2021,learned_market,50,0,0,50,0,0,0,0,
year_2021,learned_vol_interaction,50,0,0,50,0,0,0,0,
year_2021,learned_order_extension,50,0,0,50,0,0,0,0,
year_2021,learned_order_offset,50,0,0,50,0,0,0,0,
year_2022,learned_market,49,4,0,45,0,4,0,4,
year_2022,learned_vol_interaction,49,3,0,46,0,3,0,3,
year_2022,learned_order_extension,49,4,0,45,0,4,0,4,
year_2022,learned_order_offset,49,4,0,45,0,4,0,4,
year_2023,learned_market,48,12,0,36,0,12,0,9,
year_2023,learned_vol_interaction,48,12,0,36,0,12,0,9,
year_2023,learned_order_extension,48,12,0,36,0,12,0,9,
year_2023,learned_order_offset,48,12,0,36,0,12,0,9,
year_2024,learned_market,47,2,3,42,3,5,3,1,89.0
year_2024,learned_vol_interaction,47,10,3,34,3,13,3,9,89.0
year_2024,learned_order_extension,47,9,3,35,3,12,3,9,89.0
year_2024,learned_order_offset,47,9,3,35,3,12,3,9,89.0
year_2025,learned_market,48,6,0,42,0,6,0,6,
year_2025,learned_vol_interaction,48,6,0,42,0,6,0,6,
year_2025,learned_order_extension,48,9,0,39,0,9,0,9,
year_2025,learned_order_offset,48,9,0,39,0,9,0,9,
year_2026,learned_market,30,2,0,28,0,2,0,0,
year_2026,learned_vol_interaction,30,2,0,28,0,2,0,0,
year_2026,learned_order_extension,30,0,0,30,0,0,0,0,
year_2026,learned_order_offset,30,0,0,30,0,0,0,0,
