history,method,row_index,date,year,cutoff,state,action,original_accepted,original_reason,retention_reason,source_cutoff,expiry,source_age_days,used_retained_source,probability,annual_probability,monthly_probability,quarterly_probability,actual_up,changed_vs_annual,changed_vs_monthly,changed_vs_quarterly,case_vs_annual,case_vs_monthly,case_vs_quarterly,brier_vs_annual,brier_vs_monthly,brier_vs_quarterly
monthly_state_retained,learned_vol_interaction,3655,2026-02-13,2026,2026-01-31,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4505062339482251,0.4505062339482251,0.4505062339482251,0.4505062339482251,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3659,2026-02-27,2026,2026-01-31,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.504015087214225,0.504015087214225,0.504015087214225,0.504015087214225,0,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3650,2026-02-06,2026,2026-01-31,negative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5032108679181002,0.5032108679181002,0.5032108679181002,0.5032108679181002,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3655,2026-02-13,2026,2026-01-31,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4513957446141334,0.4513957446141334,0.4513957446141334,0.4513957446141334,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3659,2026-02-27,2026,2026-01-31,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5046193126640455,0.5046193126640455,0.5046193126640455,0.5046193126640455,0,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3650,2026-02-06,2026,2026-01-31,negative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5032737294444041,0.5032737294444041,0.5032737294444041,0.5032737294444041,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3655,2026-02-13,2026,2026-01-31,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.45173679144500495,0.45173679144500495,0.45173679144500495,0.45173679144500495,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3659,2026-02-27,2026,2026-01-31,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5045975896385605,0.5045975896385605,0.5045975896385605,0.5045975896385605,0,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3664,2026-03-06,2026,2026-02-28,nonnegative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5049060459412255,0.5049060459412255,0.5049060459412255,0.5049060459412255,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_market,3669,2026-03-13,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.45966722009852146,0.45966722009852146,0.45966722009852146,0.45966722009852146,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_market,3674,2026-03-20,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4489633359737127,0.4489633359737127,0.4489633359737127,0.4489633359737127,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_market,3679,2026-03-27,2026,2026-02-28,negative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4655463624095211,0.4655463624095211,0.4655463624095211,0.4655463624095211,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3664,2026-03-06,2026,2026-02-28,nonnegative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.49562639077605564,0.49562639077605564,0.49562639077605564,0.49562639077605564,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3669,2026-03-13,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4549664030792006,0.4549664030792006,0.4549664030792006,0.4549664030792006,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3674,2026-03-20,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.44751285163197135,0.44751285163197135,0.44751285163197135,0.44751285163197135,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3679,2026-03-27,2026,2026-02-28,negative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4694278085841141,0.4694278085841141,0.4694278085841141,0.4694278085841141,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3664,2026-03-06,2026,2026-02-28,nonnegative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5168188456275143,0.5168188456275143,0.5168188456275143,0.5168188456275143,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3669,2026-03-13,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.46907630660420546,0.46907630660420546,0.46907630660420546,0.46907630660420546,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3674,2026-03-20,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.44840943987820253,0.44840943987820253,0.44840943987820253,0.44840943987820253,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3679,2026-03-27,2026,2026-02-28,negative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.44382804359759526,0.44382804359759526,0.44382804359759526,0.44382804359759526,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3664,2026-03-06,2026,2026-02-28,nonnegative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.5167794130590537,0.5167794130590537,0.5167794130590537,0.5167794130590537,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
