year,n,changed,correct_to_wrong,wrong_to_correct,up_to_non_up,non_up_to_up
all,141,51,28,23,14,37
2018,49,18,12,6,10,8
2019,46,26,11,15,0,26
2020,46,7,5,2,4,3
