cutoff,seed,mode,draw,audit_seed,log_loss,brier,accuracy,auxiliary_mse,joint_loss,mean_probability,probability_std
2017-12-31,20260910,eval,-1,-1,0.6696877508450512,0.23836479375286954,0.6132300357568534,1.0351096503036952,0.7731987158754207,0.5075460521927522,0.05727296132576976
2017-12-31,20260910,dropout,0,20261400,0.677391699168951,0.24216825751143886,0.5899880810488677,1.0362719890191991,0.781018898070871,0.5122431386103758,0.0514549263967958
2017-12-31,20260910,dropout,1,20261401,0.6754358784536,0.24120210696371241,0.5959475566150179,1.0376994670396482,0.7792058251575649,0.5123791900326012,0.05128027897925142
2017-12-31,20260910,dropout,2,20261402,0.6778563682525025,0.24240232664360672,0.5858164481525626,1.036689466103041,0.7815253148628066,0.5123881930592885,0.049677265738012656
2017-12-31,20260910,dropout,3,20261403,0.677697384092772,0.24232410241448374,0.5935637663885578,1.0362879332705568,0.7813261774198277,0.5125786142517313,0.05065404165836985
2017-12-31,20260910,dropout,4,20261404,0.6759256353870778,0.2414466154586423,0.5947556615017878,1.0384600391218504,0.7797716392992629,0.5131317839982771,0.051554478045244656
2017-12-31,20260910,dropout,5,20261405,0.6746136713359233,0.24079936981719174,0.597735399284863,1.033749813629099,0.7779886526988332,0.5128740490047151,0.049737629006647625
2017-12-31,20260910,dropout,6,20261406,0.6756955305873423,0.24133828098873084,0.5965435041716329,1.0386462445671674,0.7795601550440591,0.5132012494692213,0.05102161565976014
2017-12-31,20260910,dropout,7,20261407,0.674465805611949,0.24072518231504575,0.5917759237187128,1.0376060110504637,0.7782264067169954,0.5129876977554929,0.050429963958597036
2017-12-31,20260911,eval,-1,-1,0.6752139121102786,0.24111530572239698,0.5846245530393326,1.0030179371096024,0.7755157058212389,0.5179106855568069,0.06740591321988862
2017-12-31,20260911,dropout,0,20261400,0.6776454909288385,0.24231305344634357,0.567938021454112,1.0091908524552176,0.7785645761743603,0.5177665481236169,0.06191182081835568
2017-12-31,20260911,dropout,1,20261401,0.6782535563221571,0.24260392963968938,0.5792610250297974,1.0115882213115337,0.7794123784533105,0.5188975393311478,0.06030287100020991
2017-12-31,20260911,dropout,2,20261402,0.6786124932156739,0.2427827825464674,0.5768772348033373,1.0126552911224431,0.7798780223279181,0.5188365275095795,0.060526104362784605
2017-12-31,20260911,dropout,3,20261403,0.6782743796398405,0.2426170088986101,0.5774731823599524,1.0127116956895703,0.7795455492087975,0.5193106217984419,0.06015846225081668
2017-12-31,20260911,dropout,4,20261404,0.6770534224487754,0.24201478428399578,0.5798569725864124,1.009076365772568,0.7779610590260322,0.5184531701705861,0.060401076145207705
2017-12-31,20260911,dropout,5,20261405,0.6779219582967454,0.24244305887184275,0.5780691299165673,1.0099410809092535,0.7789160663876707,0.5178255544789121,0.060200653438391295
2017-12-31,20260911,dropout,6,20261406,0.6772817954545696,0.2421295609413789,0.5786650774731824,1.0087362465418706,0.7781554201087566,0.5186599555549829,0.06074414811664085
2017-12-31,20260911,dropout,7,20261407,0.6799995589027957,0.24347889349591179,0.5762812872467223,1.01080249617136,0.7810798085199318,0.5185536564313331,0.06000850165508268
2017-12-31,20260912,eval,-1,-1,0.6867286346001249,0.24679585129574805,0.5512514898688915,0.9939527015142915,0.786123904751554,0.5163323700331485,0.01487587668612177
2017-12-31,20260912,dropout,0,20261400,0.6877064032402758,0.24728387203844926,0.5518474374255066,1.0001927883485255,0.7877256820751284,0.5156089877157076,0.013718942333586557
2017-12-31,20260912,dropout,1,20261401,0.6883896364518803,0.2476248398055754,0.534564958283671,1.0002302191552126,0.7884126583674016,0.51588197931421,0.013822408603012747
2017-12-31,20260912,dropout,2,20261402,0.688102562755469,0.24748166291869156,0.5399284862932062,1.0022538729851203,0.788327950053981,0.5156149010084624,0.013610371810585345
2017-12-31,20260912,dropout,3,20261403,0.6877565389190264,0.2473087459124741,0.5387365911799762,1.0019639891897538,0.7879529378380018,0.5155293988693538,0.01354919244138845
2017-12-31,20260912,dropout,4,20261404,0.6878814299984721,0.2473707204934348,0.5542312276519666,1.0023579806782066,0.7881172280662928,0.5156543733806552,0.013724832762801136
2017-12-31,20260912,dropout,5,20261405,0.6880410324916573,0.24745105068901233,0.5488676996424314,1.0005750946958103,0.7880985419612383,0.5156512564311176,0.01377367888329823
2017-12-31,20260912,dropout,6,20261406,0.6876174670243602,0.24723967271120897,0.5435041716328963,1.0009540772027778,0.787712874744638,0.5159468526564522,0.013398961903257242
2017-12-31,20260912,dropout,7,20261407,0.6883464307057047,0.24760319955594468,0.532777115613826,1.0015830457281583,0.7885047352785205,0.5154243697735764,0.013525320853400066
