method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
archived20,141,0.5957446808510638,0.40425531914893614,84,0.5819722335647203,0.624113475177305,0.5602836879432624,55,29,33,24,0.6014699877501021,,,,,,
direction_bce,141,0.5602836879432624,0.4397163120567376,79,0.5260310330747244,0.7872340425531915,0.5602836879432624,64,15,47,15,0.5261331155573703,0.24796520676757644,0.6890865406737731,0.5218603080765097,0.032167456282028384,-0.038423379866752705,0.0
neutral_50,141,0.4397163120567376,0.5602836879432624,62,0.5,0.0,0.5602836879432624,0,62,0,79,0.5,0.25,0.6931471805599454,0.5,0.0,-0.06028368794326244,0.0
training_frequency,141,0.5602836879432624,0.4397163120567376,79,0.5,1.0,0.5602836879432624,79,0,62,0,0.4806043282972642,0.2487054271110504,0.6905574230248889,0.5176998256336885,0.004555807871201607,-0.042583862309573894,0.0
