subject_id,cutoff,previous_decision_cutoff,method,state,mode,original_accepted,original_reason,original_action,training_n,current_validation_n,current_fit_eligible,source_cutoff,expiry,source_age_days,availability,view,n,known_at_source_n,source_validation_overlap_n,new_since_previous_n,old_brier_difference,old_correct_difference,old_evidence,current_brier_difference,current_correct_difference,current_evidence,comparison
2020-12-31:learned_market:negative_low,2020-12-31,,learned_market,negative_low,annual_reset,False,annual_reset,fallback,0,0,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2020-12-31:learned_market:negative_low,2020-12-31,,learned_market,negative_low,annual_reset,False,annual_reset,fallback,0,0,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2020-12-31:learned_market:negative_low,2020-12-31,,learned_market,negative_low,annual_reset,False,annual_reset,fallback,0,0,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-01-31:learned_market:negative_low,2021-01-31,2020-12-31,learned_market,negative_low,q1_guard,False,q1_guard,fallback,0,0,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-01-31:learned_market:negative_low,2021-01-31,2020-12-31,learned_market,negative_low,q1_guard,False,q1_guard,fallback,0,0,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-01-31:learned_market:negative_low,2021-01-31,2020-12-31,learned_market,negative_low,q1_guard,False,q1_guard,fallback,0,0,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-02-28:learned_market:negative_low,2021-02-28,2021-01-31,learned_market,negative_low,q1_guard,False,q1_guard,fallback,0,0,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-02-28:learned_market:negative_low,2021-02-28,2021-01-31,learned_market,negative_low,q1_guard,False,q1_guard,fallback,0,0,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-02-28:learned_market:negative_low,2021-02-28,2021-01-31,learned_market,negative_low,q1_guard,False,q1_guard,fallback,0,0,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-03-31:learned_market:negative_low,2021-03-31,2021-02-28,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,0,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-03-31:learned_market:negative_low,2021-03-31,2021-02-28,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,0,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-03-31:learned_market:negative_low,2021-03-31,2021-02-28,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,0,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-04-30:learned_market:negative_low,2021-04-30,2021-03-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,0,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-04-30:learned_market:negative_low,2021-04-30,2021-03-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,0,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-04-30:learned_market:negative_low,2021-04-30,2021-03-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,0,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-05-31:learned_market:negative_low,2021-05-31,2021-04-30,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-05-31:learned_market:negative_low,2021-05-31,2021-04-30,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-05-31:learned_market:negative_low,2021-05-31,2021-04-30,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-06-30:learned_market:negative_low,2021-06-30,2021-05-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-06-30:learned_market:negative_low,2021-06-30,2021-05-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-06-30:learned_market:negative_low,2021-06-30,2021-05-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-07-31:learned_market:negative_low,2021-07-31,2021-06-30,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-07-31:learned_market:negative_low,2021-07-31,2021-06-30,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-07-31:learned_market:negative_low,2021-07-31,2021-06-30,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,0,2,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-08-31:learned_market:negative_low,2021-08-31,2021-07-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,1,0,False,,,,absent,full_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-08-31:learned_market:negative_low,2021-08-31,2021-07-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,1,0,False,,,,absent,post_source_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
2021-08-31:learned_market:negative_low,2021-08-31,2021-07-31,learned_market,negative_low,insufficient_history,False,insufficient_history,fallback,1,0,False,,,,absent,incremental_validation,0,0,0,0,,0,no_saved_record,,,no_saved_record,not_assessed
