period,method,availability,view,cells,validation_uses,unique_calendar_weeks,unique_source_week_pairs,repeated_source_week_uses,old_pass,old_brier_not_better,old_direction_worse,old_no_samples,old_insufficient_validation,both_pass,old_only_pass,current_only_pass,both_reject,insufficient_evidence,current_unfitted,quality_clear_cells,quality_clear_old_pass,quality_clear_old_reject,quality_clear_insufficient
all_2020_2026,learned_market,expired,full_validation,9,68,68,68,0,5,1,0,0,3,1,0,1,0,2,5,0,0,0,0
all_2020_2026,learned_market,expired,incremental_validation,9,16,16,16,0,0,0,0,2,7,0,0,0,0,4,5,0,0,0,0
all_2020_2026,learned_market,expired,post_source_validation,9,16,16,16,0,0,0,0,2,7,0,0,0,0,4,5,0,0,0,0
all_2020_2026,learned_market,in_life,full_validation,13,87,74,87,0,5,4,1,1,2,5,0,0,5,3,0,5,0,5,0
all_2020_2026,learned_market,in_life,incremental_validation,13,16,16,16,0,0,0,0,7,6,0,0,0,0,13,0,5,0,0,5
all_2020_2026,learned_market,in_life,post_source_validation,13,16,16,16,0,0,0,0,7,6,0,0,0,0,13,0,5,0,0,5
all_2020_2026,learned_order_extension,expired,full_validation,12,90,89,90,0,6,0,2,0,4,3,0,0,1,2,6,1,0,1,0
all_2020_2026,learned_order_extension,expired,incremental_validation,12,26,26,26,0,0,2,0,3,7,0,0,0,2,4,6,1,0,0,1
all_2020_2026,learned_order_extension,expired,post_source_validation,12,26,26,26,0,0,2,0,3,7,0,0,0,2,4,6,1,0,0,1
all_2020_2026,learned_order_extension,in_life,full_validation,13,89,70,89,0,7,3,0,1,2,7,0,1,2,3,0,2,0,2,0
all_2020_2026,learned_order_extension,in_life,incremental_validation,13,16,16,16,0,0,0,0,8,5,0,0,0,0,13,0,2,0,0,2
all_2020_2026,learned_order_extension,in_life,post_source_validation,13,16,16,16,0,0,0,0,8,5,0,0,0,0,13,0,2,0,0,2
all_2020_2026,learned_order_offset,expired,full_validation,12,90,89,90,0,6,0,2,0,4,3,0,0,1,2,6,1,0,1,0
all_2020_2026,learned_order_offset,expired,incremental_validation,12,26,26,26,0,0,2,0,3,7,0,0,1,1,4,6,1,0,0,1
all_2020_2026,learned_order_offset,expired,post_source_validation,12,26,26,26,0,0,2,0,3,7,0,0,1,1,4,6,1,0,0,1
all_2020_2026,learned_order_offset,in_life,full_validation,13,89,70,89,0,7,3,0,1,2,7,0,1,2,3,0,2,0,2,0
all_2020_2026,learned_order_offset,in_life,incremental_validation,13,16,16,16,0,0,0,0,8,5,0,0,0,0,13,0,2,0,0,2
all_2020_2026,learned_order_offset,in_life,post_source_validation,13,16,16,16,0,0,0,0,8,5,0,0,0,0,13,0,2,0,0,2
all_2020_2026,learned_vol_interaction,expired,full_validation,9,68,68,68,0,3,2,1,0,3,0,0,1,1,2,5,1,0,1,0
all_2020_2026,learned_vol_interaction,expired,incremental_validation,9,19,19,19,0,0,1,0,2,6,0,0,0,1,3,5,1,0,1,0
all_2020_2026,learned_vol_interaction,expired,post_source_validation,9,19,19,19,0,0,1,0,2,6,0,0,0,1,3,5,1,0,1,0
all_2020_2026,learned_vol_interaction,in_life,full_validation,14,96,82,96,0,7,4,0,1,2,7,0,0,4,3,0,4,0,4,0
all_2020_2026,learned_vol_interaction,in_life,incremental_validation,14,20,20,20,0,0,0,0,7,7,0,0,0,0,14,0,4,0,0,4
all_2020_2026,learned_vol_interaction,in_life,post_source_validation,14,20,20,20,0,0,0,0,7,7,0,0,0,0,14,0,4,0,0,4
early_2021_2023,learned_market,expired,full_validation,4,37,37,37,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0
early_2021_2023,learned_market,expired,incremental_validation,4,9,9,9,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0
early_2021_2023,learned_market,expired,post_source_validation,4,9,9,9,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0
early_2021_2023,learned_market,in_life,full_validation,4,34,27,34,0,3,1,0,0,0,3,0,0,1,0,0,1,0,1,0
early_2021_2023,learned_market,in_life,incremental_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_market,in_life,post_source_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_order_extension,expired,full_validation,4,37,37,37,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0
early_2021_2023,learned_order_extension,expired,incremental_validation,4,9,9,9,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0
early_2021_2023,learned_order_extension,expired,post_source_validation,4,9,9,9,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0
early_2021_2023,learned_order_extension,in_life,full_validation,4,34,27,34,0,3,1,0,0,0,3,0,0,1,0,0,1,0,1,0
early_2021_2023,learned_order_extension,in_life,incremental_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_order_extension,in_life,post_source_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_order_offset,expired,full_validation,4,37,37,37,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0
early_2021_2023,learned_order_offset,expired,incremental_validation,4,9,9,9,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0
early_2021_2023,learned_order_offset,expired,post_source_validation,4,9,9,9,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0
early_2021_2023,learned_order_offset,in_life,full_validation,4,34,27,34,0,3,1,0,0,0,3,0,0,1,0,0,1,0,1,0
early_2021_2023,learned_order_offset,in_life,incremental_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_order_offset,in_life,post_source_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_vol_interaction,expired,full_validation,3,25,25,25,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0
early_2021_2023,learned_vol_interaction,expired,incremental_validation,3,7,7,7,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0
