period,method,availability,view,cells,validation_uses,unique_calendar_weeks,unique_source_week_pairs,repeated_source_week_uses,old_pass,old_brier_not_better,old_direction_worse,old_no_samples,old_insufficient_validation,both_pass,old_only_pass,current_only_pass,both_reject,insufficient_evidence,current_unfitted,quality_clear_cells,quality_clear_old_pass,quality_clear_old_reject,quality_clear_insufficient
early_2021_2023,learned_vol_interaction,expired,post_source_validation,3,7,7,7,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0
early_2021_2023,learned_vol_interaction,in_life,full_validation,4,34,27,34,0,3,1,0,0,0,3,0,0,1,0,0,1,0,1,0
early_2021_2023,learned_vol_interaction,in_life,incremental_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
early_2021_2023,learned_vol_interaction,in_life,post_source_validation,4,7,7,7,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1
recent_2024_2026,learned_market,expired,full_validation,5,31,31,31,0,2,1,0,0,2,0,0,1,0,2,2,0,0,0,0
recent_2024_2026,learned_market,expired,incremental_validation,5,7,7,7,0,0,0,0,1,4,0,0,0,0,3,2,0,0,0,0
recent_2024_2026,learned_market,expired,post_source_validation,5,7,7,7,0,0,0,0,1,4,0,0,0,0,3,2,0,0,0,0
recent_2024_2026,learned_market,in_life,full_validation,9,53,47,53,0,2,3,1,1,2,2,0,0,4,3,0,4,0,4,0
recent_2024_2026,learned_market,in_life,incremental_validation,9,9,9,9,0,0,0,0,5,4,0,0,0,0,9,0,4,0,0,4
recent_2024_2026,learned_market,in_life,post_source_validation,9,9,9,9,0,0,0,0,5,4,0,0,0,0,9,0,4,0,0,4
recent_2024_2026,learned_order_extension,expired,full_validation,8,53,52,53,0,3,0,2,0,3,2,0,0,1,2,3,1,0,1,0
recent_2024_2026,learned_order_extension,expired,incremental_validation,8,17,17,17,0,0,2,0,2,4,0,0,0,2,3,3,1,0,0,1
recent_2024_2026,learned_order_extension,expired,post_source_validation,8,17,17,17,0,0,2,0,2,4,0,0,0,2,3,3,1,0,0,1
recent_2024_2026,learned_order_extension,in_life,full_validation,9,55,43,55,0,4,2,0,1,2,4,0,1,1,3,0,1,0,1,0
recent_2024_2026,learned_order_extension,in_life,incremental_validation,9,9,9,9,0,0,0,0,6,3,0,0,0,0,9,0,1,0,0,1
recent_2024_2026,learned_order_extension,in_life,post_source_validation,9,9,9,9,0,0,0,0,6,3,0,0,0,0,9,0,1,0,0,1
recent_2024_2026,learned_order_offset,expired,full_validation,8,53,52,53,0,3,0,2,0,3,2,0,0,1,2,3,1,0,1,0
recent_2024_2026,learned_order_offset,expired,incremental_validation,8,17,17,17,0,0,2,0,2,4,0,0,1,1,3,3,1,0,0,1
recent_2024_2026,learned_order_offset,expired,post_source_validation,8,17,17,17,0,0,2,0,2,4,0,0,1,1,3,3,1,0,0,1
recent_2024_2026,learned_order_offset,in_life,full_validation,9,55,43,55,0,4,2,0,1,2,4,0,1,1,3,0,1,0,1,0
recent_2024_2026,learned_order_offset,in_life,incremental_validation,9,9,9,9,0,0,0,0,6,3,0,0,0,0,9,0,1,0,0,1
recent_2024_2026,learned_order_offset,in_life,post_source_validation,9,9,9,9,0,0,0,0,6,3,0,0,0,0,9,0,1,0,0,1
recent_2024_2026,learned_vol_interaction,expired,full_validation,6,43,43,43,0,2,2,0,0,2,0,0,1,1,2,2,1,0,1,0
recent_2024_2026,learned_vol_interaction,expired,incremental_validation,6,12,12,12,0,0,1,0,1,4,0,0,0,1,3,2,1,0,1,0
recent_2024_2026,learned_vol_interaction,expired,post_source_validation,6,12,12,12,0,0,1,0,1,4,0,0,0,1,3,2,1,0,1,0
recent_2024_2026,learned_vol_interaction,in_life,full_validation,10,62,55,62,0,4,3,0,1,2,4,0,0,3,3,0,3,0,3,0
recent_2024_2026,learned_vol_interaction,in_life,incremental_validation,10,13,13,13,0,0,0,0,5,5,0,0,0,0,10,0,3,0,0,3
recent_2024_2026,learned_vol_interaction,in_life,post_source_validation,10,13,13,13,0,0,0,0,5,5,0,0,0,0,10,0,3,0,0,3
year_2022,learned_market,expired,full_validation,3,24,24,24,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0
year_2022,learned_market,expired,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
year_2022,learned_market,expired,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
year_2022,learned_market,in_life,full_validation,2,13,13,13,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
year_2022,learned_market,in_life,incremental_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_market,in_life,post_source_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_order_extension,expired,full_validation,3,24,24,24,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0
year_2022,learned_order_extension,expired,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
year_2022,learned_order_extension,expired,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
year_2022,learned_order_extension,in_life,full_validation,2,13,13,13,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
year_2022,learned_order_extension,in_life,incremental_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_order_extension,in_life,post_source_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_order_offset,expired,full_validation,3,24,24,24,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0
year_2022,learned_order_offset,expired,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
year_2022,learned_order_offset,expired,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
year_2022,learned_order_offset,in_life,full_validation,2,13,13,13,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
year_2022,learned_order_offset,in_life,incremental_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_order_offset,in_life,post_source_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_vol_interaction,expired,full_validation,2,12,12,12,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0
year_2022,learned_vol_interaction,expired,incremental_validation,2,3,3,3,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
year_2022,learned_vol_interaction,expired,post_source_validation,2,3,3,3,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
year_2022,learned_vol_interaction,in_life,full_validation,2,13,13,13,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
year_2022,learned_vol_interaction,in_life,incremental_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2022,learned_vol_interaction,in_life,post_source_validation,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1
year_2023,learned_market,expired,full_validation,1,13,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
year_2023,learned_market,expired,incremental_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_market,expired,post_source_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_market,in_life,full_validation,2,21,14,21,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
year_2023,learned_market,in_life,incremental_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_market,in_life,post_source_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_order_extension,expired,full_validation,1,13,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
year_2023,learned_order_extension,expired,incremental_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_order_extension,expired,post_source_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_order_extension,in_life,full_validation,2,21,14,21,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
year_2023,learned_order_extension,in_life,incremental_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_order_extension,in_life,post_source_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_order_offset,expired,full_validation,1,13,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
year_2023,learned_order_offset,expired,incremental_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_order_offset,expired,post_source_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_order_offset,in_life,full_validation,2,21,14,21,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
year_2023,learned_order_offset,in_life,incremental_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_order_offset,in_life,post_source_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_vol_interaction,expired,full_validation,1,13,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
year_2023,learned_vol_interaction,expired,incremental_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_vol_interaction,expired,post_source_validation,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
year_2023,learned_vol_interaction,in_life,full_validation,2,21,14,21,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
year_2023,learned_vol_interaction,in_life,incremental_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2023,learned_vol_interaction,in_life,post_source_validation,2,7,7,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
year_2024,learned_market,expired,full_validation,3,13,13,13,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0
year_2024,learned_market,expired,incremental_validation,3,4,4,4,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0
year_2024,learned_market,expired,post_source_validation,3,4,4,4,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0
year_2024,learned_market,in_life,full_validation,5,21,17,21,0,1,1,0,1,2,1,0,0,1,3,0,1,0,1,0
year_2024,learned_market,in_life,incremental_validation,5,1,1,1,0,0,0,0,4,1,0,0,0,0,5,0,1,0,0,1
year_2024,learned_market,in_life,post_source_validation,5,1,1,1,0,0,0,0,4,1,0,0,0,0,5,0,1,0,0,1
year_2024,learned_order_extension,expired,full_validation,5,26,25,26,0,1,0,1,0,3,1,0,0,1,2,1,1,0,1,0
year_2024,learned_order_extension,expired,incremental_validation,5,9,9,9,0,0,1,0,2,2,0,0,0,1,3,1,1,0,0,1
year_2024,learned_order_extension,expired,post_source_validation,5,9,9,9,0,0,1,0,2,2,0,0,0,1,3,1,1,0,0,1
year_2024,learned_order_extension,in_life,full_validation,6,31,21,31,0,3,0,0,1,2,3,0,0,0,3,0,0,0,0,0
year_2024,learned_order_extension,in_life,incremental_validation,6,4,4,4,0,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0
year_2024,learned_order_extension,in_life,post_source_validation,6,4,4,4,0,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0
year_2024,learned_order_offset,expired,full_validation,5,26,25,26,0,1,0,1,0,3,1,0,0,1,2,1,1,0,1,0
year_2024,learned_order_offset,expired,incremental_validation,5,9,9,9,0,0,1,0,2,2,0,0,0,1,3,1,1,0,0,1
year_2024,learned_order_offset,expired,post_source_validation,5,9,9,9,0,0,1,0,2,2,0,0,0,1,3,1,1,0,0,1
year_2024,learned_order_offset,in_life,full_validation,6,31,21,31,0,3,0,0,1,2,3,0,0,0,3,0,0,0,0,0
year_2024,learned_order_offset,in_life,incremental_validation,6,4,4,4,0,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0
year_2024,learned_order_offset,in_life,post_source_validation,6,4,4,4,0,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0
year_2024,learned_vol_interaction,expired,full_validation,4,25,25,25,0,0,2,0,0,2,0,0,1,1,2,0,1,0,1,0
year_2024,learned_vol_interaction,expired,incremental_validation,4,9,9,9,0,0,1,0,1,2,0,0,0,1,3,0,1,0,1,0
year_2024,learned_vol_interaction,expired,post_source_validation,4,9,9,9,0,0,1,0,1,2,0,0,0,1,3,0,1,0,1,0
year_2024,learned_vol_interaction,in_life,full_validation,6,30,25,30,0,2,1,0,1,2,2,0,0,1,3,0,1,0,1,0
year_2024,learned_vol_interaction,in_life,incremental_validation,6,5,5,5,0,0,0,0,4,2,0,0,0,0,6,0,1,0,0,1
year_2024,learned_vol_interaction,in_life,post_source_validation,6,5,5,5,0,0,0,0,4,2,0,0,0,0,6,0,1,0,0,1
year_2025,learned_market,expired,full_validation,2,18,18,18,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
year_2025,learned_market,expired,incremental_validation,2,3,3,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
year_2025,learned_market,expired,post_source_validation,2,3,3,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
year_2025,learned_market,in_life,full_validation,3,24,22,24,0,1,2,0,0,0,1,0,0,2,0,0,2,0,2,0
year_2025,learned_market,in_life,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,2,0,0,2
year_2025,learned_market,in_life,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,2,0,0,2
year_2025,learned_order_extension,expired,full_validation,3,27,27,27,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0
year_2025,learned_order_extension,expired,incremental_validation,3,8,8,8,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0
year_2025,learned_order_extension,expired,post_source_validation,3,8,8,8,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0
year_2025,learned_order_extension,in_life,full_validation,3,24,22,24,0,1,2,0,0,0,1,0,1,1,0,0,1,0,1,0
year_2025,learned_order_extension,in_life,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,1
year_2025,learned_order_extension,in_life,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,1
year_2025,learned_order_offset,expired,full_validation,3,27,27,27,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0
year_2025,learned_order_offset,expired,incremental_validation,3,8,8,8,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0
year_2025,learned_order_offset,expired,post_source_validation,3,8,8,8,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0
year_2025,learned_order_offset,in_life,full_validation,3,24,22,24,0,1,2,0,0,0,1,0,1,1,0,0,1,0,1,0
year_2025,learned_order_offset,in_life,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,1
year_2025,learned_order_offset,in_life,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,1
year_2025,learned_vol_interaction,expired,full_validation,2,18,18,18,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
year_2025,learned_vol_interaction,expired,incremental_validation,2,3,3,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
year_2025,learned_vol_interaction,expired,post_source_validation,2,3,3,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
year_2025,learned_vol_interaction,in_life,full_validation,3,24,22,24,0,1,2,0,0,0,1,0,0,2,0,0,2,0,2,0
year_2025,learned_vol_interaction,in_life,incremental_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,2,0,0,2
year_2025,learned_vol_interaction,in_life,post_source_validation,3,5,5,5,0,0,0,0,1,2,0,0,0,0,3,0,2,0,0,2
year_2026,learned_market,in_life,full_validation,1,8,8,8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
year_2026,learned_market,in_life,incremental_validation,1,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
year_2026,learned_market,in_life,post_source_validation,1,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
year_2026,learned_vol_interaction,in_life,full_validation,1,8,8,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
year_2026,learned_vol_interaction,in_life,incremental_validation,1,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
year_2026,learned_vol_interaction,in_life,post_source_validation,1,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
