subject_id,cutoff,previous_decision_cutoff,method,state,mode,original_accepted,original_reason,original_action,training_n,current_validation_n,current_fit_eligible,source_cutoff,expiry,source_age_days,availability,view,n,known_at_source_n,source_validation_overlap_n,new_since_previous_n,old_brier_difference,old_correct_difference,old_evidence,current_brier_difference,current_correct_difference,current_evidence,comparison
2024-11-30:learned_market:negative_low,2024-11-30,2024-10-31,learned_market,negative_low,ready,False,brier_not_better,fallback,32,6,True,2024-10-31,2024-12-31,30.0,in_life,full_validation,6,6,6,0,0.0011211557349514688,0,brier_not_better,0.0012470210620974555,0.0,brier_not_better,both_reject
2024-11-30:learned_market:negative_low,2024-11-30,2024-10-31,learned_market,negative_low,ready,False,brier_not_better,fallback,32,6,True,2024-10-31,2024-12-31,30.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2024-11-30:learned_market:negative_low,2024-11-30,2024-10-31,learned_market,negative_low,ready,False,brier_not_better,fallback,32,6,True,2024-10-31,2024-12-31,30.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-05-31:learned_market:negative_low,2025-05-31,2025-04-30,learned_market,negative_low,ready,False,brier_not_better,fallback,19,8,True,2025-04-30,2025-06-30,31.0,in_life,full_validation,8,6,6,2,0.0007289496983873718,1,brier_not_better,0.00045296459241800195,1.0,brier_not_better,both_reject
2025-05-31:learned_market:negative_low,2025-05-31,2025-04-30,learned_market,negative_low,ready,False,brier_not_better,fallback,19,8,True,2025-04-30,2025-06-30,31.0,in_life,post_source_validation,2,0,0,2,0.007579746972822904,0,insufficient_validation,0.005743485908314867,0.0,insufficient_validation,insufficient_evidence
2025-05-31:learned_market:negative_low,2025-05-31,2025-04-30,learned_market,negative_low,ready,False,brier_not_better,fallback,19,8,True,2025-04-30,2025-06-30,31.0,in_life,incremental_validation,2,0,0,2,0.007579746972822904,0,insufficient_validation,0.005743485908314867,0.0,insufficient_validation,insufficient_evidence
2025-07-31:learned_market:negative_low,2025-07-31,2025-06-30,learned_market,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,full_validation,7,7,7,0,0.00047850905537758344,0,brier_not_better,0.0018789213044452544,0.0,brier_not_better,both_reject
2025-07-31:learned_market:negative_low,2025-07-31,2025-06-30,learned_market,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-07-31:learned_market:negative_low,2025-07-31,2025-06-30,learned_market,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_market:negative_high,2022-07-31,2022-06-30,learned_market,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,full_validation,8,8,8,0,0.0032076995153548366,1,brier_not_better,0.005321753031851072,0.0,brier_not_better,both_reject
2022-07-31:learned_market:negative_high,2022-07-31,2022-06-30,learned_market,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_market:negative_high,2022-07-31,2022-06-30,learned_market,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2026-07-31:learned_market:nonnegative_high,2026-07-31,2026-06-30,learned_market,nonnegative_high,ready,False,direction_worse,fallback,11,8,True,2026-06-30,2026-09-30,31.0,in_life,full_validation,8,5,5,3,-0.0005638312574934232,-1,direction_worse,-0.0006661259911686403,-1.0,direction_worse,both_reject
2026-07-31:learned_market:nonnegative_high,2026-07-31,2026-06-30,learned_market,nonnegative_high,ready,False,direction_worse,fallback,11,8,True,2026-06-30,2026-09-30,31.0,in_life,post_source_validation,3,0,0,3,0.00588617714483435,-1,insufficient_validation,0.007819362321764972,-1.0,insufficient_validation,insufficient_evidence
2026-07-31:learned_market:nonnegative_high,2026-07-31,2026-06-30,learned_market,nonnegative_high,ready,False,direction_worse,fallback,11,8,True,2026-06-30,2026-09-30,31.0,in_life,incremental_validation,3,0,0,3,0.00588617714483435,-1,insufficient_validation,0.007819362321764972,-1.0,insufficient_validation,insufficient_evidence
2024-11-30:learned_vol_interaction:negative_low,2024-11-30,2024-10-31,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,32,6,True,2024-10-31,2024-12-31,30.0,in_life,full_validation,6,6,6,0,0.002641784521494705,0,brier_not_better,0.002830164397728048,0.0,brier_not_better,both_reject
2024-11-30:learned_vol_interaction:negative_low,2024-11-30,2024-10-31,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,32,6,True,2024-10-31,2024-12-31,30.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2024-11-30:learned_vol_interaction:negative_low,2024-11-30,2024-10-31,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,32,6,True,2024-10-31,2024-12-31,30.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-05-31:learned_vol_interaction:negative_low,2025-05-31,2025-04-30,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,19,8,True,2025-04-30,2025-06-30,31.0,in_life,full_validation,8,6,6,2,0.0007666587828784634,1,brier_not_better,0.0004564819902507754,1.0,brier_not_better,both_reject
2025-05-31:learned_vol_interaction:negative_low,2025-05-31,2025-04-30,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,19,8,True,2025-04-30,2025-06-30,31.0,in_life,post_source_validation,2,0,0,2,0.008169400645756539,0,insufficient_validation,0.006063577765380884,0.0,insufficient_validation,insufficient_evidence
2025-05-31:learned_vol_interaction:negative_low,2025-05-31,2025-04-30,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,19,8,True,2025-04-30,2025-06-30,31.0,in_life,incremental_validation,2,0,0,2,0.008169400645756539,0,insufficient_validation,0.006063577765380884,0.0,insufficient_validation,insufficient_evidence
2025-07-31:learned_vol_interaction:negative_low,2025-07-31,2025-06-30,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,full_validation,7,7,7,0,0.0005426011265077266,0,brier_not_better,0.0019663214382107446,0.0,brier_not_better,both_reject
2025-07-31:learned_vol_interaction:negative_low,2025-07-31,2025-06-30,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-07-31:learned_vol_interaction:negative_low,2025-07-31,2025-06-30,learned_vol_interaction,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_vol_interaction:negative_high,2022-07-31,2022-06-30,learned_vol_interaction,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,full_validation,8,8,8,0,0.0032538281573295455,0,brier_not_better,0.005268947218673853,0.0,brier_not_better,both_reject
2022-07-31:learned_vol_interaction:negative_high,2022-07-31,2022-06-30,learned_vol_interaction,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_vol_interaction:negative_high,2022-07-31,2022-06-30,learned_vol_interaction,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-07-31:learned_order_extension:negative_low,2025-07-31,2025-06-30,learned_order_extension,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,full_validation,7,7,7,0,0.000928966431441596,0,brier_not_better,0.0023463892060044994,0.0,brier_not_better,both_reject
2025-07-31:learned_order_extension:negative_low,2025-07-31,2025-06-30,learned_order_extension,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-07-31:learned_order_extension:negative_low,2025-07-31,2025-06-30,learned_order_extension,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_order_extension:negative_high,2022-07-31,2022-06-30,learned_order_extension,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,full_validation,8,8,8,0,0.003132882845573049,0,brier_not_better,0.005117420212204536,-1.0,brier_not_better,both_reject
2022-07-31:learned_order_extension:negative_high,2022-07-31,2022-06-30,learned_order_extension,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_order_extension:negative_high,2022-07-31,2022-06-30,learned_order_extension,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-07-31:learned_order_offset:negative_low,2025-07-31,2025-06-30,learned_order_offset,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,full_validation,7,7,7,0,0.0009348748958708083,0,brier_not_better,0.0023371709880474234,0.0,brier_not_better,both_reject
2025-07-31:learned_order_offset:negative_low,2025-07-31,2025-06-30,learned_order_offset,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2025-07-31:learned_order_offset:negative_low,2025-07-31,2025-06-30,learned_order_offset,negative_low,ready,False,brier_not_better,fallback,20,7,True,2025-06-30,2025-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_order_offset:negative_high,2022-07-31,2022-06-30,learned_order_offset,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,full_validation,8,8,8,0,0.0031242699394929303,0,brier_not_better,0.005113235761001617,-1.0,brier_not_better,both_reject
2022-07-31:learned_order_offset:negative_high,2022-07-31,2022-06-30,learned_order_offset,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,post_source_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
2022-07-31:learned_order_offset:negative_high,2022-07-31,2022-06-30,learned_order_offset,negative_high,ready,False,brier_not_better,fallback,24,8,True,2022-06-30,2022-09-30,31.0,in_life,incremental_validation,0,0,0,0,,0,no_samples,,0.0,no_samples,insufficient_evidence
