cutoff,row_index,date
2025-03-31,3503,2025-07-04
2025-03-31,3508,2025-07-11
2025-03-31,3513,2025-07-18
2025-03-31,3518,2025-07-25
2025-03-31,3523,2025-08-01
2025-03-31,3528,2025-08-08
2025-03-31,3533,2025-08-15
2025-03-31,3538,2025-08-22
2025-03-31,3543,2025-08-29
2025-03-31,3548,2025-09-05
2025-03-31,3553,2025-09-12
2025-03-31,3558,2025-09-19
2025-03-31,3563,2025-09-26
