decision,active_model,triggered,pairs,history_ends_before_decision,future_perturbation_invariant
2021-03-31,2020-12-31,False,1101,True,True
2021-06-30,2020-12-31,False,1041,True,True
2021-09-30,2020-12-31,False,977,True,True
2022-03-31,2021-12-31,False,1100,True,True
2022-06-30,2021-12-31,False,1041,True,True
2022-09-30,2021-12-31,False,976,True,True
2023-03-31,2022-12-31,False,1097,True,True
2023-06-30,2022-12-31,False,1038,True,True
2023-09-30,2022-12-31,False,974,True,True
2024-03-31,2023-12-31,False,1097,True,True
2024-06-30,2023-12-31,False,1038,True,True
2024-09-30,2023-12-31,False,974,True,True
2025-03-31,2024-12-31,True,1096,True,True
2025-06-30,2025-03-31,False,1092,True,True
2025-09-30,2025-03-31,True,1026,True,True
2026-03-31,2025-12-31,False,1097,True,True
2026-06-30,2025-12-31,False,1037,True,True
