window,history,method,bin_index,n,mean_probability,observed_up
extension_2021_2023,rolling5_quarterly20,learned_vol_interaction,1,12,0.35367974799206064,0.5
extension_2021_2023,rolling5_quarterly20,learned_vol_interaction,2,99,0.5045928979310331,0.43434343434343436
extension_2021_2023,rolling5_quarterly20,learned_vol_interaction,3,35,0.6510826503027437,0.37142857142857144
extension_2021_2023,rolling5_quarterly20,learned_vol_interaction,4,1,0.8093484782828968,0.0
extension_2021_2023,rolling5_quarterly20,training_frequency,0,0,,
extension_2021_2023,rolling5_quarterly20,training_frequency,1,0,,
extension_2021_2023,rolling5_quarterly20,training_frequency,2,147,0.5304870837535175,0.4217687074829932
extension_2021_2023,rolling5_quarterly20,training_frequency,3,0,,
extension_2021_2023,rolling5_quarterly20,training_frequency,4,0,,
extension_2021_2023,state90,learned_market,0,0,,
extension_2021_2023,state90,learned_market,1,20,0.37425569920791657,0.4
extension_2021_2023,state90,learned_market,2,74,0.4959800711298788,0.44594594594594594
extension_2021_2023,state90,learned_market,3,53,0.6646322289136826,0.39622641509433965
extension_2021_2023,state90,learned_market,4,0,,
extension_2021_2023,state90,learned_order_extension,0,0,,
extension_2021_2023,state90,learned_order_extension,1,18,0.36872090537663227,0.4444444444444444
extension_2021_2023,state90,learned_order_extension,2,75,0.49147333991128617,0.4266666666666667
extension_2021_2023,state90,learned_order_extension,3,54,0.6694155899085966,0.4074074074074074
extension_2021_2023,state90,learned_order_extension,4,0,,
extension_2021_2023,state90,learned_order_offset,0,0,,
extension_2021_2023,state90,learned_order_offset,1,17,0.36749627423514586,0.4117647058823529
extension_2021_2023,state90,learned_order_offset,2,76,0.4904911466196272,0.4342105263157895
extension_2021_2023,state90,learned_order_offset,3,54,0.6689491056628001,0.4074074074074074
extension_2021_2023,state90,learned_order_offset,4,0,,
extension_2021_2023,state90,learned_vol_interaction,0,0,,
extension_2021_2023,state90,learned_vol_interaction,1,22,0.3728213741585311,0.4090909090909091
extension_2021_2023,state90,learned_vol_interaction,2,72,0.49932245368105327,0.4444444444444444
extension_2021_2023,state90,learned_vol_interaction,3,53,0.6677110678706436,0.39622641509433965
extension_2021_2023,state90,learned_vol_interaction,4,0,,
extension_2021_2023,state90,training_frequency,0,0,,
extension_2021_2023,state90,training_frequency,1,0,,
extension_2021_2023,state90,training_frequency,2,147,0.5358667437764589,0.4217687074829932
extension_2021_2023,state90,training_frequency,3,0,,
extension_2021_2023,state90,training_frequency,4,0,,
recent_2024_2026,rolling5_annual20,learned_market,0,0,,
recent_2024_2026,rolling5_annual20,learned_market,1,21,0.3474082845224156,0.47619047619047616
recent_2024_2026,rolling5_annual20,learned_market,2,95,0.4902800451238366,0.49473684210526314
recent_2024_2026,rolling5_annual20,learned_market,3,9,0.6186648117486008,1.0
recent_2024_2026,rolling5_annual20,learned_market,4,0,,
recent_2024_2026,rolling5_annual20,learned_order_extension,0,0,,
