cutoff,previous_model_cutoff,selected_model_cutoff,mandatory,refit,distance,threshold,ratio,lag_observations,calibration_n,historical_percentile,reference_last_date,current_last_date
2020-12-31,,2020-12-31,True,True,,,,0,0,,,
2021-03-31,2020-12-31,2020-12-31,False,False,0.6900763917319372,1.26643184551684,0.5448981673785313,58,1101,0.701180744777475,2020-12-31,2021-03-31
2021-06-30,2020-12-31,2020-12-31,False,False,0.2841169648330111,1.8060801763139822,0.15731137994818348,118,1041,0.2680115273775216,2020-12-31,2021-06-30
2021-09-30,2020-12-31,2020-12-31,False,False,0.425569299470563,2.4010928740950392,0.17723983277029967,182,977,0.3367451381780962,2020-12-31,2021-09-30
2021-12-31,2020-12-31,2021-12-31,True,True,,,,0,0,,,
2022-03-31,2021-12-31,2021-12-31,False,False,0.6747032557410774,1.3700708050860722,0.49245867676064403,58,1100,0.58,2021-12-31,2022-03-31
2022-06-30,2021-12-31,2021-12-31,False,False,1.5675296484448167,1.847444609325354,0.8484853296994078,117,1041,0.834774255523535,2021-12-31,2022-06-30
2022-09-30,2021-12-31,2021-12-31,False,False,0.11572513646599375,2.2913658728741524,0.05050487040763815,182,976,0.02459016393442623,2021-12-31,2022-09-30
2022-12-31,2021-12-31,2022-12-31,True,True,,,,0,0,,,
2023-03-31,2022-12-31,2022-12-31,False,False,1.4824060486381472,1.6717444406164947,0.8867420238535235,59,1097,0.8486782133090246,2022-12-30,2023-03-31
2023-06-30,2022-12-31,2022-12-31,False,False,0.8206296502533957,1.8962343656219711,0.4327680507911407,118,1038,0.6608863198458574,2022-12-30,2023-06-30
2023-09-30,2022-12-31,2022-12-31,False,False,0.5515677824252823,2.0743487767801043,0.26589924924845576,182,974,0.35626283367556466,2022-12-30,2023-09-28
2023-12-31,2022-12-31,2023-12-31,True,True,,,,0,0,,,
2024-03-31,2023-12-31,2023-12-31,False,False,0.8043205796393634,1.6013674412638392,0.5022710958857597,58,1097,0.5478577939835916,2023-12-29,2024-03-29
2024-06-30,2023-12-31,2023-12-31,False,False,1.1380003655460145,1.9333269072388175,0.5886228352199937,117,1038,0.8236994219653179,2023-12-29,2024-06-28
2024-09-30,2023-12-31,2023-12-31,False,False,0.028751587790374074,2.1373041924692955,0.013452267530134046,181,974,0.006160164271047228,2023-12-29,2024-09-30
2024-12-31,2023-12-31,2024-12-31,True,True,,,,0,0,,,
2025-03-31,2024-12-31,2025-03-31,False,True,2.4030415708404798,1.386207644608006,1.7335365161112033,57,1096,0.9698905109489051,2024-12-31,2025-03-31
2025-06-30,2025-03-31,2025-03-31,False,False,0.07735541727076167,1.5904774155281338,0.04863660213941173,60,1092,0.06684981684981685,2025-03-31,2025-06-30
2025-09-30,2025-03-31,2025-09-30,False,True,1.192423750127331,0.9698064994945728,1.2295481116581277,126,1026,0.9142300194931774,2025-03-31,2025-09-30
2025-12-31,2025-09-30,2025-12-31,True,True,,,,0,0,,,
2026-03-31,2025-12-31,2025-12-31,False,False,0.3091361298972462,1.5312726629436793,0.2018818316151291,56,1097,0.3072014585232452,2025-12-31,2026-03-31
2026-06-30,2025-12-31,2025-12-31,False,False,0.19476813684209215,1.8513085635951334,0.10520565867413467,116,1037,0.08871745419479267,2025-12-31,2026-06-30
