history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
rolling5_annual20,learned_market,2021,50,0.58,0.42,29,0.5950080515297906,0.68,0.46,18,11,16,5,0.5442834138486312,0.26094551746765576,0.7188216392580923,0.5608790060522634,0.11499022931948351,0.10087900605226335,0.0
rolling5_annual20,learned_market,2022,49,0.3673469387755102,0.6326530612244898,18,0.41120689655172415,0.7551020408163265,0.40816326530612246,13,5,24,7,0.3448275862068966,0.3057236543478833,0.8102759838972978,0.5824516815310631,0.09414071419910733,0.17428841622494062,0.0
rolling5_annual20,learned_market,2023,48,0.4375,0.5625,21,0.40744101633393826,0.375,0.3958333333333333,5,16,13,14,0.4283121597096189,0.26545593566752973,0.7250032514830308,0.47560551421998504,0.0952453883812954,0.07977218088665172,0.0
rolling5_annual20,learned_market,2024,47,0.723404255319149,0.2765957446808511,34,0.7181818181818183,0.40425531914893614,0.46808510638297873,14,20,5,8,0.76,0.22135338515848307,0.6349445495948645,0.4818550078431504,0.0849589459421309,0.013769901460171652,0.0
rolling5_annual20,learned_market,2025,48,0.4375,0.5625,21,0.4722222222222222,0.3541666666666667,0.625,10,11,7,20,0.524074074074074,0.26306621694994814,0.720994378721774,0.46591347245962006,0.09019621984474567,-0.15908652754037994,0.0
rolling5_annual20,learned_market,2026,30,0.4666666666666667,0.5333333333333333,14,0.45535714285714285,0.3333333333333333,0.4666666666666667,4,10,6,10,0.38392857142857145,0.2579418317855127,0.7091856657962172,0.48097098402609273,0.043144354274547055,0.014304317359426055,0.0
rolling5_annual20,learned_order_extension,2021,50,0.58,0.42,29,0.5982286634460547,0.72,0.46,19,10,17,4,0.5555555555555556,0.2647650764059568,0.7291919585921995,0.56577625268787,0.13459033526418915,0.10577625268787,0.0
rolling5_annual20,learned_order_extension,2022,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.35,0.3034151187049206,0.8049755855765076,0.5780142732516887,0.09455929907483387,0.1698510079455663,0.0
rolling5_annual20,learned_order_extension,2023,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.4337568058076225,0.2603128341849292,0.7142327123994728,0.4798834712804963,0.08297966192655283,0.08405013794716298,0.0
rolling5_annual20,learned_order_extension,2024,47,0.7021276595744681,0.2978723404255319,33,0.6954545454545455,0.3829787234042553,0.46808510638297873,13,20,5,9,0.7,0.23149579641952137,0.6560508237945634,0.47820776227854894,0.07386156186589365,0.01012265589557021,0.0
rolling5_annual20,learned_order_extension,2025,48,0.4791666666666667,0.5208333333333334,23,0.5055555555555555,0.3958333333333333,0.625,12,11,7,18,0.5259259259259259,0.26310957448667444,0.7215352660489932,0.47008560149327766,0.10165376092278322,-0.15491439850672234,0.0
rolling5_annual20,learned_order_extension,2026,30,0.5333333333333333,0.4666666666666667,16,0.5178571428571428,0.26666666666666666,0.4666666666666667,4,12,4,10,0.41517857142857145,0.25714039845819736,0.7077846259079127,0.4734624706467733,0.04090066116289066,0.006795803980106652,0.0
rolling5_annual20,learned_order_offset,2021,50,0.58,0.42,29,0.5982286634460547,0.72,0.46,19,10,17,4,0.5555555555555556,0.264724145089318,0.729071090173193,0.565454076244052,0.1343560402714924,0.10545407624405195,0.0
rolling5_annual20,learned_order_offset,2022,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.34655172413793106,0.30336212513532623,0.8048420672885294,0.5778024908771058,0.09445119828461537,0.16963922557098332,0.0
rolling5_annual20,learned_order_offset,2023,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.4355716878402904,0.26014420853009396,0.7138766036986981,0.48047895095207416,0.08212455145901379,0.08464561761874084,0.0
rolling5_annual20,learned_order_offset,2024,47,0.6808510638297872,0.3191489361702128,32,0.6727272727272727,0.3617021276595745,0.46808510638297873,12,20,5,10,0.6963636363636364,0.23175374278726688,0.6565820094995436,0.4782096605346944,0.07333365743639939,0.010124554151715648,0.0
rolling5_annual20,learned_order_offset,2025,48,0.4791666666666667,0.5208333333333334,23,0.5055555555555555,0.3958333333333333,0.625,12,11,7,18,0.5277777777777778,0.26297237896251674,0.7212214827968811,0.46990870266482093,0.10083643785913905,-0.15509129733517907,0.0
rolling5_annual20,learned_order_offset,2026,30,0.5333333333333333,0.4666666666666667,16,0.5178571428571428,0.26666666666666666,0.4666666666666667,4,12,4,10,0.41517857142857145,0.2570979602122138,0.7076969781186662,0.4733246065407771,0.04074189091604436,0.006657939874110452,0.0
rolling5_annual20,learned_vol_interaction,2021,50,0.58,0.42,29,0.5982286634460547,0.72,0.46,19,10,17,4,0.5410628019323671,0.2626379063442903,0.7229636004314257,0.5629322457088187,0.12170940439035155,0.1029322457088187,0.0
rolling5_annual20,learned_vol_interaction,2022,49,0.42857142857142855,0.5714285714285714,21,0.4706896551724138,0.7346938775510204,0.40816326530612246,14,7,22,6,0.35344827586206895,0.3060813859219992,0.8112470859347125,0.5814293980928159,0.09627109205038982,0.17326613278669345,0.0
rolling5_annual20,learned_vol_interaction,2023,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.4319419237749546,0.26523459990523673,0.724590435336399,0.47719418128497315,0.0951375768409784,0.08136084795163984,0.0
rolling5_annual20,learned_vol_interaction,2024,47,0.723404255319149,0.2765957446808511,34,0.7209090909090909,0.44680851063829785,0.46808510638297873,15,19,6,7,0.7381818181818182,0.22280804607377586,0.6377677326761343,0.4804739279000666,0.08962285654638014,0.012388821517087867,0.0
rolling5_annual20,learned_vol_interaction,2025,48,0.4583333333333333,0.5416666666666666,22,0.5,0.3333333333333333,0.625,10,12,6,20,0.5351851851851852,0.2637150567241412,0.7230569930816616,0.4649888992519164,0.09449783067896311,-0.1600111007480836,0.0
rolling5_annual20,learned_vol_interaction,2026,30,0.4,0.6,12,0.39285714285714285,0.4,0.4666666666666667,4,8,8,10,0.39285714285714285,0.25750094645034777,0.7082703597820365,0.48294627784032795,0.04333777461702088,0.01627961117366128,0.0
rolling5_annual20,native_mse,2021,50,0.58,0.42,29,0.5917874396135265,0.64,0.46,17,12,15,6,0.6022544283413849,,,,,,
rolling5_annual20,native_mse,2022,49,0.40816326530612246,0.5918367346938775,20,0.45344827586206893,0.7551020408163265,0.40816326530612246,14,6,23,6,0.3620689655172414,,,,,,
rolling5_annual20,native_mse,2023,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
rolling5_annual20,native_mse,2024,47,0.5106382978723404,0.48936170212765956,24,0.5263636363636364,0.7446808510638298,0.46808510638297873,17,7,18,5,0.6418181818181818,,,,,,
rolling5_annual20,native_mse,2025,48,0.5416666666666666,0.4583333333333333,26,0.5888888888888889,0.3333333333333333,0.625,12,14,4,18,0.4962962962962963,,,,,,
rolling5_annual20,native_mse,2026,30,0.5333333333333333,0.4666666666666667,16,0.5089285714285714,0.13333333333333333,0.4666666666666667,2,14,2,12,0.5446428571428571,,,,,,
rolling5_annual20,training_frequency,2021,50,0.46,0.54,23,0.5,1.0,0.46,23,0,27,0,0.5,0.2579561916587699,0.7091459046712631,0.5577557755775578,1.1102230246251565e-16,0.09775577557755782,0.0
rolling5_annual20,training_frequency,2022,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.5,0.2605181144451977,0.7142485422142615,0.545829892650702,1.1102230246251565e-16,0.13766662734457957,0.0
rolling5_annual20,training_frequency,2023,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.5,0.2506114962840729,0.6943701868881638,0.5028949545078577,0.0,0.10706162117452439,0.0
rolling5_annual20,training_frequency,2024,47,0.46808510638297873,0.5319148936170213,22,0.5,1.0,0.46808510638297873,22,0,25,0,0.5,0.250164685176182,0.6934765536715868,0.5024834437086093,0.0,0.03439833732563058,0.0
rolling5_annual20,training_frequency,2025,48,0.375,0.625,18,0.5,0.0,0.625,0,18,0,30,0.5,0.2575895398628747,0.7083421905167125,0.472636815920398,0.0,-0.15236318407960198,0.0
rolling5_annual20,training_frequency,2026,30,0.5333333333333333,0.4666666666666667,16,0.5,0.0,0.4666666666666667,0,16,0,14,0.5,0.24904774084249842,0.6912418164569819,0.47927031509121076,1.6653345369377348e-16,0.01260364842454409,0.0
rolling5_matched,learned_market,2021,50,0.56,0.44,28,0.5700483091787439,0.62,0.46,16,12,15,7,0.5507246376811594,0.2775983133384077,0.7711867314816194,0.584616920713396,0.1724518490353467,0.12461692071339597,0.0
rolling5_matched,learned_market,2022,49,0.2857142857142857,0.7142857142857143,14,0.3112068965517242,0.673469387755102,0.40816326530612246,9,5,24,11,0.31896551724137934,0.35331984713996617,0.9217753777959287,0.5739527138923535,0.18091928017141676,0.16578944858623101,0.0
rolling5_matched,learned_market,2023,48,0.4791666666666667,0.5208333333333334,23,0.49637023593466423,0.5833333333333334,0.3958333333333333,11,12,17,8,0.47368421052631576,0.29902876761228514,0.8115521539597227,0.5002274687341699,0.19030462020993952,0.10439413540083659,0.0
rolling5_matched,learned_market,2024,47,0.6382978723404256,0.3617021276595745,30,0.6381818181818182,0.48936170212765956,0.46808510638297873,14,16,9,8,0.6745454545454546,0.22631044344739099,0.6449131630651929,0.5026817567781646,0.20435390463957773,0.03459665039518589,0.0
rolling5_matched,learned_market,2025,48,0.5,0.5,24,0.5222222222222223,0.4166666666666667,0.625,13,11,7,17,0.5888888888888889,0.27016676143002566,0.7421254579018076,0.4449727462810107,0.1785251033973329,-0.1800272537189893,0.0
rolling5_matched,learned_market,2026,30,0.5666666666666667,0.43333333333333335,17,0.5580357142857143,0.36666666666666664,0.4666666666666667,6,11,5,8,0.4732142857142857,0.2785743225388374,0.75777501942626,0.4747036931970128,0.1496004367182388,0.008037026530346103,0.0
rolling5_matched,learned_order_extension,2021,50,0.56,0.44,28,0.5700483091787439,0.62,0.46,16,12,15,7,0.5507246376811594,0.2825616622980457,0.7970215792987961,0.5855163476554796,0.18680322187588705,0.12551634765547953,0.0
rolling5_matched,learned_order_extension,2022,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.31896551724137934,0.35648019657992813,0.9341357087505321,0.5762275882098077,0.18578820493809697,0.16806432290368523,0.0
rolling5_matched,learned_order_extension,2023,48,0.4791666666666667,0.5208333333333334,23,0.48729582577132485,0.5416666666666666,0.3958333333333333,10,13,16,9,0.47368421052631576,0.2953447304992635,0.8051519214198498,0.4993151341678699,0.18999868189160077,0.10348180083453656,0.0
rolling5_matched,learned_order_extension,2024,47,0.6595744680851063,0.3404255319148936,31,0.6609090909090909,0.5106382978723404,0.46808510638297873,15,16,9,7,0.6763636363636364,0.22429826858936439,0.6400425637549649,0.5042908659989943,0.19705141391392894,0.036205759616015576,0.0
rolling5_matched,learned_order_extension,2025,48,0.5208333333333334,0.4791666666666667,25,0.538888888888889,0.4375,0.625,14,11,7,16,0.5851851851851851,0.2732680884493593,0.7511640368093064,0.44829541111469035,0.18744407460454582,-0.17670458888530965,0.0
rolling5_matched,learned_order_extension,2026,30,0.5333333333333333,0.4666666666666667,16,0.5267857142857143,0.4,0.4666666666666667,6,10,6,8,0.45535714285714285,0.28432418527639564,0.7726565244782437,0.4733375544572414,0.16405721235169768,0.006670887790574731,0.0
rolling5_matched,learned_order_offset,2021,50,0.56,0.44,28,0.5700483091787439,0.62,0.46,16,12,15,7,0.5523349436392915,0.28152498138021964,0.792572956936687,0.5857943275021619,0.18420354987853135,0.12579432750216185,0.0
rolling5_matched,learned_order_offset,2022,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.31896551724137934,0.35589894491395996,0.9325422682228165,0.5759025525476595,0.1853055339413423,0.16773928724153708,0.0
rolling5_matched,learned_order_offset,2023,48,0.5,0.5,24,0.5136116152450091,0.5625,0.3958333333333333,11,13,16,8,0.47549909255898365,0.2941252169611776,0.8009088438966877,0.5008306050292367,0.1874753318778681,0.1049972716959034,0.0
rolling5_matched,learned_order_offset,2024,47,0.6808510638297872,0.3191489361702128,32,0.6809090909090909,0.48936170212765956,0.46808510638297873,15,17,8,7,0.6763636363636364,0.22449553049574372,0.6402150500803411,0.5040072043469241,0.19518993056263687,0.03592209796394541,0.0
rolling5_matched,learned_order_offset,2025,48,0.5208333333333334,0.4791666666666667,25,0.538888888888889,0.4375,0.625,14,11,7,16,0.5888888888888889,0.27382432671670315,0.7522377746172145,0.44654592518361863,0.1863115865513337,-0.17845407481638137,0.0
rolling5_matched,learned_order_offset,2026,30,0.5333333333333333,0.4666666666666667,16,0.5267857142857143,0.4,0.4666666666666667,6,10,6,8,0.45982142857142855,0.2836128575888123,0.7707608982864051,0.47506887861487995,0.16288394344982443,0.008402211948213278,0.0
rolling5_matched,learned_vol_interaction,2021,50,0.56,0.44,28,0.5700483091787439,0.62,0.46,16,12,15,7,0.5587761674718197,0.2773919959815814,0.7703354560314469,0.5840353176095328,0.1722642613341367,0.12403531760953274,0.0
rolling5_matched,learned_vol_interaction,2022,49,0.32653061224489793,0.673469387755102,16,0.35344827586206895,0.673469387755102,0.40816326530612246,10,6,23,10,0.32241379310344825,0.3538183658487915,0.9236019114859327,0.5758509741834308,0.18030361364958736,0.16768770887730833,0.0
rolling5_matched,learned_vol_interaction,2023,48,0.4791666666666667,0.5208333333333334,23,0.49637023593466423,0.5833333333333334,0.3958333333333333,11,12,17,8,0.47368421052631576,0.30219442814962,0.8221301523393638,0.49923543862022185,0.1998231059991527,0.10340210528688853,0.0
rolling5_matched,learned_vol_interaction,2024,47,0.6382978723404256,0.3617021276595745,30,0.6381818181818182,0.48936170212765956,0.46808510638297873,14,16,9,8,0.6872727272727273,0.22498091471469528,0.6419834136422953,0.503721027557018,0.2042281164712855,0.03563592117403924,0.0
rolling5_matched,learned_vol_interaction,2025,48,0.5,0.5,24,0.5222222222222223,0.4166666666666667,0.625,13,11,7,17,0.587037037037037,0.2713204833806182,0.745019956573342,0.44438275801243726,0.18105523037130147,-0.18061724198756274,0.0
rolling5_matched,learned_vol_interaction,2026,30,0.5333333333333333,0.4666666666666667,16,0.5267857142857143,0.4,0.4666666666666667,6,10,6,8,0.47767857142857145,0.2775225939076531,0.7547236016845825,0.4755346410143901,0.1496417399552769,0.008867974347723406,0.0
rolling5_matched,native_mse,2021,50,0.46,0.54,23,0.46779388083735907,0.6,0.46,13,10,17,10,0.5169082125603864,,,,,,
