history,method,cutoff,date,row_index,state,year,probability,actual_up,annual_probability,changed_vs_annual,case_vs_annual,brier_vs_annual,quarter4_probability,changed_vs_quarter4,case_vs_quarter4,brier_vs_quarter4
annual_head_timeweight2y,learned_market,2020-12-31,2021-01-08,2418,nonnegative_low,2021,0.5271959325499261,0,0.5075530912524239,True,stable_wrong,0.020325410857294945,0.5075530912524239,True,stable_wrong,0.020325410857294945
annual_head_timeweight2y,learned_market,2020-12-31,2021-01-15,2423,nonnegative_high,2021,0.4010635091225479,1,0.3650104266377245,True,stable_wrong,-0.04448683817420829,0.3650104266377245,True,stable_wrong,-0.04448683817420829
annual_head_timeweight2y,learned_market,2020-12-31,2021-01-22,2428,nonnegative_high,2021,0.41875926948851255,0,0.3866446547735138,True,stable_correct,0.025865236717623002,0.3866446547735138,True,stable_correct,0.025865236717623002
annual_head_timeweight2y,learned_market,2020-12-31,2021-01-29,2433,nonnegative_high,2021,0.4368766312408677,1,0.42114716721388007,True,stable_wrong,-0.01796267358188197,0.42114716721388007,True,stable_wrong,-0.01796267358188197
annual_head_timeweight2y,learned_market,2020-12-31,2021-02-05,2438,nonnegative_high,2021,0.5395175189427427,1,0.4985813898598063,True,recovery,-0.03937650723427616,0.4985813898598063,True,recovery,-0.03937650723427616
annual_head_timeweight2y,learned_market,2020-12-31,2021-02-19,2443,nonnegative_high,2021,0.46855542171906084,0,0.4352524461345955,True,stable_correct,0.030099491356177954,0.4352524461345955,True,stable_correct,0.030099491356177954
annual_head_timeweight2y,learned_market,2020-12-31,2021-02-26,2448,nonnegative_high,2021,0.5217362357079077,0,0.49709849837034153,True,regression,0.025101782568609038,0.49709849837034153,True,regression,0.025101782568609038
annual_head_timeweight2y,learned_market,2020-12-31,2021-03-05,2453,nonnegative_high,2021,0.43118346859353873,0,0.41887534844548496,True,stable_correct,0.010462626053028778,0.41887534844548496,True,stable_correct,0.010462626053028778
annual_head_timeweight2y,learned_market,2020-12-31,2021-03-12,2458,nonnegative_high,2021,0.3970774754238591,0,0.415043511213008,True,stable_correct,-0.014590594711036825,0.415043511213008,True,stable_correct,-0.014590594711036825
annual_head_timeweight2y,learned_market,2020-12-31,2021-03-19,2463,negative_high,2021,0.5494844489435231,1,0.5654234834962107,True,stable_correct,0.014107513047152825,0.5654234834962107,True,stable_correct,0.014107513047152825
annual_head_timeweight2y,learned_market,2020-12-31,2021-03-26,2468,nonnegative_high,2021,0.5241097048107372,1,0.5557651813900334,True,stable_correct,0.029126998989893793,0.5557651813900334,True,stable_correct,0.029126998989893793
annual_head_timeweight2y,learned_market,2020-12-31,2021-04-02,2473,negative_high,2021,0.5389074647731772,0,0.5699172983026043,True,stable_wrong,-0.034384471316286414,0.5699172983026043,True,stable_wrong,-0.034384471316286414
annual_head_timeweight2y,learned_market,2020-12-31,2021-04-09,2477,negative_high,2021,0.5865008012630802,0,0.6321055329611007,True,stable_wrong,-0.05557421491780207,0.6321055329611007,True,stable_wrong,-0.05557421491780207
annual_head_timeweight2y,learned_market,2020-12-31,2021-04-16,2482,negative_high,2021,0.5299750714829865,1,0.567805440823208,True,stable_correct,0.03413129644540214,0.567805440823208,True,stable_correct,0.03413129644540214
annual_head_timeweight2y,learned_market,2020-12-31,2021-04-23,2487,negative_high,2021,0.6283248069404049,0,0.6348872722727549,True,stable_wrong,-0.008289785477242073,0.6348872722727549,True,stable_wrong,-0.008289785477242073
annual_head_timeweight2y,learned_market,2020-12-31,2021-04-30,2492,negative_low,2021,0.6266705544795592,0,0.6259373673250876,True,stable_wrong,0.0009183960378564837,0.6259373673250876,True,stable_wrong,0.0009183960378564837
annual_head_timeweight2y,learned_market,2020-12-31,2021-05-07,2494,negative_high,2021,0.6958841612232817,1,0.6867029795215412,True,stable_correct,-0.0056685796458128684,0.6867029795215412,True,stable_correct,-0.0056685796458128684
annual_head_timeweight2y,learned_market,2020-12-31,2021-05-14,2499,negative_high,2021,0.5193066092950459,1,0.5300139783759729,True,stable_correct,0.010179275345445132,0.5300139783759729,True,stable_correct,0.010179275345445132
annual_head_timeweight2y,learned_market,2020-12-31,2021-05-21,2504,negative_low,2021,0.6438410596996645,1,0.6171517717115208,True,stable_correct,-0.019723575147769568,0.6171517717115208,True,stable_correct,-0.019723575147769568
annual_head_timeweight2y,learned_market,2020-12-31,2021-05-28,2509,negative_high,2021,0.5491843931624759,0,0.5499439655342768,True,stable_wrong,-0.0008348675343289313,0.5499439655342768,True,stable_wrong,-0.0008348675343289313
annual_head_timeweight2y,learned_market,2020-12-31,2021-06-04,2514,nonnegative_high,2021,0.41711972793391916,0,0.420707971879259,True,stable_correct,-0.0030063301710926416,0.420707971879259,True,stable_correct,-0.0030063301710926416
