history,method,cutoff,date,row_index,state,year,probability,actual_up,annual_probability,changed_vs_annual,case_vs_annual,brier_vs_annual,quarter4_probability,changed_vs_quarter4,case_vs_quarter4,brier_vs_quarter4
annual_head_timeweight2y,learned_market,2025-12-31,2026-07-17,3754,negative_high,2026,0.47302489097529116,1,0.48034056980630435,True,stable_wrong,0.007656842142367282,0.48034056980630435,True,stable_wrong,0.007656842142367282
annual_head_timeweight2y,learned_market,2025-12-31,2026-07-24,3759,negative_high,2026,0.5099804127671761,0,0.4855896136257898,True,regression,0.024282748544935506,0.4855896136257898,True,regression,0.024282748544935506
annual_head_timeweight2y,learned_market,2025-12-31,2026-07-31,3764,negative_high,2026,0.3756358179570669,1,0.3968670895698036,True,stable_wrong,0.026061324174141642,0.3968670895698036,True,stable_wrong,0.026061324174141642
annual_head_timeweight2y,learned_market,2025-12-31,2026-08-07,3769,negative_high,2026,0.43533785294802935,0,0.4499577215063888,True,stable_correct,-0.012942904933820915,0.4499577215063888,True,stable_correct,-0.012942904933820915
annual_head_timeweight2y,learned_market,2025-12-31,2026-08-14,3774,negative_high,2026,0.5268244307737541,0,0.48837964453678734,True,regression,0.03902930366221127,0.48837964453678734,True,regression,0.03902930366221127
annual_head_timeweight2y,learned_market,2025-12-31,2026-08-21,3779,negative_high,2026,0.5193443805677654,0,0.5212932595922709,True,stable_wrong,-0.0020280768690187356,0.5212932595922709,True,stable_wrong,-0.0020280768690187356
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-01-09,3630,nonnegative_low,2026,0.5629184335807298,0,0.5260850289084584,True,stable_wrong,0.04011170522336899,0.5260850289084584,True,stable_wrong,0.04011170522336899
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-01-16,3635,nonnegative_low,2026,0.5700372246213471,0,0.5431940794853497,True,stable_wrong,0.02988262946607173,0.5431940794853497,True,stable_wrong,0.02988262946607173
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-01-23,3640,negative_low,2026,0.4295527317366891,0,0.42401345231033893,True,stable_correct,0.004728141602319935,0.42401345231033893,True,stable_correct,0.004728141602319935
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-01-30,3645,nonnegative_low,2026,0.4913375940986491,1,0.45724385028463316,True,stable_wrong,-0.035846794876498944,0.45724385028463316,True,stable_wrong,-0.035846794876498944
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-02-06,3650,negative_low,2026,0.5646673855246496,1,0.5042957605458408,True,stable_correct,-0.05620820778688232,0.5042957605458408,True,stable_correct,-0.05620820778688232
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-02-13,3655,nonnegative_low,2026,0.5451248258775118,0,0.4505062339482251,True,regression,0.09420520896177459,0.4505062339482251,True,regression,0.09420520896177459
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-02-27,3659,nonnegative_low,2026,0.5805238827423532,0,0.504015087214225,True,stable_wrong,0.08297677029469464,0.504015087214225,True,stable_wrong,0.08297677029469464
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-03-06,3664,nonnegative_high,2026,0.5568225706637194,1,0.49562639077605564,True,recovery,-0.0579865038084742,0.49562639077605564,True,recovery,-0.0579865038084742
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-03-13,3669,nonnegative_low,2026,0.47257908709313573,0,0.4549664030792006,True,stable_correct,0.01633656562695593,0.4549664030792006,True,stable_correct,0.01633656562695593
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-03-20,3674,nonnegative_low,2026,0.45197218996471306,0,0.44751285163197135,True,stable_correct,0.004011108125719837,0.44751285163197135,True,stable_correct,0.004011108125719837
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-03-27,3679,negative_high,2026,0.496407523610702,0,0.4694278085841141,True,stable_correct,0.026057962025226006,0.4694278085841141,True,stable_correct,0.026057962025226006
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-04-03,3684,negative_high,2026,0.5338089517096408,1,0.4838858042773609,True,recovery,-0.04903976952036268,0.4838858042773609,True,recovery,-0.04903976952036268
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-04-10,3688,negative_high,2026,0.4767645374052856,1,0.4525740654594063,True,stable_wrong,-0.02589980449093754,0.4525740654594063,True,stable_wrong,-0.02589980449093754
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-04-17,3693,negative_high,2026,0.531225461157195,1,0.49264418119242176,True,recovery,-0.03766035861062364,0.49264418119242176,True,recovery,-0.03766035861062364
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-04-24,3698,nonnegative_high,2026,0.5195964213505722,1,0.4652698782079913,True,recovery,-0.055148704772519375,0.4652698782079913,True,recovery,-0.055148704772519375
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-05-08,3705,nonnegative_high,2026,0.5799035744025858,0,0.5478187978020205,True,stable_wrong,0.03618272037964432,0.5478187978020205,True,stable_wrong,0.03618272037964432
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-05-15,3710,nonnegative_low,2026,0.6233378933536527,1,0.6034610316997535,True,stable_correct,-0.015368810797359633,0.6034610316997535,True,stable_correct,-0.015368810797359633
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-05-22,3715,nonnegative_low,2026,0.46993906111915223,1,0.46869800902449255,True,stable_wrong,-0.0013172066872924049,0.46869800902449255,True,stable_wrong,-0.0013172066872924049
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-05-29,3720,nonnegative_high,2026,0.49037472701220547,0,0.46830450470324064,True,stable_correct,0.021158263766947488,0.46830450470324064,True,stable_correct,0.021158263766947488
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-06-05,3725,nonnegative_high,2026,0.46908222525724136,1,0.4279642344268868,True,stable_wrong,-0.045351233557015036,0.4279642344268868,True,stable_wrong,-0.045351233557015036
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-06-12,3730,nonnegative_high,2026,0.44343612263001103,1,0.3911001238616541,True,stable_wrong,-0.06099570956817685,0.3911001238616541,True,stable_wrong,-0.06099570956817685
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-06-26,3739,nonnegative_high,2026,0.5234427418154629,1,0.5041105831902793,True,stable_correct,-0.01879949337552131,0.5041105831902793,True,stable_correct,-0.01879949337552131
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-07-03,3744,nonnegative_high,2026,0.5098598867733045,0,0.5038865328449936,True,stable_wrong,0.006055466157938061,0.5213130839563369,True,stable_wrong,-0.011810227363579895
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-07-10,3749,nonnegative_high,2026,0.5269573036844054,0,0.5195808604757605,True,stable_wrong,0.007719729333607039,0.5367135773794472,True,stable_wrong,-0.010377464237105227
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-07-17,3754,negative_high,2026,0.49795381132016275,1,0.5034608715693253,True,regression,0.005499269505256699,0.5034608715693253,True,regression,0.005499269505256699
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-07-24,3759,negative_high,2026,0.5305707743449265,0,0.5066012528157487,True,stable_wrong,0.024860517234488733,0.5066012528157487,True,stable_wrong,0.024860517234488733
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-07-31,3764,negative_high,2026,0.38133134363927645,1,0.4138800685574248,True,stable_wrong,0.039214332328934065,0.4138800685574248,True,stable_wrong,0.039214332328934065
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-08-07,3769,negative_high,2026,0.43990015549245953,0,0.45100630203211517,True,stable_correct,-0.009894537670393416,0.45100630203211517,True,stable_correct,-0.009894537670393416
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-08-14,3774,negative_high,2026,0.5283768500412394,0,0.4863994421459692,True,regression,0.042597678339592326,0.4863994421459692,True,regression,0.042597678339592326
annual_head_timeweight2y,learned_vol_interaction,2025-12-31,2026-08-21,3779,negative_high,2026,0.5208175481092935,0,0.5208548441545787,True,stable_wrong,-3.8850260714262674e-05,0.5208548441545787,True,stable_wrong,-3.8850260714262674e-05
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-01-09,3630,nonnegative_low,2026,0.5633948790757454,0,0.5270730519153454,True,stable_wrong,0.039607787713417386,0.5270730519153454,True,stable_wrong,0.039607787713417386
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-01-16,3635,nonnegative_low,2026,0.568667313233829,0,0.5427940701910273,True,stable_wrong,0.028757110506039907,0.5427940701910273,True,stable_wrong,0.028757110506039907
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-01-23,3640,negative_low,2026,0.43460817724898115,0,0.4339957261979868,True,stable_correct,0.0005319773735638911,0.4339957261979868,True,stable_correct,0.0005319773735638911
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-01-30,3645,nonnegative_low,2026,0.4903208695396286,1,0.46128348040168304,True,stable_wrong,-0.030442672461283626,0.46128348040168304,True,stable_wrong,-0.030442672461283626
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-02-06,3650,negative_low,2026,0.564299016303886,1,0.5032108679181002,True,stable_correct,-0.05696409456092588,0.5032108679181002,True,stable_correct,-0.05696409456092588
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-02-13,3655,nonnegative_low,2026,0.5481347938977876,0,0.4513957446141334,True,regression,0.09669363402562217,0.4513957446141334,True,regression,0.09669363402562217
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-02-27,3659,nonnegative_low,2026,0.5816094148339306,0,0.5046193126640455,True,stable_wrong,0.08362886070993347,0.5046193126640455,True,stable_wrong,0.08362886070993347
