cutoff,seed,n,test_n,future_rows_poisoned,uniform_head_replay,frozen_designs_verified,training_interface_causal
2020-12-31,20260910,1212,50,50,True,True,True
2020-12-31,20260911,1212,50,50,True,True,True
2020-12-31,20260912,1212,50,50,True,True,True
2021-12-31,20260910,1211,49,49,True,True,True
2021-12-31,20260911,1211,49,49,True,True,True
2021-12-31,20260912,1211,49,49,True,True,True
2022-12-31,20260910,1209,48,48,True,True,True
2022-12-31,20260911,1209,48,48,True,True,True
2022-12-31,20260912,1209,48,48,True,True,True
2023-12-31,20260910,1208,47,47,True,True,True
2023-12-31,20260911,1208,47,47,True,True,True
2023-12-31,20260912,1208,47,47,True,True,True
2024-12-31,20260910,1206,48,48,True,True,True
2024-12-31,20260911,1206,48,48,True,True,True
2024-12-31,20260912,1206,48,48,True,True,True
2025-12-31,20260910,1206,30,30,True,True,True
2025-12-31,20260911,1206,30,30,True,True,True
2025-12-31,20260912,1206,30,30,True,True,True
