job,method,cutoff,seed,objective,gradient_inf,hessian_min,reduced_objective
learned_market_2020-12-31_20260910,learned_market,2020-12-31,20260910,0.6615587051613984,9.984296724888791e-10,0.010179654168364012,
learned_vol_interaction_2020-12-31_20260910,learned_vol_interaction,2020-12-31,20260910,0.6574580173440161,1.194790794079026e-16,0.010178031718139578,
learned_order_extension_2020-12-31_20260910,learned_order_extension,2020-12-31,20260910,0.657109806168309,1.216474837528736e-16,0.010178154511201312,
learned_order_offset_2020-12-31_20260910,learned_order_offset,2020-12-31,20260910,0.6571228350772718,2.885309179079254e-13,0.25992810455426807,0.6546297590994092
learned_market_2020-12-31_20260911,learned_market,2020-12-31,20260911,0.6360627974515813,1.8071481810988388e-15,0.010135384840708696,
learned_vol_interaction_2020-12-31_20260911,learned_vol_interaction,2020-12-31,20260911,0.6359474857858574,3.633161479998925e-15,0.010135412755289954,
learned_order_extension_2020-12-31_20260911,learned_order_extension,2020-12-31,20260911,0.6348273377646789,2.3763760056971783e-14,0.010133825505444675,
learned_order_offset_2020-12-31_20260911,learned_order_offset,2020-12-31,20260911,0.6348730715651121,3.2526065174565133e-18,0.2180786283139562,0.6304937954405841
learned_market_2020-12-31_20260912,learned_market,2020-12-31,20260912,0.6316194463457152,2.127620996050794e-12,0.010770085011425774,
learned_vol_interaction_2020-12-31_20260912,learned_vol_interaction,2020-12-31,20260912,0.6316129527720029,3.492822567632836e-12,0.010769935966289057,
learned_order_extension_2020-12-31_20260912,learned_order_extension,2020-12-31,20260912,0.6316100011603155,4.5087442893804175e-12,0.010769822765443214,
learned_order_offset_2020-12-31_20260912,learned_order_offset,2020-12-31,20260912,0.6316101275589757,6.319918140250749e-14,0.1952755012433587,0.6293532693910487
learned_market_2021-12-31_20260910,learned_market,2021-12-31,20260910,0.6658331595283674,3.372692017160339e-10,0.010034478872299446,
learned_vol_interaction_2021-12-31_20260910,learned_vol_interaction,2021-12-31,20260910,0.6658325376132852,5.707850702671533e-10,0.01003447891911822,
learned_order_extension_2021-12-31_20260910,learned_order_extension,2021-12-31,20260910,0.6650971538476979,6.877584129646747e-10,0.010034459381404556,
learned_order_offset_2021-12-31_20260910,learned_order_offset,2021-12-31,20260910,0.665127198293309,2.2768245622195593e-18,0.2785395379825892,0.663586075116578
learned_market_2021-12-31_20260911,learned_market,2021-12-31,20260911,0.6507692957796438,2.1174468428641902e-16,0.010060469711344427,
learned_vol_interaction_2021-12-31_20260911,learned_vol_interaction,2021-12-31,20260911,0.6507193592676115,2.0816681711721685e-16,0.010060475706506292,
learned_order_extension_2021-12-31_20260911,learned_order_extension,2021-12-31,20260911,0.6487494288460299,2.226734421850729e-14,0.010060452910287156,
learned_order_offset_2021-12-31_20260911,learned_order_offset,2021-12-31,20260911,0.648818821542268,6.8512903683704e-15,0.23328996101706287,0.6462609758217112
learned_market_2021-12-31_20260912,learned_market,2021-12-31,20260912,0.6692878669239709,1.0418860110598949e-10,0.010266850493026055,
learned_vol_interaction_2021-12-31_20260912,learned_vol_interaction,2021-12-31,20260912,0.669271346203453,1.0459322448939934e-10,0.010266728487053753,
learned_order_extension_2021-12-31_20260912,learned_order_extension,2021-12-31,20260912,0.6686580817331411,1.6332519538198031e-10,0.01026546707080488,
learned_order_offset_2021-12-31_20260912,learned_order_offset,2021-12-31,20260912,0.6686909401959239,3.2526065174565133e-19,0.25450890879637506,0.6672495476563592
learned_market_2022-12-31_20260910,learned_market,2022-12-31,20260910,0.6553531681088213,5.377642775528102e-17,0.010140884469380954,
learned_vol_interaction_2022-12-31_20260910,learned_vol_interaction,2022-12-31,20260910,0.6545107898332423,5.876375774871434e-17,0.010140467082461366,
learned_order_extension_2022-12-31_20260910,learned_order_extension,2022-12-31,20260910,0.6541674281022971,4.1947782053464167e-16,0.01014053873361442,
learned_order_offset_2022-12-31_20260910,learned_order_offset,2022-12-31,20260910,0.6541834564988261,2.8297676701871666e-16,0.24905120123785798,0.6517189582567785
learned_market_2022-12-31_20260911,learned_market,2022-12-31,20260911,0.6628702689671834,9.71359062032929e-10,0.010077035519836013,
learned_vol_interaction_2022-12-31_20260911,learned_vol_interaction,2022-12-31,20260911,0.6621239402107907,1.0412569244333536e-14,0.010076866332606347,
learned_order_extension_2022-12-31_20260911,learned_order_extension,2022-12-31,20260911,0.6620306420396561,9.708271513086952e-15,0.010076753628390429,
learned_order_offset_2022-12-31_20260911,learned_order_offset,2022-12-31,20260911,0.6620354468150284,4.87890977618477e-19,0.2754411066805965,0.6585385960232295
learned_market_2022-12-31_20260912,learned_market,2022-12-31,20260912,0.6333309690099447,1.1528104859603872e-14,0.011142559540115466,
learned_vol_interaction_2022-12-31_20260912,learned_vol_interaction,2022-12-31,20260912,0.6324424039338912,1.0310101297011931e-13,0.011140499319031246,
learned_order_extension_2022-12-31_20260912,learned_order_extension,2022-12-31,20260912,0.627565190801118,1.9809780421944923e-10,0.01112773146407891,
learned_order_offset_2022-12-31_20260912,learned_order_offset,2022-12-31,20260912,0.6276907978825848,3.469446951953614e-18,0.1983144743257014,0.6211371587251748
learned_market_2023-12-31_20260910,learned_market,2023-12-31,20260910,0.6439278085218682,4.744468706796567e-16,0.010273247050284949,
learned_vol_interaction_2023-12-31_20260910,learned_vol_interaction,2023-12-31,20260910,0.640432844135327,2.836533091743476e-14,0.010271180210699995,
learned_order_extension_2023-12-31_20260910,learned_order_extension,2023-12-31,20260910,0.6397574594531215,6.151860704878276e-14,0.010269211175064113,
learned_order_offset_2023-12-31_20260910,learned_order_offset,2023-12-31,20260910,0.6397716698696057,1.6046192152785466e-16,0.21650792702253008,0.6344152109440754
learned_market_2023-12-31_20260911,learned_market,2023-12-31,20260911,0.6592188884405514,5.784917484006735e-10,0.010114533683308004,
learned_vol_interaction_2023-12-31_20260911,learned_vol_interaction,2023-12-31,20260911,0.6592188877651274,5.829934488995898e-10,0.010114520935443587,
learned_order_extension_2023-12-31_20260911,learned_order_extension,2023-12-31,20260911,0.6560671487106924,6.195131213582172e-16,0.01011300787671976,
learned_order_offset_2023-12-31_20260911,learned_order_offset,2023-12-31,20260911,0.6561283337296786,6.618989210893655e-14,0.23821388791370934,0.652683076145299
learned_market_2023-12-31_20260912,learned_market,2023-12-31,20260912,0.6640236435696362,4.542031906834554e-10,0.010397525777873005,
learned_vol_interaction_2023-12-31_20260912,learned_vol_interaction,2023-12-31,20260912,0.6628551052204553,4.729660394884802e-10,0.010397503666027083,
learned_order_extension_2023-12-31_20260912,learned_order_extension,2023-12-31,20260912,0.6546349707877284,9.714277993122522e-14,0.010387234318103643,
learned_order_offset_2023-12-31_20260912,learned_order_offset,2023-12-31,20260912,0.6548365083080542,1.3010426069826053e-18,0.23100054547872056,0.6498987306796183
learned_market_2024-12-31_20260910,learned_market,2024-12-31,20260910,0.6445500369762835,1.5183167223487004e-15,0.010188149918106864,
learned_vol_interaction_2024-12-31_20260910,learned_vol_interaction,2024-12-31,20260910,0.6387896126377136,4.2686774254230286e-14,0.010184295664106731,
learned_order_extension_2024-12-31_20260910,learned_order_extension,2024-12-31,20260910,0.6375274060188518,4.268200376467135e-14,0.010184387653004867,
learned_order_offset_2024-12-31_20260910,learned_order_offset,2024-12-31,20260910,0.6375863480936566,2.8189256484623115e-18,0.22253924203860811,0.6327695422784078
learned_market_2024-12-31_20260911,learned_market,2024-12-31,20260911,0.6527799256568397,3.187554387107383e-17,0.010370994158237268,
learned_vol_interaction_2024-12-31_20260911,learned_vol_interaction,2024-12-31,20260911,0.6517393747481028,4.618701254788249e-17,0.010369459801485369,
learned_order_extension_2024-12-31_20260911,learned_order_extension,2024-12-31,20260911,0.6512466334791933,1.3487475025719675e-16,0.010368432534215637,
