period,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,147,0.4897959183673469,0.5102040816326531,72,0.5173624288425047,0.673469387755102,0.4217687074829932,43,29,56,19,0.5294117647058824,0.2547862073245018,0.7027741374283488,0.5282379656220236,0.03521015123886334,0.10646925813903041,0
recent_2024_2026,125,0.456,0.544,57,0.470467385721623,0.24,0.528,14,43,16,52,0.42501284026707753,0.25492231903979456,0.7030214759297944,0.47183722608864415,0.021894687415561442,-0.05616277391135588,0
pooled_2021_2026,272,0.4742647058823529,0.5257352941176471,129,0.47265625,0.4742647058823529,0.47058823529411764,57,72,72,71,0.4451497395833333,0.2548487586642503,0.7028878040190867,0.5023185081158749,0.040992376059886565,0.03173027282175722,0
year_2021,50,0.46,0.54,23,0.5,1.0,0.46,23,0,27,0,0.5,0.2593366820465894,0.7119489334617808,0.5645785926783744,0.0,0.10457859267837438,0
year_2022,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.5,0.25850502102701034,0.7101935190274641,0.5383132052455785,0.0,0.130149939939456,0
year_2023,48,0.6041666666666666,0.3958333333333333,29,0.5,0.0,0.3958333333333333,0,29,0,19,0.5,0.24624984050101642,0.6856431061777603,0.4800980053226129,0.0,0.08426467198927956,0
year_2024,47,0.5319148936170213,0.46808510638297873,25,0.5,0.0,0.46808510638297873,0,25,0,22,0.5,0.2489921943849183,0.6911302843573061,0.4648056522357041,5.551115123125783e-17,-0.003279454147274652,0
year_2025,48,0.375,0.625,18,0.5,0.0,0.625,0,18,0,30,0.5,0.2633247281753823,0.7198749903284073,0.4548538035236101,0.0,-0.1701461964763899,0
year_2026,30,0.4666666666666667,0.5333333333333333,14,0.5,1.0,0.4666666666666667,14,0,16,0,0.5,0.2507689930488267,0.6946853863555787,0.510026834562304,1.1102230246251565e-16,0.04336016789563735,0
