cutoff,encoder_cutoff,target_role,state,annual_n,target_n,annual_up_n,target_up_n,annual_share,target_share,share_delta,annual_up_rate,target_up_rate,up_rate_delta,supported,market5_outside_any_delta,market5_outside_fraction_delta,market5_mean_squared_raw_z_delta,decoded25_outside_any_delta,decoded25_outside_fraction_delta,decoded25_mean_squared_raw_z_delta,outside_trend60_delta,outside_volatility20_delta,outside_range20_delta,outside_volume_change20_delta,outside_order60_delta
2020-12-31,2020-12-31,added,negative_low,102,0,66,0,0.08415841584158416,,,0.6470588235294118,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,added,negative_high,353,0,199,0,0.29125412541254125,,,0.5637393767705382,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,added,nonnegative_low,504,0,276,0,0.4158415841584158,,,0.5476190476190477,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,added,nonnegative_high,253,0,135,0,0.20874587458745875,,,0.5335968379446641,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,removed,negative_low,102,0,66,0,0.08415841584158416,,,0.6470588235294118,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,removed,negative_high,353,0,199,0,0.29125412541254125,,,0.5637393767705382,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,removed,nonnegative_low,504,0,276,0,0.4158415841584158,,,0.5476190476190477,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,removed,nonnegative_high,253,0,135,0,0.20874587458745875,,,0.5335968379446641,,,False,,,,,,,,,,,
2020-12-31,2020-12-31,both,negative_low,102,102,66,66,0.08415841584158416,0.08415841584158416,0.0,0.6470588235294118,0.6470588235294118,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12-31,both,negative_high,353,353,199,199,0.29125412541254125,0.29125412541254125,0.0,0.5637393767705382,0.5637393767705382,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12-31,both,nonnegative_low,504,504,276,276,0.4158415841584158,0.4158415841584158,0.0,0.5476190476190477,0.5476190476190477,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12-31,both,nonnegative_high,253,253,135,135,0.20874587458745875,0.20874587458745875,0.0,0.5335968379446641,0.5335968379446641,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2020-12-31,added,negative_low,102,0,66,0,0.08415841584158416,0.0,-0.08415841584158416,0.6470588235294118,,,False,,,,,,,,,,,
2021-03-31,2020-12-31,added,negative_high,353,4,199,4,0.29125412541254125,0.06896551724137931,-0.22228860817116194,0.5637393767705382,1.0,0.4362606232294618,False,-0.11048158640226628,-0.029461756373937678,-0.15639161443244531,-0.038007554296506096,-0.001907459867799808,-0.044495431062946844,-0.036827195467422094,-0.036827195467422094,-0.036827195467422094,-0.0084985835694051,-0.028328611898016998
2021-03-31,2020-12-31,added,nonnegative_low,504,12,276,10,0.4158415841584158,0.20689655172413793,-0.2089450324342779,0.5476190476190477,0.8333333333333334,0.2857142857142857,False,-0.08134920634920635,-0.021031746031746033,-0.11452720301226127,0.22552910052910044,0.02285714285714285,0.09639226007279011,-0.017857142857142856,-0.025793650793650792,-0.025793650793650792,-0.013888888888888888,-0.021825396825396824
2021-03-31,2020-12-31,added,nonnegative_high,253,42,135,13,0.20874587458745875,0.7241379310344828,0.515392056447024,0.5335968379446641,0.30952380952380953,-0.22407302842085453,True,-0.07905138339920949,-0.016600790513833997,-0.2090983426077727,-0.02271158792897926,-0.00562268649225171,-0.1389889450068682,-0.015810276679841896,0.0,0.0,-0.05928853754940711,-0.007905138339920948
2021-03-31,2020-12-31,removed,negative_low,102,0,66,0,0.08415841584158416,0.0,-0.08415841584158416,0.6470588235294118,,,False,,,,,,,,,,,
2021-03-31,2020-12-31,removed,negative_high,353,56,199,32,0.29125412541254125,0.9491525423728814,0.6578984169603401,0.5637393767705382,0.5714285714285714,0.007689194658033194,True,0.33594698502630516,0.10625252934034803,2.76303070177236,0.07508768379873204,0.004283016322676383,0.10756894560925834,-0.018970052610279238,0.19531566167543507,0.19531566167543507,0.009358559287737756,0.15024281667341158
2021-03-31,2020-12-31,removed,nonnegative_low,504,0,276,0,0.4158415841584158,0.0,-0.4158415841584158,0.5476190476190477,,,False,,,,,,,,,,,
2021-03-31,2020-12-31,removed,nonnegative_high,253,3,135,0,0.20874587458745875,0.05084745762711865,-0.1578984169603401,0.5335968379446641,0.0,-0.5335968379446641,False,-0.07905138339920949,-0.016600790513833997,-0.02054064819546908,0.1677646025472112,0.012472551602986385,0.07268573985211513,-0.015810276679841896,0.0,0.0,-0.05928853754940711,-0.007905138339920948
2021-03-31,2020-12-31,both,negative_low,102,102,66,66,0.08415841584158416,0.08422791081750619,6.949497592202702e-05,0.6470588235294118,0.6470588235294118,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2020-12-31,both,negative_high,353,301,199,171,0.29125412541254125,0.24855491329479767,-0.04269921211774358,0.5637393767705382,0.5681063122923588,0.0043669355218205475,True,-0.06396995849528954,-0.02015943079254233,-0.5161305174650562,-0.014474885415000027,-0.0008221885499703485,-0.020604128499569052,0.0030399141671293983,-0.036827195467422094,-0.036827195467422094,-0.0018540652969798507,-0.028328611898016998
2021-03-31,2020-12-31,both,nonnegative_low,504,516,276,286,0.4158415841584158,0.42609413707679605,0.010252552918380231,0.5476190476190477,0.5542635658914729,0.006644518272425182,True,-0.001891842008121078,-0.0004891103728313015,-0.002663423325866554,0.00524486280300232,0.0005315614617940161,0.0022416804668089485,-0.0004152823920265773,-0.0005998523440383895,-0.0005998523440383895,-0.00032299741602067125,-0.0005075673680324834
2021-03-31,2020-12-31,both,nonnegative_high,253,292,135,148,0.20874587458745875,0.24112303881090008,0.032377164223441335,0.5335968379446641,0.5068493150684932,-0.02674752287617088,True,-0.010558232714277985,-0.0022172288699983805,-0.029864754948424777,-0.00499034418033828,-0.0009368852311079819,-0.020738331883030425,-0.0021116465428555956,0.0,0.0,-0.007918674535708485,-0.0010558232714277978
2021-06-30,2020-12-31,added,negative_low,102,11,66,7,0.08415841584158416,0.09322033898305085,0.009061923141466685,0.6470588235294118,0.6363636363636364,-0.010695187165775444,False,-0.00980392156862745,-0.00196078431372549,-0.1447186114513191,0.08437314319667266,-0.006749851455733806,-0.04675797728203657,0.0,0.0,0.0,-0.00980392156862745,0.0
2021-06-30,2020-12-31,added,negative_high,353,37,199,23,0.29125412541254125,0.3135593220338983,0.02230519662135705,0.5637393767705382,0.6216216216216216,0.0578822448510834,True,-0.11048158640226628,-0.029461756373937678,-0.7450143562672007,0.009289743000791162,-0.004970522930862871,-0.13427276675946898,-0.036827195467422094,-0.036827195467422094,-0.036827195467422094,-0.0084985835694051,-0.028328611898016998
2021-06-30,2020-12-31,added,nonnegative_low,504,17,276,13,0.4158415841584158,0.1440677966101695,-0.2717737875482463,0.5476190476190477,0.7647058823529411,0.21708683473389345,False,-0.08134920634920635,-0.021031746031746033,-0.25847349046702806,0.12585589791472143,0.013576097105508871,0.07981521469788799,-0.017857142857142856,-0.025793650793650792,-0.025793650793650792,-0.013888888888888888,-0.021825396825396824
2021-06-30,2020-12-31,added,nonnegative_high,253,53,135,16,0.20874587458745875,0.4491525423728814,0.24040666778542263,0.5335968379446641,0.3018867924528302,-0.23171004549183388,True,-0.07905138339920949,-0.016600790513833997,-0.2982911049274346,-0.006239590324906175,-0.005221368732443388,-0.11993023170385553,-0.015810276679841896,0.0,0.0,-0.05928853754940711,-0.007905138339920948
2021-06-30,2020-12-31,removed,negative_low,102,4,66,2,0.08415841584158416,0.03333333333333333,-0.05082508250825083,0.6470588235294118,0.5,-0.1470588235294118,False,0.24019607843137256,0.04803921568627451,0.05271000910798529,0.1601307189542484,0.047189542483660134,0.3268241505260152,0.0,0.0,0.0,0.24019607843137256,0.0
2021-06-30,2020-12-31,removed,negative_high,353,77,199,50,0.29125412541254125,0.6416666666666667,0.35041254125412546,0.5637393767705382,0.6493506493506493,0.08561127258011114,True,0.21419373827305838,0.06923954232736101,1.8016318736529635,0.0756288093398576,0.007183449223109286,0.1217372172961968,-0.023840182480409106,0.13200397336374675,0.13200397336374675,0.004488429417607888,0.10154151797211286
2021-06-30,2020-12-31,removed,nonnegative_low,504,16,276,7,0.4158415841584158,0.13333333333333333,-0.28250825082508246,0.5476190476190477,0.4375,-0.11011904761904767,False,-0.08134920634920635,-0.021031746031746033,-0.45057145067036103,0.2741402116402115,0.0173015873015873,0.3522111245106433,-0.017857142857142856,-0.025793650793650792,-0.025793650793650792,-0.013888888888888888,-0.021825396825396824
2021-06-30,2020-12-31,removed,nonnegative_high,253,23,135,6,0.20874587458745875,0.19166666666666668,-0.017079207920792067,0.5335968379446641,0.2608695652173913,-0.27272727272727276,True,0.007905138339920945,0.0007905138339920903,-0.5342396476029093,0.08563899868247693,0.009380764163372853,0.145154333421596,-0.015810276679841896,0.0,0.0,0.02766798418972332,-0.007905138339920948
2021-06-30,2020-12-31,both,negative_low,102,109,66,71,0.08415841584158416,0.09008264462809917,0.0059242287865150095,0.6470588235294118,0.6513761467889908,0.004317323259579009,True,-0.00980392156862745,-0.00196078431372549,-0.016538942774279475,0.0026383642141873387,-0.0024129039995202974,-0.016712241763361835,0.0,0.0,0.0,-0.00980392156862745,0.0
2021-06-30,2020-12-31,both,negative_high,353,313,199,172,0.29125412541254125,0.25867768595041324,-0.032576439462128015,0.5637393767705382,0.549520766773163,-0.014218609997375231,True,-0.06575315189747395,-0.02051606947297921,-0.5312817426618678,-0.01750702181514291,-0.002354744212847735,-0.045820632913442516,0.0015114626795427605,-0.036827195467422094,-0.036827195467422094,-0.002108807211577624,-0.028328611898016998
2021-06-30,2020-12-31,both,nonnegative_low,504,505,276,282,0.4158415841584158,0.41735537190082644,0.0015137877424106216,0.5476190476190477,0.5584158415841585,0.010796793965110796,True,-0.0001610875373251608,-4.164702184504196e-05,0.005574443312447941,-0.004448897270679514,-9.115197234009151e-05,-0.008472315529319263,-3.536067892503589e-05,-5.107653622505107e-05,-5.107653622505107e-05,-2.7502750275026563e-05,-4.321860757504348e-05
2021-06-30,2020-12-31,both,nonnegative_high,253,283,135,145,0.20874587458745875,0.23388429752066114,0.025138422933202398,0.5335968379446641,0.5123674911660777,-0.021229346778586344,True,-0.015447143116523981,-0.003173228676378167,-0.012444935216562314,-0.008128605148116586,-0.001740247768823585,-0.03425742738162929,-0.001676001061467338,0.0,0.0,-0.013352141789689798,-0.000838000530733669
2021-09-30,2020-12-31,added,negative_low,102,13,66,9,0.08415841584158416,0.07142857142857142,-0.01272984441301274,0.6470588235294118,0.6923076923076923,0.04524886877828049,False,-0.00980392156862745,-0.00196078431372549,-0.1702964425394201,0.019105077928607384,-0.00973353443941679,-0.08255296925670308,0.0,0.0,0.0,-0.00980392156862745,0.0
2021-09-30,2020-12-31,added,negative_high,353,79,199,45,0.29125412541254125,0.4340659340659341,0.14281180865339282,0.5637393767705382,0.569620253164557,0.005880876394018797,True,-0.11048158640226628,-0.029461756373937678,-0.7230882953051392,0.06220341616762898,0.005265535912790914,0.08623944137866557,-0.036827195467422094,-0.036827195467422094,-0.036827195467422094,-0.0084985835694051,-0.028328611898016998
