encoder_cutoff,annual_n,excluded_descriptors_poisoned,thresholds_unchanged
2020-12-31,1212,2568,True
2021-12-31,1211,2569,True
2022-12-31,1209,2571,True
2023-12-31,1208,2572,True
2024-12-31,1206,2574,True
2025-12-31,1206,2574,True
