cutoff,encoder_cutoff,role,state,n,role_n,up_n,up_rate,share,supported,mean_market5_outside_any,mean_market5_outside_fraction,mean_market5_mean_squared_raw_z,mean_decoded25_outside_any,mean_decoded25_outside_fraction,mean_decoded25_mean_squared_raw_z,mean_outside_trend60,mean_outside_volatility20,mean_outside_range20,mean_outside_volume_change20,mean_outside_order60,mean_trend60,mean_volatility20,mean_range20,mean_volume_change20,mean_order60
2021-09-30,2020-12-31,annual,negative_low,102,1212,66,0.6470588235294118,0.08415841584158416,True,0.00980392156862745,0.00196078431372549,0.6271005270627921,0.33986928104575154,0.0261437908496732,1.1363817305037645,0.0,0.0,0.0,0.00980392156862745,0.0,-0.3379396591309766,0.0072108384675195,0.01041764877110361,-0.07368899732162155,-0.029622244377977187
2021-09-30,2020-12-31,annual,negative_high,353,1212,199,0.5637393767705382,0.29125412541254125,True,0.11048158640226628,0.029461756373937678,1.3582481572912195,0.2880075542965061,0.02190745986779981,1.0618051515416602,0.036827195467422094,0.036827195467422094,0.036827195467422094,0.0084985835694051,0.028328611898016998,-0.691204814928565,0.015492051345127529,0.01841690745901095,-0.06200404258250762,-0.04902610393559642
2021-09-30,2020-12-31,annual,nonnegative_low,504,1212,276,0.5476190476190477,0.4158415841584158,True,0.08134920634920635,0.021031746031746033,0.7805918616226097,0.24669312169312171,0.019365079365079366,0.9768695272099891,0.017857142857142856,0.025793650793650792,0.025793650793650792,0.013888888888888888,0.021825396825396824,0.8395772684586006,0.006994279156288254,0.010089530656912229,0.05478437338787034,0.022986727647744596
2021-09-30,2020-12-31,annual,nonnegative_high,253,1212,135,0.5335968379446641,0.20874587458745875,True,0.07905138339920949,0.016600790513833997,1.0875725235494027,0.2766798418972332,0.02308300395256917,0.9641098282902537,0.015810276679841896,0.0,0.0,0.05928853754940711,0.007905138339920948,0.9609009847806069,0.014488236209639268,0.01696805241572548,0.013165584607050558,-0.00016524865456332046
2021-09-30,2020-12-31,added,negative_low,13,182,9,0.6923076923076923,0.07142857142857142,False,0.0,0.0,0.45680408452337196,0.3589743589743589,0.01641025641025641,1.0538287612470614,0.0,0.0,0.0,0.0,0.0,-0.5099183930664012,0.00950608916875833,0.014025029296098446,0.006739438375299154,-0.1156019122120817
2021-09-30,2020-12-31,added,negative_high,79,182,45,0.569620253164557,0.4340659340659341,True,0.0,0.0,0.6351598619860803,0.3502109704641351,0.027172995780590722,1.1480445929203258,0.0,0.0,0.0,0.0,0.0,-0.5535123446409611,0.012678694326562451,0.01656752702023141,0.046460553769555164,-0.09236930558535363
2021-09-30,2020-12-31,added,nonnegative_low,25,182,16,0.64,0.13736263736263737,True,0.0,0.0,0.45824101535950235,0.4,0.03679999999999999,1.1197675173953714,0.0,0.0,0.0,0.0,0.0,0.9299562097750403,0.00870047810131181,0.013315386334845622,0.00533268011784088,-0.021197740112994346
2021-09-30,2020-12-31,added,nonnegative_high,65,182,18,0.27692307692307694,0.35714285714285715,True,0.0,0.0,0.7309820371944268,0.30769230769230776,0.025230769230769234,0.9365057215552179,0.0,0.0,0.0,0.0,0.0,0.8438433316635584,0.013564896086141885,0.01817471925860396,0.07754709532080842,-0.056479791395045637
2021-09-30,2020-12-31,removed,negative_low,9,184,6,0.6666666666666666,0.04891304347826087,False,0.1111111111111111,0.022222222222222223,0.6194861985320953,0.3333333333333333,0.04296296296296296,1.2513932859954309,0.0,0.0,0.0,0.1111111111111111,0.0,-0.1617836163949966,0.008695082803778882,0.012702967387697446,-0.16298473788760623,-0.045951035781544254
2021-09-30,2020-12-31,removed,negative_high,81,184,54,0.6666666666666666,0.44021739130434784,True,0.30864197530864196,0.09382716049382715,3.019800294609898,0.38271604938271603,0.03242798353909465,1.233037467626907,0.012345679012345678,0.16049382716049382,0.16049382716049382,0.012345679012345678,0.12345679012345678,-0.7443565486559046,0.01977033370561223,0.022968194990638964,0.033531065058794524,-0.1898165585547883
2021-09-30,2020-12-31,removed,nonnegative_low,65,184,30,0.46153846153846156,0.3532608695652174,True,0.06153846153846154,0.015384615384615385,0.6880372084791407,0.38461538461538464,0.04205128205128204,1.2528930690399578,0.0,0.0,0.0,0.015384615384615385,0.06153846153846154,0.5886023242322032,0.007872996087753804,0.011171412966688807,-0.19808933173925714,0.06159061277705346
2021-09-30,2020-12-31,removed,nonnegative_high,29,184,7,0.2413793103448276,0.15760869565217392,True,0.06896551724137931,0.013793103448275864,0.6131046521680984,0.3678160919540231,0.038620689655172416,1.161571653261131,0.0,0.0,0.0,0.06896551724137931,0.0,0.38588155204379365,0.011675694121647665,0.014645191888246008,-0.06441323395800644,-0.05618546658873952
2021-09-30,2020-12-31,retained,negative_low,93,1028,60,0.6451612903225806,0.09046692607003891,True,0.0,0.0,0.6278373975657627,0.34050179211469533,0.02451612903225807,1.1252515799723128,0.0,0.0,0.0,0.0,0.0,-0.3549870181054263,0.007067201918849237,0.010196488904981628,-0.0650474740410424,-0.028042038758277144
2021-09-30,2020-12-31,retained,negative_high,272,1028,145,0.5330882352941176,0.26459143968871596,True,0.051470588235294115,0.010294117647058825,0.8634477046338188,0.2598039215686274,0.01877450980392157,1.0108131750603917,0.04411764705882353,0.0,0.0,0.007352941176470588,0.0,-0.6753765412818205,0.014218004024542015,0.017061560804371725,-0.09045383566686598,-0.007099534729145896
2021-09-30,2020-12-31,retained,nonnegative_low,439,1028,246,0.5603644646924829,0.4270428015564202,True,0.08428246013667426,0.021867881548974948,0.7942958535459023,0.22627182991647682,0.016006074411541383,0.9360004378729776,0.02050113895216401,0.029612756264236904,0.029612756264236904,0.01366742596810934,0.015945330296127564,0.8767375677176344,0.006864173004704517,0.009929343071182211,0.09222581036569105,0.017270890441810485
2021-09-30,2020-12-31,retained,nonnegative_high,224,1028,128,0.5714285714285714,0.2178988326848249,True,0.08035714285714286,0.016964285714285713,1.1489991676121607,0.2648809523809524,0.02107142857142857,0.9385455741645597,0.017857142857142856,0.0,0.0,0.05803571428571429,0.008928571428571428,1.0353454649117124,0.014852359962102466,0.017268779894729518,0.02320927093913383,0.0070873688458434215
2021-09-30,2020-12-31,both,negative_low,106,1210,69,0.6509433962264151,0.08760330578512397,True,0.0,0.0,0.6068616138907525,0.34276729559748426,0.02352201257861635,1.1164921776758199,0.0,0.0,0.0,0.0,0.0,-0.3739880357893194,0.007366310732517333,0.010666026877477088,-0.05624341874469862,-0.03878051380449846
2021-09-30,2020-12-31,both,negative_high,351,1210,190,0.5413105413105413,0.2900826446280992,True,0.039886039886039885,0.007977207977207978,0.8120666802202253,0.2801519468186135,0.020664767331434,1.0417000183963883,0.03418803418803419,0.0,0.0,0.005698005698005698,0.0,-0.6479484172515415,0.013871549705053738,0.01695036801534869,-0.05963834630653188,-0.026291306517295214
2021-09-30,2020-12-31,both,nonnegative_low,464,1210,262,0.5646551724137931,0.3834710743801653,True,0.07974137931034483,0.020689655172413796,0.7761894506263765,0.23563218390804597,0.017126436781609196,0.9459016813817273,0.01939655172413793,0.028017241379310345,0.028017241379310345,0.01293103448275862,0.015086206896551725,0.8796049514491757,0.0069631118568924105,0.010111780747026145,0.08754406843423358,0.015198227157607639
2021-09-30,2020-12-31,both,nonnegative_high,289,1210,146,0.5051903114186851,0.23884297520661157,True,0.06228373702422145,0.013148788927335642,1.0549814739195909,0.2745098039215686,0.022006920415224916,0.9380867837852959,0.01384083044982699,0.0,0.0,0.04498269896193772,0.006920415224913495,0.9922740508593593,0.014562791962318944,0.017472537883144186,0.035430580921171365,-0.007209743319062424
2022-09-30,2021-12-31,annual,negative_low,161,1211,104,0.6459627329192547,0.1329479768786127,True,0.037267080745341616,0.007453416149068323,0.7337142865325106,0.24016563146997932,0.02600414078674948,1.069473983161544,0.0,0.0,0.0,0.0,0.037267080745341616,-0.40045886472719217,0.007873632276224547,0.011454906444098835,-0.08837383719378525,-0.059255360213355805
2022-09-30,2021-12-31,annual,negative_high,329,1211,175,0.5319148936170213,0.27167630057803466,True,0.0851063829787234,0.017629179331306994,0.9913659175696864,0.18743667679837892,0.01564336372847011,0.9884603421618892,0.03951367781155015,0.0121580547112462,0.02127659574468085,0.015197568389057751,0.0,-0.6535333272474712,0.014135233162296356,0.01717874869342796,-0.06676705874629739,-0.02748956777085158
2022-09-30,2021-12-31,annual,nonnegative_low,445,1211,244,0.5483146067415731,0.3674649050371594,True,0.09213483146067415,0.02426966292134831,0.9067140095874672,0.17602996254681647,0.021423220973782773,0.9727591296706725,0.020224719101123594,0.029213483146067417,0.029213483146067417,0.0044943820224719105,0.038202247191011236,0.8604766649588764,0.007074725206674771,0.010317130431073294,0.07351908695771064,0.007234177616961853
2022-09-30,2021-12-31,annual,nonnegative_high,276,1211,138,0.5,0.22791081750619324,True,0.12681159420289856,0.029710144927536236,1.316032169280494,0.22342995169082125,0.025845410628019323,1.0574163499980178,0.014492753623188406,0.03260869565217391,0.021739130434782608,0.06884057971014493,0.010869565217391304,1.0155511958270105,0.014782326588326893,0.017673658089845036,0.041339468940223334,-0.009563579792024894
2022-09-30,2021-12-31,added,negative_low,38,182,7,0.18421052631578946,0.2087912087912088,True,0.47368421052631576,0.11578947368421055,1.6269159148620378,0.21929824561403505,0.024210526315789474,1.0601144513246568,0.10526315789473684,0.0,0.0,0.0,0.47368421052631576,-0.6539819328765575,0.008636648965721012,0.012065897176897307,-0.051316807852420106,-0.20871245911388642
2022-09-30,2021-12-31,added,negative_high,85,182,38,0.4470588235294118,0.46703296703296704,True,0.21176470588235294,0.042352941176470586,1.3920577989975458,0.30196078431372547,0.03670588235294118,1.2413445461801604,0.2,0.0,0.0,0.0,0.011764705882352941,-1.1382056414059079,0.014924870751613367,0.018049696296508908,-0.011821652839744576,-0.08555666334330342
2022-09-30,2021-12-31,added,nonnegative_low,33,182,13,0.3939393939393939,0.1813186813186813,True,0.6060606060606061,0.1272727272727273,1.489953844550996,0.1616161616161616,0.017777777777777774,0.8611380423948358,0.0,0.0,0.0,0.030303030303030304,0.6060606060606061,0.5086810632145005,0.00905549788636749,0.01374253613024563,-0.13535825305235638,-0.23174114021571646
2022-09-30,2021-12-31,added,nonnegative_high,26,182,6,0.23076923076923078,0.14285714285714285,True,0.11538461538461539,0.02307692307692308,0.72794574456166,0.11538461538461539,0.008205128205128205,0.7709206586968905,0.0,0.0,0.0,0.0,0.11538461538461539,0.3773930510186073,0.010539524396159305,0.016817069036909358,-0.031452786906562426,-0.13263798348544112
2022-09-30,2021-12-31,removed,negative_low,33,184,25,0.7575757575757576,0.1793478260869565,True,0.0,0.0,1.067277175014183,0.09090909090909091,0.007676767676767676,0.6943065427422894,0.0,0.0,0.0,0.0,0.0,-0.2960637988118969,0.0048877384042087125,0.008385010949202723,-0.05653094626128534,-0.009690121554528336
