cutoff,encoder_cutoff,target_role,annual_n,target_n,annual_up_rate,target_up_rate,supported_states,status,overall_delta,composition,within_state
2020-12-31,2020-12-31,added,1212,0,0.5577557755775577,,0,empty_target,,,
2020-12-31,2020-12-31,removed,1212,0,0.5577557755775577,,0,empty_target,,,
2020-12-31,2020-12-31,both,1212,1212,0.5577557755775577,0.5577557755775577,4,defined,0.0,0.0,0.0
2021-03-31,2020-12-31,added,1212,58,0.5577557755775577,0.46551724137931033,1,defined,-0.0922385341982474,-0.019178995022616108,-0.0730595391756313
2021-03-31,2020-12-31,removed,1212,59,0.5577557755775577,0.5423728813559322,1,defined,-0.015382894221625532,0.004450929727258038,-0.019833823948883618
2021-03-31,2020-12-31,both,1212,1211,0.5577557755775577,0.5540875309661437,4,defined,-0.0036682446114140177,-0.001135414174417794,-0.0025328304369963
2021-06-30,2020-12-31,added,1212,118,0.5577557755775577,0.5,2,defined,-0.05775577557755773,-0.0021103499849776663,-0.05564542559258011
2021-06-30,2020-12-31,removed,1212,120,0.5577557755775577,0.5416666666666666,2,defined,-0.016089108910891103,0.0008342189231183034,-0.016923327834009384
2021-06-30,2020-12-31,both,1212,1210,0.5577557755775577,0.5537190082644629,4,defined,-0.00403676731309488,-0.00028853518099301693,-0.0037482321321019156
2021-09-30,2020-12-31,added,1212,182,0.5577557755775577,0.4835164835164835,3,defined,-0.07423929206107421,-0.0010445331180290313,-0.07319475894304518
2021-09-30,2020-12-31,removed,1212,184,0.5577557755775577,0.5271739130434783,3,defined,-0.030581862534079463,-0.0003863988068422315,-0.030195463727237276
2021-09-30,2020-12-31,both,1212,1210,0.5577557755775577,0.5512396694214876,4,defined,-0.006516106156070123,-9.835342729113544e-05,-0.006417752728778984
2021-12-31,2021-12-31,added,1211,0,0.5458298926507019,,0,empty_target,,,
2021-12-31,2021-12-31,removed,1211,0,0.5458298926507019,,0,empty_target,,,
2021-12-31,2021-12-31,both,1211,1211,0.5458298926507019,0.5458298926507019,4,defined,0.0,0.0,0.0
2022-03-31,2021-12-31,added,1211,58,0.5458298926507019,0.2413793103448276,1,defined,-0.3044505823058743,0.02514202209545288,-0.3295926044013272
2022-03-31,2021-12-31,removed,1211,59,0.5458298926507019,0.6440677966101694,2,defined,0.09823790395946752,0.03558577381211914,0.06265213014734847
2022-03-31,2021-12-31,both,1211,1210,0.5458298926507019,0.5264462809917355,4,defined,-0.019383611658966404,-0.0005300193168419516,-0.01885359234212443
2022-06-30,2021-12-31,added,1211,117,0.5458298926507019,0.4188034188034188,2,defined,-0.1270264738472831,0.004924876318579213,-0.13195135016586232
2022-06-30,2021-12-31,removed,1211,119,0.5458298926507019,0.5630252100840336,2,defined,0.01719531743333169,0.029563606224177807,-0.012368288790846126
2022-06-30,2021-12-31,both,1211,1209,0.5458298926507019,0.5318444995864351,4,defined,-0.013985393064266827,-0.0024332990995892152,-0.011552093964677585
2022-09-30,2021-12-31,added,1211,182,0.5458298926507019,0.3516483516483517,4,defined,-0.19418154100235024,0.008311491035289276,-0.20249303203763952
2022-09-30,2021-12-31,removed,1211,184,0.5458298926507019,0.5760869565217391,2,defined,0.030257063871037215,0.01999769324230316,0.010259370628734013
2022-09-30,2021-12-31,both,1211,1209,0.5458298926507019,0.5119933829611248,4,defined,-0.03383650968957708,-0.0017922946138636403,-0.0320442150757134
2022-12-31,2022-12-31,added,1209,0,0.5028949545078577,,0,empty_target,,,
2022-12-31,2022-12-31,removed,1209,0,0.5028949545078577,,0,empty_target,,,
2022-12-31,2022-12-31,both,1209,1209,0.5028949545078577,0.5028949545078577,4,defined,0.0,0.0,0.0
2023-03-31,2022-12-31,added,1209,59,0.5028949545078577,0.5932203389830508,1,defined,0.09032538447519312,-0.005705599900719005,0.09603098437591201
2023-03-31,2022-12-31,removed,1209,59,0.5028949545078577,0.5254237288135594,1,defined,0.02252877430570166,-0.0035897962665928347,0.026118570572294397
2023-03-31,2022-12-31,both,1209,1209,0.5028949545078577,0.5062034739454094,4,defined,0.003308519437551727,-0.00010325261738081647,0.0034117720549325424
2023-06-30,2022-12-31,added,1209,118,0.5028949545078577,0.5338983050847458,2,defined,0.031003350576888078,-0.005406740229453158,0.03641009080634121
2023-06-30,2022-12-31,removed,1209,119,0.5028949545078577,0.42857142857142855,3,defined,-0.07432352593642916,-0.0001969431640223146,-0.07412658277240686
2023-06-30,2022-12-31,both,1209,1208,0.5028949545078577,0.5132450331125827,4,defined,0.010350078604725033,-0.0005087409855602798,0.010858819590285335
2023-09-30,2022-12-31,added,1209,182,0.5028949545078577,0.489010989010989,2,defined,-0.013883965496868711,-0.0049815954755529634,-0.008902370021315786
2023-09-30,2022-12-31,removed,1209,183,0.5028949545078577,0.453551912568306,3,defined,-0.04934304193955169,0.005368618459535998,-0.05471166039908772
2023-09-30,2022-12-31,both,1209,1208,0.5028949545078577,0.5082781456953642,4,defined,0.00538319118750652,-0.0015638307571570493,0.00694702194466358
2023-12-31,2023-12-31,added,1208,0,0.5024834437086093,,0,empty_target,,,
2023-12-31,2023-12-31,removed,1208,0,0.5024834437086093,,0,empty_target,,,
2023-12-31,2023-12-31,both,1208,1208,0.5024834437086093,0.5024834437086093,4,defined,0.0,0.0,0.0
2024-03-31,2023-12-31,added,1208,58,0.5024834437086093,0.5689655172413793,1,defined,0.06648207353277003,-0.0009001441734342239,0.06738221770620428
2024-03-31,2023-12-31,removed,1208,58,0.5024834437086093,0.8275862068965517,1,defined,0.3251027631879424,-0.01070330842272782,0.3358060716106702
2024-03-31,2023-12-31,both,1208,1208,0.5024834437086093,0.4900662251655629,4,defined,-0.012417218543046393,0.00047068172720119393,-0.012887900270247547
2024-06-30,2023-12-31,added,1208,117,0.5024834437086093,0.48717948717948717,3,defined,-0.015303956529122142,0.009999875348659829,-0.0253038318777819
2024-06-30,2023-12-31,removed,1208,118,0.5024834437086093,0.6779661016949152,2,defined,0.1754826579863059,-0.009148105921937322,0.1846307639082434
2024-06-30,2023-12-31,both,1208,1207,0.5024834437086093,0.48384424192212094,4,defined,-0.01863920178648837,0.0018636801280711053,-0.020502881914559415
2024-09-30,2023-12-31,added,1208,181,0.5024834437086093,0.430939226519337,3,defined,-0.07154421718927229,-0.007773643548435072,-0.06377057364083716
2024-09-30,2023-12-31,removed,1208,183,0.5024834437086093,0.6284153005464481,3,defined,0.1259318568378388,-0.0028740028566515557,0.12880585969449043
2024-09-30,2023-12-31,both,1208,1206,0.5024834437086093,0.472636815920398,4,defined,-0.02984662778821129,-0.000730586201906698,-0.029116041586304535
2024-12-31,2024-12-31,added,1206,0,0.472636815920398,,0,empty_target,,,
2024-12-31,2024-12-31,removed,1206,0,0.472636815920398,,0,empty_target,,,
