family,cutoff,seed,train_n,iterations,gradient_inf,objective,penalty,hessian_min_eigenvalue,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_log_loss,constant_brier,native_log_loss,native_brier,native_ridge_objective,native_probability_std,native_accuracy
probe_mse,2017-12-31,20260910,1678,4,4.5194663983449956e-13,0.6526771369156245,0.002181862007537101,0.010753903026163568,0.6504952749080873,0.22984823853004724,0.597735399284863,0.6558067063669932,0.5202622169250343,0.13401133613242283,0.6923258407995493,0.2495894425652879,,,,,0.5923718712753278
probe_mse,2017-12-31,20260911,1678,4,9.236420395570432e-17,0.6530483737224275,0.002440630100071354,0.010275020303170982,0.6506077436223562,0.2294833579429711,0.6215733015494637,0.6632458930083314,0.5202622169249106,0.13360208985776859,0.6923258407995493,0.2495894425652879,,,,,0.5983313468414779
probe_mse,2017-12-31,20260912,1678,4,7.739306157744652e-15,0.6443906281330936,0.002491601039303186,0.010062944924974056,0.6418990270937903,0.22545322937005538,0.6269368295589988,0.6785625351290973,0.5202622169249068,0.1477752536854124,0.6923258407995493,0.2495894425652879,,,,,0.6102502979737783
probe_mse,2018-12-31,20260910,1921,4,2.0173272774481887e-13,0.6326169794077264,0.001767758475219622,0.010084196646909543,0.6308492209325068,0.220899486470312,0.6304008328995315,0.6925587085103753,0.5111920874544432,0.16688718516871512,0.6928966339915423,0.2498747371784119,,,,,0.6283185840707964
probe_mse,2018-12-31,20260911,1921,4,7.489668607529865e-16,0.6480139923063678,0.0011270420936903536,0.010066037615540094,0.6468869502126775,0.22786346712838973,0.6179073399271213,0.6685070350439974,0.5111920874544505,0.14533925257221444,0.6928966339915423,0.2498747371784119,,,,,0.6215512753774076
probe_mse,2018-12-31,20260912,1921,4,8.053453737222327e-16,0.6505415372753223,0.0023115387394596824,0.010198320316453938,0.6482299985358626,0.22833687195470018,0.6241540864133264,0.66931172174758,0.5111920874544505,0.1390630389647335,0.6928966339915423,0.2498747371784119,,,,,0.6048932847475273
probe_mse,2019-12-31,20260910,2165,4,3.176712365382528e-16,0.6522226668790686,0.0014891924043526218,0.010130214379298935,0.650733474474716,0.22962717493430454,0.6143187066974596,0.6616902236919951,0.5214780600461891,0.13641618782020865,0.6922242824846752,0.24953869293665232,,,,,0.6023094688221708
probe_mse,2019-12-31,20260911,2165,4,3.190904571820363e-14,0.6404744074598938,0.0014462765950036035,0.010068870556927116,0.6390281308648902,0.22399953895724536,0.6355658198614319,0.6849537124116398,0.5214780600461728,0.15526714555454738,0.6922242824846752,0.24953869293665232,,,,,0.6323325635103926
probe_mse,2019-12-31,20260912,2165,4,8.52291327790855e-16,0.6582563662881753,0.001275314987136378,0.010060219994059936,0.6569810513010389,0.2325815872852238,0.6166281755196305,0.6499362199096477,0.5214780600461889,0.12556374152442773,0.6922242824846752,0.24953869293665232,,,,,0.605080831408776
probe_bce,2017-12-31,20260910,1678,4,6.862999751833243e-17,0.6531233074108462,0.0018949785561473476,0.01014069245803871,0.6512283288546988,0.22960890750737464,0.6221692491060786,0.6642006929770264,0.5202622169249106,0.1347315540980586,0.6923258407995493,0.2495894425652879,0.6696877511111882,0.23836479388403342,0.6697542238365461,0.05727296135549055,0.6132300357568534
