method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
archived20,141,0.5957446808510638,0.40425531914893614,84,0.5819722335647203,0.624113475177305,0.5602836879432624,55,29,33,24,0.6014699877501021,,,,,,
direction_bce,141,0.5602836879432624,0.4397163120567376,79,0.5260310330747244,0.7872340425531915,0.5602836879432624,64,15,47,15,0.5261331155573703,0.24796520676757644,0.6890865406737731,0.5218603080765097,0.032167456282028384,-0.038423379866752705,0.0
neutral_50,141,0.4397163120567376,0.5602836879432624,62,0.5,0.0,0.5602836879432624,0,62,0,79,0.5,0.25,0.6931471805599454,0.5,0.0,-0.06028368794326244,0.0
probe_bce,141,0.5673758865248227,0.4326241134751773,80,0.5497141690485913,0.6524822695035462,0.5602836879432624,55,25,37,24,0.5173540220498163,0.25197347647894913,0.6974635053564475,0.5323282394384276,0.07301755397709024,-0.02795544850483489,0.0
probe_mse,141,0.5460992907801419,0.45390070921985815,77,0.5376684360963658,0.574468085106383,0.5602836879432624,48,29,33,31,0.592486729277256,0.24204284234358778,0.6769974054241634,0.5230764738509994,0.10438631723494123,-0.03720721409226302,0.0
training_frequency,141,0.5602836879432624,0.4397163120567376,79,0.5,1.0,0.5602836879432624,79,0,62,0,0.4806043282972642,0.2487054271110504,0.6905574230248889,0.5176998256336885,0.004555807871201607,-0.042583862309573894,0.0
