method,mean_seed_brier,ensemble_brier,mean_seed_probability_variance,identity_max_error
direction_bce,0.249192732500793,0.24796520676757644,0.0012275257332164844,6.570265165262157e-17
probe_mse,0.2509682099434488,0.24204284234358778,0.00892536759986103,8.673617379884035e-18
probe_bce,0.25709882452831734,0.25197347647894913,0.00512534804936832,1.1449174941446927e-16
