method,bin_index,lower,upper,n,mean_probability,observed_frequency
direction_bce,0,0.0,0.2,0,,
direction_bce,1,0.2,0.4,0,,
direction_bce,2,0.4,0.6,138,0.5197108868395229,0.5579710144927537
direction_bce,3,0.6,0.8,3,0.6207336849778983,0.6666666666666666
direction_bce,4,0.8,1.0,0,,
neutral_50,0,0.0,0.2,0,,
neutral_50,1,0.2,0.4,0,,
neutral_50,2,0.4,0.6,141,0.5,0.5602836879432624
neutral_50,3,0.6,0.8,0,,
neutral_50,4,0.8,1.0,0,,
probe_bce,0,0.0,0.2,0,,
probe_bce,1,0.2,0.4,5,0.36563717859286715,0.8
probe_bce,2,0.4,0.6,106,0.5115852051039728,0.5566037735849056
probe_bce,3,0.6,0.8,30,0.6334021375610942,0.5333333333333333
probe_bce,4,0.8,1.0,0,,
probe_mse,0,0.0,0.2,0,,
probe_mse,1,0.2,0.4,19,0.35791198328208174,0.5789473684210527
probe_mse,2,0.4,0.6,87,0.5043776916730924,0.5057471264367817
probe_mse,3,0.6,0.8,35,0.6592170272877801,0.6857142857142857
probe_mse,4,0.8,1.0,0,,
training_frequency,0,0.0,0.2,0,,
training_frequency,1,0.2,0.4,0,,
training_frequency,2,0.4,0.6,141,0.5176998256336885,0.5602836879432624
training_frequency,3,0.6,0.8,0,,
training_frequency,4,0.8,1.0,0,,
