family,cutoff,train_n,iterations,objective,penalty,log_loss,constant_log_loss,native_log_loss,brier,constant_brier,native_brier,accuracy,native_accuracy,auroc,probability_std,native_probability_std,log_loss_skill,brier_skill,native_log_loss_skill,native_brier_skill
probe_bce,2017-12-31,1678.0,3.6666666666666665,0.6552564710096359,0.0023178093127127334,0.6529386616969232,0.6923258407995493,0.6772100991195878,0.2305131586639657,0.2495894425652879,0.2420919835588168,0.6142232816845451,0.5830353595550258,0.6586217773129471,0.12937816227355062,0.0465182503009813,0.05689110066603742,0.07643065229544783,0.021833276745101198,0.030039167239655457
probe_bce,2018-12-31,1921.0,3.0,0.6755796492184253,0.002039860966100367,0.673539788252325,0.6928966339915424,0.6926623189206483,0.24038857903920338,0.2498747371784119,0.2497578143133676,0.5814679854242581,0.5111920874544508,0.6115065860678582,0.08609559616879481,0.0013872283209627667,0.02793612321033967,0.03796365429465313,0.00033816742555699736,0.0004679259150589162
probe_bce,2019-12-31,2165.0,3.3333333333333335,0.6624229238992441,0.0016948448721999668,0.6607280790270441,0.6922242824846752,0.6729355847444515,0.23439066490284008,0.2495386929366523,0.2401444695445639,0.6029253271747498,0.5761354888375674,0.6380325979528814,0.1151100201034657,0.06208420914391607,0.045499997984148166,0.060704125101984495,0.027864809467516388,0.03764635969490001
probe_mse,2017-12-31,1678.0,4.0,0.6500387129237152,0.002371364382303833,0.6476673485414113,0.6923258407995493,,0.22826160861435785,0.2495894425652879,,0.6154151767977751,0.6003178386968613,0.665871711501474,0.13846289322520122,,0.06450502007344268,0.08545166707262093,,
probe_mse,2018-12-31,1921.0,4.0,0.6437241696631388,0.0017354464361231667,0.6419887232270156,0.6928966339915424,,0.22569994185113393,0.2498747371784119,,0.6241540864133265,0.6182543813985771,0.6767924884339842,0.15042982556855433,,0.07347114745133554,0.09674765684702673,,
probe_mse,2019-12-31,2165.0,4.0,0.6503178135423792,0.0014035946621641666,0.6489142188802149,0.6922242824846752,,0.2287361003922579,0.2495386929366523,,0.6221709006928406,0.6132409545804465,0.6655267186710941,0.13908235829972784,,0.06256651882971032,0.0833641961476305,,
