family,cutoff,seed,primary_iterations,alternate_iterations,alternate_success,alternate_message,primary_gradient_inf,alternate_gradient_inf,objective_absolute_gap,maximum_training_probability_gap
probe_mse,2017-12-31,20260910,4,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.5194663983449956e-13,1.1423871373625696e-08,1.887379141862766e-15,1.2219891232234659e-07
probe_mse,2017-12-31,20260911,4,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.236420395570432e-17,2.04003341372494e-08,6.8833827526759706e-15,1.578226885845524e-07
probe_mse,2017-12-31,20260912,4,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.739306157744652e-15,1.5030418363173718e-08,2.886579864025407e-15,1.3057313141828786e-07
probe_mse,2018-12-31,20260910,4,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0173272774481887e-13,9.833426994117905e-09,2.6645352591003757e-15,5.69792725224616e-08
probe_mse,2018-12-31,20260911,4,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.489668607529865e-16,1.0059466875374928e-08,4.884981308350689e-15,8.806883833312185e-08
probe_mse,2018-12-31,20260912,4,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.053453737222327e-16,9.058856513446262e-09,1.3322676295501878e-15,6.315379885712957e-08
probe_mse,2019-12-31,20260910,4,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.176712365382528e-16,4.099928664603146e-08,1.3988810110276972e-14,1.6140067327086172e-07
probe_mse,2019-12-31,20260911,4,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.190904571820363e-14,9.629744674192683e-09,6.5503158452884236e-15,1.4009715809670809e-07
probe_mse,2019-12-31,20260912,4,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.52291327790855e-16,1.938501441967966e-08,4.9960036108132044e-15,1.0255760474198183e-07
probe_bce,2017-12-31,20260910,4,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.862999751833243e-17,1.1072963710824159e-08,3.774758283725532e-15,9.53107086587579e-08
probe_bce,2017-12-31,20260911,3,80,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.1986844014595126e-10,7.297804204909122e-09,4.440892098500626e-15,8.535580015012201e-08
probe_bce,2017-12-31,20260912,4,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.5804011705155006e-16,5.345266515651911e-09,1.4432899320127035e-15,6.412351172269126e-08
probe_bce,2018-12-31,20260910,3,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.3193134615857054e-13,5.137606638619223e-09,1.4432899320127035e-15,6.723088619153827e-08
probe_bce,2018-12-31,20260911,3,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.4588827176631745e-11,8.10627990470783e-09,3.1086244689504383e-15,8.995154343605094e-08
probe_bce,2018-12-31,20260912,3,58,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.767946840637417e-11,5.119437816811928e-09,7.771561172376096e-16,6.961867754506912e-08
probe_bce,2019-12-31,20260910,3,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.3992448789734184e-10,7.142512733603751e-09,9.992007221626409e-16,4.5704798057322193e-08
probe_bce,2019-12-31,20260911,4,60,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.757849508315923e-14,6.653770015161136e-09,4.107825191113079e-15,1.0455672172504649e-07
probe_bce,2019-12-31,20260912,3,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.5794873764642227e-11,5.7078236659693915e-09,1.4432899320127035e-15,4.8611824121636005e-08
