job,method,cutoff,seed,train_n,objective,source_on_recent_objective,nested_recent_additive_objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_brier,constant_log_loss
learned_recent_additive_2014-12-31_20260910,learned_recent_additive,2014-12-31,20260910,720,0.6223577487438039,0.6295233275252932,,0.6145763669739018,0.21249287247699583,0.6666666666666666,0.7262931034482759,0.5166666666671866,0.17195834256770065,0.2497222222222222,0.6925915220779792
learned_recent_additive_2014-12-31_20260911,learned_recent_additive,2014-12-31,20260911,720,0.6149284910180005,0.6267889487472481,,0.6079548224556486,0.2101628003003879,0.675,0.7295065504881968,0.5166666666666322,0.18304898408211356,0.2497222222222222,0.6925915220779792
learned_recent_additive_2014-12-31_20260912,learned_recent_additive,2014-12-31,20260912,720,0.6106207754393653,0.6231178291977283,,0.6025976488280664,0.20800528990092074,0.6805555555555556,0.7354390681003584,0.5166666666661422,0.1865872159261838,0.2497222222222222,0.6925915220779792
learned_recent_additive_2015-12-31_20260910,learned_recent_additive,2015-12-31,20260910,590,0.607310553092592,0.6196782812891908,,0.6021406426101964,0.20737340811530044,0.6745762711864407,0.7307901654912043,0.5440677966101749,0.19036815379553498,0.24805802930192475,0.6892581951410703
learned_recent_additive_2015-12-31_20260911,learned_recent_additive,2015-12-31,20260911,590,0.6327062653442344,0.6583903808655335,,0.619584089892948,0.21522628968352428,0.6542372881355932,0.720147309175555,0.54406779661017,0.1444194976876173,0.24805802930192475,0.6892581951410703
learned_recent_additive_2015-12-31_20260912,learned_recent_additive,2015-12-31,20260912,590,0.629901344148584,0.6540362451547013,,0.621720640535108,0.2159450796741478,0.6898305084745763,0.7073040799546029,0.5440677966101655,0.15640648549978825,0.24805802930192475,0.6892581951410703
learned_recent_additive_2016-12-31_20260910,learned_recent_additive,2016-12-31,20260910,596,0.6318432324617279,0.6565005005474475,,0.6255187679737835,0.21881879880048988,0.6258389261744967,0.6904509071809452,0.5587248322147552,0.1510676273447222,0.2465513940813477,0.686234023397162
learned_recent_additive_2016-12-31_20260911,learned_recent_additive,2016-12-31,20260911,596,0.6534914902166438,0.6801016589210166,,0.6501119089296726,0.22968519463439793,0.6057046979865772,0.6554425147581041,0.5587248322147649,0.11905619532992415,0.2465513940813477,0.686234023397162
learned_recent_additive_2016-12-31_20260912,learned_recent_additive,2016-12-31,20260912,596,0.6353488494926509,0.6795022889866488,,0.6284953625576484,0.2191636757859802,0.62751677852349,0.6957489809200835,0.5587248322147629,0.14494514838812173,0.2465513940813477,0.686234023397162
learned_recent_additive_2017-12-31_20260910,learned_recent_additive,2017-12-31,20260910,595,0.5950808711063429,0.6572785318437805,,0.5798882737533744,0.197882619846594,0.6907563025210084,0.7538242127297403,0.566386554621283,0.18555841826285185,0.2455928253654403,0.6843067493464309
learned_recent_additive_2017-12-31_20260911,learned_recent_additive,2017-12-31,20260911,595,0.5862599937713223,0.6541293358106902,,0.5811757586909926,0.19874427950655615,0.6941176470588235,0.7515814413544039,0.5663865546036508,0.20716466985585247,0.2455928253654403,0.6843067493464309
learned_recent_additive_2017-12-31_20260912,learned_recent_additive,2017-12-31,20260912,595,0.6000908946271396,0.6517872647704138,,0.595056274080082,0.2052519859828859,0.6873949579831933,0.7304073792928945,0.5663865546196348,0.19216729782014283,0.2455928253654403,0.6843067493464309
