cutoff,first_allowed_signal,full_rows,recent_rows,test_rows,recent_up_labels,latest_label_completed
2014-12-31,2012-01-01,1077,720,22,372,2014-12-31
2015-12-31,2013-01-01,1190,590,48,321,2015-12-31
2016-12-31,2014-01-01,1434,596,50,333,2016-12-30
2017-12-31,2015-01-01,1678,595,49,337,2017-12-29
2018-12-31,2016-01-01,1921,725,46,383,2018-12-28
2019-12-31,2017-01-01,2165,725,46,396,2019-12-31
