job,training_rows,validation_rows,dimensions,maximum_new_forecast_error,maximum_source_forecast_error
learned_recent_additive_2014-12-31_20260910,720,22,29,1.1102230246251565e-16,1.1102230246251565e-16
learned_recent_additive_2014-12-31_20260911,720,22,29,1.1102230246251565e-16,1.1102230246251565e-16
learned_recent_additive_2014-12-31_20260912,720,22,29,2.220446049250313e-16,2.220446049250313e-16
learned_recent_additive_2015-12-31_20260910,590,48,29,2.220446049250313e-16,2.220446049250313e-16
learned_recent_additive_2015-12-31_20260911,590,48,29,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_additive_2015-12-31_20260912,590,48,29,4.440892098500626e-16,2.220446049250313e-16
learned_recent_additive_2016-12-31_20260910,596,50,29,2.220446049250313e-16,2.220446049250313e-16
learned_recent_additive_2016-12-31_20260911,596,50,29,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_additive_2016-12-31_20260912,596,50,29,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_additive_2017-12-31_20260910,595,49,29,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_additive_2017-12-31_20260911,595,49,29,4.440892098500626e-16,1.1102230246251565e-16
learned_recent_additive_2017-12-31_20260912,595,49,29,4.440892098500626e-16,1.1102230246251565e-16
learned_recent_additive_2018-12-31_20260910,725,46,29,2.220446049250313e-16,2.220446049250313e-16
learned_recent_additive_2018-12-31_20260911,725,46,29,1.1102230246251565e-16,1.1102230246251565e-16
learned_recent_additive_2018-12-31_20260912,725,46,29,1.1102230246251565e-16,1.1102230246251565e-16
learned_recent_additive_2019-12-31_20260910,725,46,29,2.220446049250313e-16,2.220446049250313e-16
learned_recent_additive_2019-12-31_20260911,725,46,29,2.220446049250313e-16,2.220446049250313e-16
learned_recent_additive_2019-12-31_20260912,725,46,29,2.220446049250313e-16,2.220446049250313e-16
raw_recent_additive_2014-12-31_-1,720,22,26,1.1102230246251565e-16,2.220446049250313e-16
raw_recent_additive_2015-12-31_-1,590,48,26,2.220446049250313e-16,2.220446049250313e-16
raw_recent_additive_2016-12-31_-1,596,50,26,2.220446049250313e-16,1.1102230246251565e-16
raw_recent_additive_2017-12-31_-1,595,49,26,2.220446049250313e-16,1.1102230246251565e-16
raw_recent_additive_2018-12-31_-1,725,46,26,4.440892098500626e-16,1.1102230246251565e-16
raw_recent_additive_2019-12-31_-1,725,46,26,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_interaction_2014-12-31_20260910,720,22,30,1.1102230246251565e-16,1.1102230246251565e-16
learned_recent_interaction_2014-12-31_20260911,720,22,30,1.1102230246251565e-16,1.1102230246251565e-16
learned_recent_interaction_2014-12-31_20260912,720,22,30,4.440892098500626e-16,2.220446049250313e-16
learned_recent_interaction_2015-12-31_20260910,590,48,30,4.440892098500626e-16,2.220446049250313e-16
learned_recent_interaction_2015-12-31_20260911,590,48,30,4.440892098500626e-16,2.220446049250313e-16
learned_recent_interaction_2015-12-31_20260912,590,48,30,4.440892098500626e-16,2.220446049250313e-16
learned_recent_interaction_2016-12-31_20260910,596,50,30,2.220446049250313e-16,2.220446049250313e-16
learned_recent_interaction_2016-12-31_20260911,596,50,30,1.1102230246251565e-16,2.220446049250313e-16
learned_recent_interaction_2016-12-31_20260912,596,50,30,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_interaction_2017-12-31_20260910,595,49,30,4.440892098500626e-16,1.1102230246251565e-16
learned_recent_interaction_2017-12-31_20260911,595,49,30,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_interaction_2017-12-31_20260912,595,49,30,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_interaction_2018-12-31_20260910,725,46,30,4.440892098500626e-16,1.1102230246251565e-16
learned_recent_interaction_2018-12-31_20260911,725,46,30,2.220446049250313e-16,2.220446049250313e-16
learned_recent_interaction_2018-12-31_20260912,725,46,30,1.1102230246251565e-16,2.220446049250313e-16
learned_recent_interaction_2019-12-31_20260910,725,46,30,2.220446049250313e-16,2.220446049250313e-16
learned_recent_interaction_2019-12-31_20260911,725,46,30,2.220446049250313e-16,1.1102230246251565e-16
learned_recent_interaction_2019-12-31_20260912,725,46,30,2.220446049250313e-16,2.220446049250313e-16
raw_recent_interaction_2014-12-31_-1,720,22,27,4.440892098500626e-16,4.440892098500626e-16
raw_recent_interaction_2015-12-31_-1,590,48,27,2.220446049250313e-16,2.8449465006019636e-16
raw_recent_interaction_2016-12-31_-1,596,50,27,2.7755575615628914e-16,2.220446049250313e-16
raw_recent_interaction_2017-12-31_-1,595,49,27,4.440892098500626e-16,1.1102230246251565e-16
raw_recent_interaction_2018-12-31_-1,725,46,27,4.440892098500626e-16,2.220446049250313e-16
raw_recent_interaction_2019-12-31_-1,725,46,27,4.440892098500626e-16,1.1102230246251565e-16
