window,method,reference,changed,correct_to_wrong,wrong_to_correct
early_2015_2017,learned_recent_additive,learned_market,25,10,15
early_2015_2017,learned_recent_additive,native_mse,31,13,18
early_2015_2017,learned_recent_additive,training_frequency,55,27,28
early_2015_2017,learned_recent_additive,recent_frequency,43,23,20
early_2015_2017,raw_recent_additive,raw_trend,45,19,26
early_2015_2017,raw_recent_additive,native_mse,62,31,31
early_2015_2017,raw_recent_additive,training_frequency,40,22,18
early_2015_2017,raw_recent_additive,recent_frequency,52,30,22
early_2015_2017,learned_recent_interaction,learned_vol_interaction,23,6,17
early_2015_2017,learned_recent_interaction,native_mse,32,12,20
early_2015_2017,learned_recent_interaction,training_frequency,54,25,29
early_2015_2017,learned_recent_interaction,recent_frequency,42,21,21
early_2015_2017,learned_recent_interaction,learned_recent_additive,5,1,4
early_2015_2017,raw_recent_interaction,raw_vol_interaction,52,23,29
early_2015_2017,raw_recent_interaction,native_mse,59,30,29
early_2015_2017,raw_recent_interaction,training_frequency,31,18,13
early_2015_2017,raw_recent_interaction,recent_frequency,47,28,19
early_2015_2017,raw_recent_interaction,raw_recent_additive,11,6,5
late_2018_2020,learned_recent_additive,learned_market,26,16,10
late_2018_2020,learned_recent_additive,native_mse,30,20,10
late_2018_2020,learned_recent_additive,training_frequency,43,24,19
late_2018_2020,learned_recent_additive,recent_frequency,43,24,19
late_2018_2020,raw_recent_additive,raw_trend,58,32,26
late_2018_2020,raw_recent_additive,native_mse,70,41,29
late_2018_2020,raw_recent_additive,training_frequency,67,37,30
late_2018_2020,raw_recent_additive,recent_frequency,67,37,30
late_2018_2020,learned_recent_interaction,learned_vol_interaction,28,19,9
late_2018_2020,learned_recent_interaction,native_mse,30,21,9
late_2018_2020,learned_recent_interaction,training_frequency,45,26,19
late_2018_2020,learned_recent_interaction,recent_frequency,45,26,19
late_2018_2020,learned_recent_interaction,learned_recent_additive,2,2,0
late_2018_2020,raw_recent_interaction,raw_vol_interaction,56,32,24
late_2018_2020,raw_recent_interaction,native_mse,73,44,29
late_2018_2020,raw_recent_interaction,training_frequency,70,40,30
late_2018_2020,raw_recent_interaction,recent_frequency,70,40,30
late_2018_2020,raw_recent_interaction,raw_recent_additive,5,4,1
