job,method,cutoff,seed,alternate_iterations,alternate_success,alternate_message,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf
learned_recent_additive_2014-12-31_20260910,learned_recent_additive,2014-12-31,20260910,77,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.886579864025407e-15,9.335013539946146e-08,1.2651788014374915e-08
learned_recent_additive_2014-12-31_20260911,learned_recent_additive,2014-12-31,20260911,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.882583474838611e-15,1.6810905623110273e-07,2.7489149228925557e-08
learned_recent_additive_2014-12-31_20260912,learned_recent_additive,2014-12-31,20260912,62,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3322676295501878e-15,8.131694417823354e-08,1.473660136887961e-08
learned_recent_additive_2015-12-31_20260910,learned_recent_additive,2015-12-31,20260910,81,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2212453270876722e-15,6.816932862641067e-08,6.7949141905557925e-09
learned_recent_additive_2015-12-31_20260911,learned_recent_additive,2015-12-31,20260911,85,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3322676295501878e-15,5.109491973964708e-08,6.893773024001584e-09
learned_recent_additive_2015-12-31_20260912,learned_recent_additive,2015-12-31,20260912,82,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.774758283725532e-15,8.632736991920353e-08,8.97846844116236e-09
learned_recent_additive_2016-12-31_20260910,learned_recent_additive,2016-12-31,20260910,87,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4432899320127035e-15,5.721263085511907e-08,7.561536245862281e-09
learned_recent_additive_2016-12-31_20260911,learned_recent_additive,2016-12-31,20260911,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.885780586188048e-15,1.206046160717733e-07,1.0593610382143848e-08
learned_recent_additive_2016-12-31_20260912,learned_recent_additive,2016-12-31,20260912,79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.440092820663267e-15,1.2563137730126073e-07,2.52511076943851e-08
learned_recent_additive_2017-12-31_20260910,learned_recent_additive,2017-12-31,20260910,79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,7.83960665273753e-08,6.61242402644482e-09
learned_recent_additive_2017-12-31_20260911,learned_recent_additive,2017-12-31,20260911,79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,7.316203376461772e-08,6.578007104296457e-09
learned_recent_additive_2017-12-31_20260912,learned_recent_additive,2017-12-31,20260912,85,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,4.4713649116623344e-08,4.6179130675644275e-09
learned_recent_additive_2018-12-31_20260910,learned_recent_additive,2018-12-31,20260910,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.1086244689504383e-15,8.664862122254036e-08,1.1937370460706352e-08
learned_recent_additive_2018-12-31_20260911,learned_recent_additive,2018-12-31,20260911,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6653345369377348e-15,8.433411846642258e-08,1.2683936817959457e-08
learned_recent_additive_2018-12-31_20260912,learned_recent_additive,2018-12-31,20260912,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.774758283725532e-15,8.683966873368476e-08,6.395689066459459e-09
learned_recent_additive_2019-12-31_20260910,learned_recent_additive,2019-12-31,20260910,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7763568394002505e-15,6.101000027403103e-08,4.318956613679446e-09
learned_recent_additive_2019-12-31_20260911,learned_recent_additive,2019-12-31,20260911,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.886579864025407e-15,8.989634547873493e-08,2.128025721186578e-08
learned_recent_additive_2019-12-31_20260912,learned_recent_additive,2019-12-31,20260912,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.773959005888173e-15,7.320440825742125e-08,7.95627703564089e-09
raw_recent_additive_2014-12-31_-1,raw_recent_additive,2014-12-31,-1,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.552713678800501e-15,1.1192259552483819e-07,8.271098378680869e-09
raw_recent_additive_2015-12-31_-1,raw_recent_additive,2015-12-31,-1,88,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2212453270876722e-15,4.7167224681565756e-08,4.741647137212687e-09
raw_recent_additive_2016-12-31_-1,raw_recent_additive,2016-12-31,-1,87,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.884981308350689e-15,9.598276601296973e-08,1.9132390958413042e-08
raw_recent_additive_2017-12-31_-1,raw_recent_additive,2017-12-31,-1,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.552713678800501e-15,9.686620927595868e-08,1.4581999433242385e-08
raw_recent_additive_2018-12-31_-1,raw_recent_additive,2018-12-31,-1,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.771561172376096e-16,6.73722421185019e-08,4.8799899429567695e-09
raw_recent_additive_2019-12-31_-1,raw_recent_additive,2019-12-31,-1,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4432899320127035e-15,1.1045464187731113e-07,1.3463900924931896e-08
learned_recent_interaction_2014-12-31_20260910,learned_recent_interaction,2014-12-31,20260910,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,8.187236710810453e-08,6.378789010018371e-09
learned_recent_interaction_2014-12-31_20260911,learned_recent_interaction,2014-12-31,20260911,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.3298697960381105e-15,7.582054961652318e-08,7.45380357176223e-09
