cutoff,recent_start,full_train_n,recent_train_n,removed_n,test_n,first_recent_date,last_recent_date,last_recent_label_completed,full_frequency,recent_frequency
2014-12-31,2012-01-01,1077,720,357,22,2012-01-04,2014-12-23,2014-12-31,0.4921077065923863,0.5166666666666667
2015-12-31,2013-01-01,1190,590,600,48,2013-01-04,2015-12-23,2015-12-31,0.5033613445378151,0.5440677966101695
2016-12-31,2014-01-01,1434,596,838,50,2014-01-02,2016-12-22,2016-12-30,0.50697350069735,0.5587248322147651
2017-12-31,2015-01-01,1678,595,1083,49,2015-01-05,2017-12-21,2017-12-29,0.5202622169249106,0.5663865546218487
2018-12-31,2016-01-01,1921,725,1196,46,2016-01-04,2018-12-20,2018-12-28,0.5111920874544508,0.5282758620689655
2019-12-31,2017-01-01,2165,725,1440,46,2017-01-03,2019-12-23,2019-12-31,0.5214780600461894,0.5462068965517242
