cutoff,history,method,family,component,accepted,training_n,validation_n,n,changed_probability_weeks,recoveries,regressions,brier_difference
2020-12-31,quarter_trend2_validated,learned_market,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,volatility,high,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,0,0,10,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,0,0,10,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_market,trend,negative,False,0,1,9,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,0,9,4,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_market,volatility,low,False,0,1,5,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_market,volatility,high,False,0,9,8,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,0,1,9,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,0,9,4,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,0,1,5,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,0,9,8,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,0,1,9,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,0,9,4,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,0,1,5,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,0,9,8,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,0,1,9,0,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,0,9,4,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,0,1,5,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,0,9,8,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_market,trend,negative,False,0,9,10,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_market,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_market,volatility,high,False,8,9,12,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,0,9,10,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,8,9,12,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,0,9,10,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_order_extension,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,8,9,12,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,0,9,10,0,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_order_offset,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,8,9,12,0,0,0,0.0
2021-09-30,quarter_trend2_validated,learned_market,trend,negative,False,10,9,7,0,0,0,0.0
2021-09-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,12,4,6,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_market,volatility,low,False,4,1,13,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_market,volatility,high,False,18,12,0,0,0,0,
2021-09-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,10,9,7,0,0,0,0.0
2021-09-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,12,4,6,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,4,1,13,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,18,12,0,0,0,0,
2021-09-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,10,9,7,0,0,0,0.0
2021-09-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,12,4,6,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_order_extension,volatility,low,False,4,1,13,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,18,12,0,0,0,0,
2021-09-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,10,9,7,0,0,0,0.0
2021-09-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,12,4,6,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_order_offset,volatility,low,False,4,1,13,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,18,12,0,0,0,0,
2021-12-31,quarter_trend2_validated,learned_market,trend,negative,False,17,9,11,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,17,4,0,0,0,0,
2021-12-31,quarter_volatility2_validated,learned_market,volatility,low,False,6,12,4,0,0,0,0.0
2021-12-31,quarter_volatility2_validated,learned_market,volatility,high,False,28,1,7,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,17,9,11,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,17,4,0,0,0,0,
2021-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,6,12,4,0,0,0,0.0
2021-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,28,1,7,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,17,9,11,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,17,4,0,0,0,0,
2021-12-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,6,12,4,0,0,0,0.0
2021-12-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,28,1,7,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,17,9,11,0,0,0,0.0
2021-12-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,17,4,0,0,0,0,
2021-12-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,6,12,4,0,0,0,0.0
2021-12-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,28,1,7,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_market,trend,negative,False,27,10,10,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,19,3,2,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_market,volatility,low,False,16,7,1,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_market,volatility,high,False,30,6,11,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,27,10,10,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,19,3,2,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,16,7,1,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,30,6,11,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,27,10,10,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,19,3,2,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,16,7,1,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,30,6,11,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,27,10,10,0,0,0,0.0
2022-03-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,19,3,2,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,16,7,1,0,0,0,0.0
2022-03-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,30,6,11,0,0,0,0.0
2022-06-30,quarter_trend2_validated,learned_market,trend,negative,False,35,12,5,0,0,0,0.0
2022-06-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,17,1,9,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_market,volatility,low,False,23,0,10,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_market,volatility,high,True,29,13,4,4,1,0,-0.03823935806904791
2022-06-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,35,12,5,0,0,0,0.0
2022-06-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,17,1,9,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,23,0,10,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,29,13,4,0,0,0,0.0
2022-06-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,35,12,5,0,0,0,0.0
2022-06-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,17,1,9,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_order_extension,volatility,low,False,23,0,10,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_order_extension,volatility,high,True,29,13,4,4,1,0,-0.03664665816357239
2022-06-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,35,12,5,0,0,0,0.0
2022-06-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,17,1,9,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_order_offset,volatility,low,False,23,0,10,0,0,0,0.0
2022-06-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,29,13,4,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_market,trend,negative,False,39,3,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_market,trend,nonnegative,True,13,10,2,2,0,0,0.0005920309948947711
2022-09-30,quarter_volatility2_validated,learned_market,volatility,low,True,21,9,2,2,0,0,0.00020488786971104012
2022-09-30,quarter_volatility2_validated,learned_market,volatility,high,False,31,4,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,39,3,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,True,13,10,2,2,0,0,0.0006755062221611707
2022-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,True,21,9,2,2,0,0,0.0005522064295530316
2022-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,31,4,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,39,3,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,True,13,10,2,2,0,0,0.0004235102289283643
