cutoff,fit_cutoff,mode,available,train_n,validation_n,train_max_maturity,validation_first,validation_last,validation_max_maturity,purged_between_n
2020-12-31,,annual_reset,0,0,0,,,,,0
2021-03-31,2021-01-07,insufficient_history,10,0,10,,2021-01-08,2021-03-19,2021-03-29,0
2021-06-30,2021-03-25,insufficient_history,23,9,13,2021-03-22,2021-03-26,2021-06-18,2021-06-28,1
2021-09-30,2021-06-24,insufficient_history,36,22,13,2021-06-21,2021-06-25,2021-09-17,2021-09-28,1
2021-12-31,2021-09-16,annual_reset,48,34,13,2021-09-13,2021-09-17,2021-12-17,2021-12-27,1
2022-03-31,2021-12-16,insufficient_history,60,46,13,2021-12-13,2021-12-17,2022-03-18,2022-03-28,1
2022-06-30,2022-03-17,ready,72,52,13,2022-03-14,2022-03-18,2022-06-17,2022-06-27,1
2022-09-30,2022-06-23,ready,85,52,13,2022-06-20,2022-06-24,2022-09-16,2022-09-26,1
2022-12-31,2022-09-15,annual_reset,97,52,13,2022-09-13,2022-09-16,2022-12-16,2022-12-26,1
2023-03-31,2022-12-15,ready,109,52,13,2022-12-12,2022-12-16,2023-03-17,2023-03-27,1
2023-06-30,2023-03-16,ready,121,52,13,2023-03-13,2023-03-17,2023-06-09,2023-06-19,1
2023-09-30,2023-06-15,ready,134,52,13,2023-06-12,2023-06-16,2023-09-15,2023-09-25,1
2023-12-31,2023-09-07,annual_reset,145,52,13,2023-09-04,2023-09-08,2023-12-15,2023-12-25,1
2024-03-31,2023-12-07,ready,156,52,13,2023-12-04,2023-12-08,2024-03-15,2024-03-25,1
2024-06-30,2024-03-07,ready,167,52,13,2024-03-04,2024-03-08,2024-06-14,2024-06-24,1
2024-09-30,2024-06-27,ready,181,52,13,2024-06-24,2024-06-28,2024-09-20,2024-09-30,1
2024-12-31,2024-09-19,annual_reset,193,52,13,2024-09-18,2024-09-20,2024-12-20,2024-12-30,1
2025-03-31,2024-12-19,ready,205,52,13,2024-12-16,2024-12-20,2025-03-21,2025-03-31,1
2025-06-30,2025-03-13,ready,216,52,13,2025-03-10,2025-03-14,2025-06-20,2025-06-30,1
2025-09-30,2025-06-26,ready,229,52,13,2025-06-23,2025-06-27,2025-09-19,2025-09-29,1
2025-12-31,2025-09-18,annual_reset,241,52,13,2025-09-15,2025-09-19,2025-12-19,2025-12-29,1
2026-03-31,2025-12-11,ready,252,52,13,2025-12-08,2025-12-12,2026-03-20,2026-03-30,1
2026-06-30,2026-03-12,ready,263,52,13,2026-03-09,2026-03-13,2026-06-12,2026-06-29,1
