period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
extension_2021_2023,quarter_trend2_validated,learned_market,rolling5_annual20,147,24,2,0,-0.0007949425821023058
extension_2021_2023,quarter_trend2_validated,learned_market,weekly_state_validated,147,24,0,0,-0.00027785876787984583
extension_2021_2023,quarter_trend2_validated,learned_order_extension,rolling5_annual20,147,24,1,0,-0.0008156980616867997
extension_2021_2023,quarter_trend2_validated,learned_order_extension,weekly_state_validated,147,24,0,0,-0.00023147140887021963
extension_2021_2023,quarter_trend2_validated,learned_order_offset,rolling5_annual20,147,24,1,0,-0.0008211409403689018
extension_2021_2023,quarter_trend2_validated,learned_order_offset,weekly_state_validated,147,24,0,0,-0.00022981601324736375
extension_2021_2023,quarter_trend2_validated,learned_vol_interaction,rolling5_annual20,147,24,1,1,-0.0008101316741912084
extension_2021_2023,quarter_trend2_validated,learned_vol_interaction,weekly_state_validated,147,24,0,1,-0.00025950992830271145
extension_2021_2023,quarter_volatility2_validated,learned_market,rolling5_annual20,147,18,3,0,-0.001535015273504408
extension_2021_2023,quarter_volatility2_validated,learned_market,weekly_state_validated,147,18,1,0,-0.0010179314592819479
extension_2021_2023,quarter_volatility2_validated,learned_order_extension,rolling5_annual20,147,18,2,0,-0.0015409026894996308
extension_2021_2023,quarter_volatility2_validated,learned_order_extension,weekly_state_validated,147,18,1,0,-0.000956676036683051
extension_2021_2023,quarter_volatility2_validated,learned_order_offset,rolling5_annual20,147,14,1,0,-0.0005504725465567406
extension_2021_2023,quarter_volatility2_validated,learned_order_offset,weekly_state_validated,147,14,0,0,4.0852380564797504e-05
extension_2021_2023,quarter_volatility2_validated,learned_vol_interaction,rolling5_annual20,147,14,1,0,-0.0005138971150159214
extension_2021_2023,quarter_volatility2_validated,learned_vol_interaction,weekly_state_validated,147,14,0,0,3.6724630872575435e-05
recent_2024_2026,quarter_trend2_validated,learned_market,rolling5_annual20,125,2,0,1,0.0006729898619278512
recent_2024_2026,quarter_trend2_validated,learned_market,weekly_state_validated,125,6,0,0,0.0013478669953455177
recent_2024_2026,quarter_trend2_validated,learned_order_extension,rolling5_annual20,125,0,0,0,0.0
recent_2024_2026,quarter_trend2_validated,learned_order_extension,weekly_state_validated,125,3,0,1,0.0008874599671177704
recent_2024_2026,quarter_trend2_validated,learned_order_offset,rolling5_annual20,125,0,0,0,0.0
recent_2024_2026,quarter_trend2_validated,learned_order_offset,weekly_state_validated,125,3,0,1,0.000891627567141156
recent_2024_2026,quarter_trend2_validated,learned_vol_interaction,rolling5_annual20,125,2,0,0,0.0006960914254889619
recent_2024_2026,quarter_trend2_validated,learned_vol_interaction,weekly_state_validated,125,6,0,1,0.00138259864522387
recent_2024_2026,quarter_volatility2_validated,learned_market,rolling5_annual20,125,40,2,5,0.0006851197918790291
recent_2024_2026,quarter_volatility2_validated,learned_market,weekly_state_validated,125,40,2,4,0.0013599969252966954
recent_2024_2026,quarter_volatility2_validated,learned_order_extension,rolling5_annual20,125,34,2,2,2.5571892144103824e-05
recent_2024_2026,quarter_volatility2_validated,learned_order_extension,weekly_state_validated,125,34,1,2,0.0009130318592618741
recent_2024_2026,quarter_volatility2_validated,learned_order_offset,rolling5_annual20,125,34,2,2,1.5210236739713001e-05
recent_2024_2026,quarter_volatility2_validated,learned_order_offset,weekly_state_validated,125,34,1,2,0.000906837803880869
recent_2024_2026,quarter_volatility2_validated,learned_vol_interaction,rolling5_annual20,125,42,3,3,0.0009878662997340653
recent_2024_2026,quarter_volatility2_validated,learned_vol_interaction,weekly_state_validated,125,42,2,3,0.0016743735194689735
pooled_2021_2026,quarter_trend2_validated,learned_market,rolling5_annual20,272,26,2,1,-0.00012034127510315279
pooled_2021_2026,quarter_trend2_validated,learned_market,weekly_state_validated,272,30,0,0,0.00046925785124945726
pooled_2021_2026,quarter_trend2_validated,learned_order_extension,rolling5_annual20,272,24,1,0,-0.0004408368201027925
pooled_2021_2026,quarter_trend2_validated,learned_order_extension,weekly_state_validated,272,27,0,1,0.00028274337788896693
pooled_2021_2026,quarter_trend2_validated,learned_order_offset,rolling5_annual20,272,24,1,0,-0.00044377837586113446
pooled_2021_2026,quarter_trend2_validated,learned_order_offset,weekly_state_validated,272,27,0,1,0.0002855532792105957
pooled_2021_2026,quarter_trend2_validated,learned_vol_interaction,rolling5_annual20,272,26,1,1,-0.00011793355852936539
pooled_2021_2026,quarter_trend2_validated,learned_vol_interaction,weekly_state_validated,272,30,0,2,0.0004951355558547249
pooled_2021_2026,quarter_volatility2_validated,learned_market,rolling5_annual20,272,58,5,5,-0.0005147326147804018
pooled_2021_2026,quarter_volatility2_validated,learned_market,weekly_state_validated,272,58,3,4,7.486651157220823e-05
pooled_2021_2026,quarter_volatility2_validated,learned_order_extension,rolling5_annual20,272,52,4,2,-0.0008210154736707088
pooled_2021_2026,quarter_volatility2_validated,learned_order_extension,weekly_state_validated,272,52,2,2,-9.743527567894928e-05
pooled_2021_2026,quarter_volatility2_validated,learned_order_offset,rolling5_annual20,272,48,3,2,-0.00029050803217417926
pooled_2021_2026,quarter_volatility2_validated,learned_order_offset,weekly_state_validated,272,48,1,2,0.00043882362289755095
pooled_2021_2026,quarter_volatility2_validated,learned_vol_interaction,rolling5_annual20,272,56,4,3,0.00017625151308609457
pooled_2021_2026,quarter_volatility2_validated,learned_vol_interaction,weekly_state_validated,272,56,2,3,0.0007893206274701849
year_2021,quarter_trend2_validated,learned_market,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_market,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_order_extension,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_order_extension,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_order_offset,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_order_offset,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_vol_interaction,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_validated,learned_vol_interaction,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_market,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_market,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_order_extension,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_order_extension,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_order_offset,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_order_offset,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_vol_interaction,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_validated,learned_vol_interaction,weekly_state_validated,50,0,0,0,0.0
year_2022,quarter_trend2_validated,learned_market,rolling5_annual20,49,2,0,0,2.4164530403868207e-05
year_2022,quarter_trend2_validated,learned_market,weekly_state_validated,49,2,0,0,2.4164530403868207e-05
