cutoff,state,mode,training_n,validation_n,train_supported,validation_supported
2020-12-31,negative_low,annual_reset,0,0,False,False
2020-12-31,negative_high,annual_reset,0,0,False,False
2020-12-31,nonnegative_low,annual_reset,0,0,False,False
2020-12-31,nonnegative_high,annual_reset,0,0,False,False
2021-03-31,negative_low,insufficient_history,0,0,False,False
2021-03-31,negative_high,insufficient_history,0,1,False,False
2021-03-31,nonnegative_low,insufficient_history,0,1,False,False
2021-03-31,nonnegative_high,insufficient_history,0,8,False,False
2021-06-30,negative_low,insufficient_history,0,2,False,False
2021-06-30,negative_high,insufficient_history,0,7,False,False
2021-06-30,nonnegative_low,insufficient_history,1,2,False,False
2021-06-30,nonnegative_high,insufficient_history,8,2,False,False
2021-09-30,negative_low,insufficient_history,2,0,False,False
2021-09-30,negative_high,insufficient_history,8,9,False,False
2021-09-30,nonnegative_low,insufficient_history,2,1,False,False
2021-09-30,nonnegative_high,insufficient_history,10,3,False,False
2021-12-31,negative_low,annual_reset,2,8,False,False
2021-12-31,negative_high,annual_reset,15,1,False,False
2021-12-31,nonnegative_low,annual_reset,4,4,False,False
2021-12-31,nonnegative_high,annual_reset,13,0,False,False
2022-03-31,negative_low,insufficient_history,10,4,False,False
2022-03-31,negative_high,insufficient_history,17,6,False,False
2022-03-31,nonnegative_low,insufficient_history,6,3,False,False
2022-03-31,nonnegative_high,insufficient_history,13,0,False,False
2022-06-30,negative_low,ready,14,0,True,False
2022-06-30,negative_high,ready,21,12,True,True
2022-06-30,nonnegative_low,ready,9,0,False,False
2022-06-30,nonnegative_high,ready,8,1,False,False
2022-09-30,negative_low,ready,12,3,True,False
2022-09-30,negative_high,ready,27,0,True,False
2022-09-30,nonnegative_low,ready,9,6,False,False
2022-09-30,nonnegative_high,ready,4,4,False,False
2022-12-31,negative_low,annual_reset,13,3,False,False
2022-12-31,negative_high,annual_reset,22,9,False,False
2022-12-31,nonnegative_low,annual_reset,12,1,False,False
2022-12-31,nonnegative_high,annual_reset,5,0,False,False
2023-03-31,negative_low,ready,11,0,True,False
2023-03-31,negative_high,ready,25,1,True,False
2023-03-31,nonnegative_low,ready,11,12,True,True
2023-03-31,nonnegative_high,ready,5,0,False,False
2023-06-30,negative_low,ready,6,8,False,False
2023-06-30,negative_high,ready,25,0,True,False
2023-06-30,nonnegative_low,ready,16,5,True,True
2023-06-30,nonnegative_high,ready,5,0,False,False
2023-09-30,negative_low,ready,12,9,True,True
2023-09-30,negative_high,ready,13,1,True,False
2023-09-30,nonnegative_low,ready,22,3,True,False
2023-09-30,nonnegative_high,ready,5,0,False,False
2023-12-31,negative_low,annual_reset,20,13,False,False
2023-12-31,negative_high,annual_reset,11,0,False,False
2023-12-31,nonnegative_low,annual_reset,20,0,False,False
2023-12-31,nonnegative_high,annual_reset,1,0,False,False
2024-03-31,negative_low,ready,25,7,True,True
2024-03-31,negative_high,ready,8,3,False,False
2024-03-31,nonnegative_low,ready,19,1,True,False
2024-03-31,nonnegative_high,ready,0,2,False,False
2024-06-30,negative_low,ready,33,1,True,False
2024-06-30,negative_high,ready,4,0,False,False
2024-06-30,nonnegative_low,ready,15,11,True,True
2024-06-30,nonnegative_high,ready,0,1,False,False
2024-09-30,negative_low,ready,32,12,True,True
2024-09-30,negative_high,ready,4,0,False,False
2024-09-30,nonnegative_low,ready,14,1,True,False
2024-09-30,nonnegative_high,ready,2,0,False,False
2024-12-31,negative_low,annual_reset,32,1,False,False
2024-12-31,negative_high,annual_reset,4,0,False,False
2024-12-31,nonnegative_low,annual_reset,14,1,False,False
2024-12-31,nonnegative_high,annual_reset,2,11,False,False
2025-03-31,negative_low,ready,25,5,True,True
2025-03-31,negative_high,ready,3,4,False,False
2025-03-31,nonnegative_low,ready,12,4,True,False
2025-03-31,nonnegative_high,ready,12,0,True,False
2025-06-30,negative_low,ready,18,9,True,True
2025-06-30,negative_high,ready,7,3,False,False
2025-06-30,nonnegative_low,ready,14,1,True,False
2025-06-30,nonnegative_high,ready,13,0,True,False
2025-09-30,negative_low,ready,26,0,True,False
2025-09-30,negative_high,ready,7,0,False,False
2025-09-30,nonnegative_low,ready,8,10,False,False
2025-09-30,nonnegative_high,ready,11,3,True,False
2025-12-31,negative_low,annual_reset,19,0,False,False
2025-12-31,negative_high,annual_reset,7,0,False,False
2025-12-31,nonnegative_low,annual_reset,14,5,False,False
2025-12-31,nonnegative_high,annual_reset,12,8,False,False
2026-03-31,negative_low,ready,13,2,True,False
2026-03-31,negative_high,ready,7,0,False,False
2026-03-31,nonnegative_low,ready,16,10,True,True
2026-03-31,nonnegative_high,ready,16,1,True,False
2026-06-30,negative_low,ready,15,0,True,False
2026-06-30,negative_high,ready,4,4,False,False
2026-06-30,nonnegative_low,ready,23,4,True,False
2026-06-30,nonnegative_high,ready,10,5,True,True
