job,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
learned_market_2020-12-31_20260910,learned_market,2020-12-31,20260910,2408,3,0.6707005863122161,4.489012210995985e-11,0.010297921855360557,
learned_vol_interaction_2020-12-31_20260910,learned_vol_interaction,2020-12-31,20260910,2408,3,0.6701655512125231,8.97094936313722e-11,0.010297507993501787,
learned_order_extension_2020-12-31_20260910,learned_order_extension,2020-12-31,20260910,2408,3,0.6699119273484924,1.1096758570621618e-10,0.010297512786390529,
learned_order_offset_2020-12-31_20260910,learned_order_offset,2020-12-31,20260910,2408,3,0.6699119876005056,5.421010862427522e-19,0.2363170133829667,0.6688955237737773
learned_market_2020-12-31_20260911,learned_market,2020-12-31,20260911,2408,4,0.6486427490110129,6.875043069565212e-13,0.010275582750601916,
learned_vol_interaction_2020-12-31_20260911,learned_vol_interaction,2020-12-31,20260911,2408,4,0.6486378119056446,7.089186009057169e-13,0.010275535233488422,
learned_order_extension_2020-12-31_20260911,learned_order_extension,2020-12-31,20260911,2408,4,0.6486173467588631,1.1366233475251786e-12,0.010275498991974639,
learned_order_offset_2020-12-31_20260911,learned_order_offset,2020-12-31,20260911,2408,2,0.648617429229961,1.2427339430957918e-13,0.20927378388856077,0.6471538704939576
learned_market_2020-12-31_20260912,learned_market,2020-12-31,20260912,2408,3,0.6683640829701913,3.7277866232234003e-10,0.010609080286000216,
learned_vol_interaction_2020-12-31_20260912,learned_vol_interaction,2020-12-31,20260912,2408,4,0.6678969331772258,5.637851296924623e-17,0.010609130991486174,
learned_order_extension_2020-12-31_20260912,learned_order_extension,2020-12-31,20260912,2408,4,0.6678613434406404,3.69712940817557e-17,0.01060944385821685,
learned_order_offset_2020-12-31_20260912,learned_order_offset,2020-12-31,20260912,2408,2,0.6678613569642231,1.8059737462005482e-12,0.23925921428711094,0.6657744256014917
learned_market_2021-12-31_20260910,learned_market,2021-12-31,20260910,2651,4,0.6512291485498349,2.9187915105699513e-13,0.010424767243313905,
